day,timestamp,trader,counterparty,product,side,direction,price,qty,bid,ask,mid,spread,signed_price_vs_mid,touch_distance,at_or_through_touch,inside_spread,future_mid_10,edge_10,mid_move_10,future_mid_50,edge_50,mid_move_50,future_mid_200,edge_200,mid_move_200,future_mid_500,edge_500,mid_move_500,future_mid_1000,edge_1000,mid_move_1000,future_mid_2000,edge_2000,mid_move_2000,future_mid_5000,edge_5000,mid_move_5000
1,4500,Mark 01,Mark 22,VEV_5400,buy,1,18.0,2,18.0,19.0,18.5,1.0,-0.5,-1.0,False,False,18.5,0.5,0.0,18.5,0.5,0.0,18.5,0.5,0.0,18.0,0.0,-0.5,18.5,0.5,0.0,18.0,0.0,-0.5,17.0,-1.0,-1.5
1,4500,Mark 22,Mark 01,VEV_5400,sell,-1,18.0,2,18.0,19.0,18.5,1.0,0.5,0.0,True,False,18.5,-0.5,-0.0,18.5,-0.5,-0.0,18.5,-0.5,-0.0,18.0,-0.0,0.5,18.5,-0.5,-0.0,18.0,-0.0,0.5,17.0,1.0,1.5
1,4500,Mark 01,Mark 22,VEV_5500,buy,1,8.0,2,8.0,9.0,8.5,1.0,-0.5,-1.0,False,False,8.5,0.5,0.0,8.5,0.5,0.0,8.5,0.5,0.0,8.5,0.5,0.0,8.5,0.5,0.0,8.0,0.0,-0.5,7.5,-0.5,-1.0
1,4500,Mark 22,Mark 01,VEV_5500,sell,-1,8.0,2,8.0,9.0,8.5,1.0,0.5,0.0,True,False,8.5,-0.5,-0.0,8.5,-0.5,-0.0,8.5,-0.5,-0.0,8.5,-0.5,-0.0,8.5,-0.5,-0.0,8.0,-0.0,0.5,7.5,0.5,1.0
1,4500,Mark 01,Mark 22,VEV_6000,buy,1,0.0,2,0.0,1.0,0.5,1.0,-0.5,-1.0,False,False,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1,4500,Mark 22,Mark 01,VEV_6000,sell,-1,0.0,2,0.0,1.0,0.5,1.0,0.5,0.0,True,False,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0
1,4500,Mark 01,Mark 22,VEV_6500,buy,1,0.0,2,0.0,1.0,0.5,1.0,-0.5,-1.0,False,False,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1,4500,Mark 22,Mark 01,VEV_6500,sell,-1,0.0,2,0.0,1.0,0.5,1.0,0.5,0.0,True,False,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0
1,5100,Mark 38,Mark 22,HYDROGEL_PACK,buy,1,9960.0,4,9952.0,9960.0,9956.0,8.0,4.0,0.0,True,False,9956.0,-4.0,0.0,9956.0,-4.0,0.0,9958.0,-2.0,2.0,9952.0,-8.0,-4.0,9949.0,-11.0,-7.0,9949.0,-11.0,-7.0,9944.0,-16.0,-12.0
1,5100,Mark 22,Mark 38,HYDROGEL_PACK,sell,-1,9960.0,4,9952.0,9960.0,9956.0,8.0,-4.0,-8.0,False,False,9956.0,4.0,-0.0,9956.0,4.0,-0.0,9958.0,2.0,-2.0,9952.0,8.0,4.0,9949.0,11.0,7.0,9949.0,11.0,7.0,9944.0,16.0,12.0
