trader,product,side,unique_timestamp_side,repeated_2plus_days,repeated_3_days
Mark 01,VEV_6000,buy,311,6,0
Mark 01,VEV_6500,buy,311,6,0
Mark 01,VEV_5400,buy,259,4,0
Mark 01,VEV_5500,buy,295,4,0
Mark 01,VELVETFRUIT_EXTRACT,sell,242,2,0
Mark 01,VELVETFRUIT_EXTRACT,buy,260,0,0
Mark 01,VEV_5200,buy,11,0,0
Mark 01,VEV_5300,buy,132,0,0
Mark 14,HYDROGEL_PACK,sell,498,9,0
Mark 14,HYDROGEL_PACK,buy,493,3,0
Mark 14,VELVETFRUIT_EXTRACT,buy,314,2,0
Mark 14,VELVETFRUIT_EXTRACT,sell,329,2,0
Mark 14,VEV_4000,buy,231,1,0
Mark 14,VEV_4000,sell,206,1,0
Mark 14,VEV_5200,buy,33,0,0
Mark 14,VEV_5300,buy,30,0,0
Mark 14,VEV_5400,buy,13,0,0
Mark 14,VEV_5500,buy,7,0,0
Mark 22,VEV_6000,sell,311,6,0
Mark 22,VEV_6500,sell,311,6,0
Mark 22,VEV_5500,sell,301,5,0
Mark 22,VEV_5400,sell,272,4,0
Mark 22,VEV_5300,sell,161,2,0
Mark 22,HYDROGEL_PACK,buy,11,0,0
Mark 22,HYDROGEL_PACK,sell,8,0,0
Mark 22,VELVETFRUIT_EXTRACT,buy,25,0,0
Mark 22,VELVETFRUIT_EXTRACT,sell,101,0,0
Mark 22,VEV_4000,buy,1,0,0
Mark 22,VEV_4000,sell,2,0,0
Mark 22,VEV_4500,buy,1,0,0
Mark 22,VEV_4500,sell,2,0,0
Mark 22,VEV_5000,buy,1,0,0
Mark 22,VEV_5000,sell,2,0,0
Mark 22,VEV_5100,buy,1,0,0
Mark 22,VEV_5100,sell,2,0,0
Mark 22,VEV_5200,buy,1,0,0
Mark 22,VEV_5200,sell,46,0,0
Mark 22,VEV_5300,buy,1,0,0
Mark 38,HYDROGEL_PACK,buy,506,9,0
Mark 38,HYDROGEL_PACK,sell,504,3,0
Mark 38,VEV_4000,buy,208,1,0
Mark 38,VEV_4000,sell,232,1,0
Mark 38,VEV_4500,buy,2,0,0
Mark 38,VEV_4500,sell,1,0,0
Mark 38,VEV_5000,buy,2,0,0
Mark 38,VEV_5000,sell,1,0,0
Mark 38,VEV_5100,buy,2,0,0
Mark 38,VEV_5100,sell,1,0,0
Mark 38,VEV_5200,buy,2,0,0
Mark 38,VEV_5200,sell,1,0,0
Mark 38,VEV_5300,buy,1,0,0
Mark 38,VEV_5300,sell,1,0,0
Mark 49,VELVETFRUIT_EXTRACT,buy,17,0,0
Mark 49,VELVETFRUIT_EXTRACT,sell,100,0,0
Mark 55,VELVETFRUIT_EXTRACT,buy,586,12,0
Mark 55,VELVETFRUIT_EXTRACT,sell,592,7,0
Mark 67,VELVETFRUIT_EXTRACT,buy,165,0,0
