product,side,gap,count
VELVETFRUIT_EXTRACT,buy,2300.0,9
VELVETFRUIT_EXTRACT,buy,300.0,9
VELVETFRUIT_EXTRACT,buy,2000.0,9
VELVETFRUIT_EXTRACT,buy,400.0,8
VELVETFRUIT_EXTRACT,buy,200.0,8
VELVETFRUIT_EXTRACT,buy,1800.0,8
VELVETFRUIT_EXTRACT,buy,1500.0,7
VELVETFRUIT_EXTRACT,buy,3000.0,6
VELVETFRUIT_EXTRACT,buy,1000.0,6
VELVETFRUIT_EXTRACT,buy,1900.0,6
VELVETFRUIT_EXTRACT,sell,300.0,9
VELVETFRUIT_EXTRACT,sell,900.0,8
VELVETFRUIT_EXTRACT,sell,1600.0,8
VELVETFRUIT_EXTRACT,sell,100.0,8
VELVETFRUIT_EXTRACT,sell,1300.0,6
VELVETFRUIT_EXTRACT,sell,700.0,6
VELVETFRUIT_EXTRACT,sell,200.0,6
VELVETFRUIT_EXTRACT,sell,1700.0,5
VELVETFRUIT_EXTRACT,sell,500.0,5
VELVETFRUIT_EXTRACT,sell,800.0,5
VEV_5200,buy,93700.0,1
VEV_5200,buy,140700.0,1
VEV_5200,buy,68800.0,1
VEV_5200,buy,79900.0,1
VEV_5200,buy,4600.0,1
VEV_5200,buy,7600.0,1
VEV_5200,buy,11900.0,1
VEV_5200,buy,91800.0,1
VEV_5200,buy,149900.0,1
VEV_5200,buy,113300.0,1
VEV_5300,buy,4200.0,4
VEV_5300,buy,200.0,4
VEV_5300,buy,500.0,4
VEV_5300,buy,100.0,3
VEV_5300,buy,3900.0,3
VEV_5300,buy,8800.0,3
VEV_5300,buy,6000.0,2
VEV_5300,buy,2500.0,2
VEV_5300,buy,1600.0,2
VEV_5300,buy,1500.0,2
VEV_5400,buy,500.0,11
VEV_5400,buy,200.0,8
VEV_5400,buy,1600.0,8
VEV_5400,buy,2100.0,8
VEV_5400,buy,300.0,7
VEV_5400,buy,100.0,7
VEV_5400,buy,2400.0,6
VEV_5400,buy,2500.0,6
VEV_5400,buy,1200.0,6
VEV_5400,buy,900.0,6
VEV_5500,buy,500.0,19
VEV_5500,buy,1500.0,10
VEV_5500,buy,100.0,10
VEV_5500,buy,1600.0,10
VEV_5500,buy,200.0,9
VEV_5500,buy,800.0,7
VEV_5500,buy,300.0,7
VEV_5500,buy,2500.0,7
VEV_5500,buy,400.0,7
VEV_5500,buy,600.0,6
VEV_6000,buy,500.0,20
VEV_6000,buy,200.0,13
VEV_6000,buy,100.0,10
VEV_6000,buy,1600.0,10
VEV_6000,buy,1500.0,9
VEV_6000,buy,800.0,8
VEV_6000,buy,2500.0,8
VEV_6000,buy,400.0,7
VEV_6000,buy,300.0,7
VEV_6000,buy,2400.0,6
VEV_6500,buy,500.0,20
VEV_6500,buy,200.0,13
VEV_6500,buy,100.0,10
VEV_6500,buy,1600.0,10
VEV_6500,buy,1500.0,9
VEV_6500,buy,800.0,8
VEV_6500,buy,2500.0,8
VEV_6500,buy,400.0,7
VEV_6500,buy,300.0,7
VEV_6500,buy,2400.0,6
