day,timestamp,product,side,side_sign,counterparty,price,quantity,notional,bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,mid_price,spread,touch_depth,price_minus_mid,signed_mid_edge,price_minus_bid,price_minus_ask,book_relation,future_mid_t10,signed_trade_markout_t10,signed_mid_change_t10,future_mid_t50,signed_trade_markout_t50,signed_mid_change_t50,future_mid_t200,signed_trade_markout_t200,signed_mid_change_t200,future_mid_t500,signed_trade_markout_t500,signed_mid_change_t500,book_depth,spread_day_pctile,depth_day_pctile
1,4500,VEV_5400,buy,1,Mark 22,18.0,2,36.0,18,24,19,26,18.5,1,26,-0.5,0.5,0.0,-1.0,at_bid,18.5,0.5,0.0,18.5,0.5,0.0,18.5,0.5,0.0,18.0,0.0,-0.5,50,0.6136,0.7971
1,4500,VEV_5500,buy,1,Mark 22,8.0,2,16.0,8,24,9,26,8.5,1,26,-0.5,0.5,0.0,-1.0,at_bid,8.5,0.5,0.0,8.5,0.5,0.0,8.5,0.5,0.0,8.5,0.5,0.0,50,0.8473,0.7842
1,4500,VEV_6000,buy,1,Mark 22,0.0,2,0.0,0,24,1,26,0.5,1,26,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,50,1.0,0.7759
1,4500,VEV_6500,buy,1,Mark 22,0.0,2,0.0,0,15,1,17,0.5,1,17,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,32,1.0,0.6265
1,6100,VELVETFRUIT_EXTRACT,sell,-1,Mark 55,5255.0,3,15765.0,5250,24,5255,58,5252.5,5,24,2.5,2.5,5.0,0.0,at_ask,5252.5,2.5,-0.0,5252.5,2.5,-0.0,5252.5,2.5,-0.0,5250.5,4.5,2.0,82,0.8202,0.6118
1,9600,VEV_5400,buy,1,Mark 22,16.0,4,64.0,16,14,18,18,17.0,2,18,-1.0,1.0,0.0,-2.0,at_bid,16.5,0.5,-0.5,16.5,0.5,-0.5,17.0,1.0,0.0,16.5,0.5,-0.5,32,1.0,0.1132
1,9600,VEV_5500,buy,1,Mark 22,7.0,4,28.0,7,14,8,18,7.5,1,18,-0.5,0.5,0.0,-1.0,at_bid,7.5,0.5,0.0,7.5,0.5,0.0,7.5,0.5,0.0,7.5,0.5,0.0,32,0.8473,0.0746
1,9600,VEV_6000,buy,1,Mark 22,0.0,4,0.0,0,14,1,18,0.5,1,18,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,32,1.0,0.048
1,9600,VEV_6500,buy,1,Mark 22,0.0,4,0.0,0,11,1,15,0.5,1,15,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,26,1.0,0.2539
1,11800,VEV_5500,buy,1,Mark 22,7.0,4,28.0,7,22,8,26,7.5,1,26,-0.5,0.5,0.0,-1.0,at_bid,7.5,0.5,0.0,7.5,0.5,0.0,7.5,0.5,0.0,7.5,0.5,0.0,48,0.8473,0.6967
1,11800,VEV_6000,buy,1,Mark 22,0.0,4,0.0,0,22,1,26,0.5,1,26,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,48,1.0,0.6842
1,11800,VEV_6500,buy,1,Mark 22,0.0,4,0.0,0,8,1,12,0.5,1,12,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,20,1.0,0.0243
1,14300,VELVETFRUIT_EXTRACT,sell,-1,Mark 55,5238.0,6,31428.0,5233,25,5238,66,5235.5,5,25,2.5,2.5,5.0,0.0,at_ask,5233.5,4.5,2.0,5233.5,4.5,2.0,5234.5,3.5,1.0,5234.5,3.5,1.0,91,0.8202,0.7667
1,14800,VELVETFRUIT_EXTRACT,buy,1,Mark 55,5232.0,6,31392.0,5232,70,5237,21,5234.5,5,21,-2.5,2.5,0.0,-5.0,at_bid,5234.5,2.5,0.0,5234.5,2.5,0.0,5233.5,1.5,-1.0,5233.5,1.5,-1.0,91,0.8202,0.7667
1,14800,VEV_5300,buy,1,Mark 22,42.0,4,168.0,42,16,44,20,43.0,2,20,-1.0,1.0,0.0,-2.0,at_bid,43.0,1.0,0.0,43.0,1.0,0.0,42.5,0.5,-0.5,43.0,1.0,0.0,36,0.8697,0.3713
1,14800,VEV_5400,buy,1,Mark 22,14.0,4,56.0,14,16,16,20,15.0,2,20,-1.0,1.0,0.0,-2.0,at_bid,14.5,0.5,-0.5,14.5,0.5,-0.5,14.5,0.5,-0.5,14.5,0.5,-0.5,36,1.0,0.2241
1,14800,VEV_5500,buy,1,Mark 22,6.0,4,24.0,6,16,7,20,6.5,1,20,-0.5,0.5,0.0,-1.0,at_bid,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,36,0.8473,0.182
1,14800,VEV_6000,buy,1,Mark 22,0.0,4,0.0,0,16,1,20,0.5,1,20,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,36,1.0,0.1531
1,14800,VEV_6500,buy,1,Mark 22,0.0,4,0.0,0,9,1,13,0.5,1,13,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,22,1.0,0.0743
1,16700,VEV_5300,buy,1,Mark 22,41.0,2,82.0,41,25,43,27,42.0,2,27,-1.0,1.0,0.0,-2.0,at_bid,42.0,1.0,0.0,42.0,1.0,0.0,41.0,0.0,-1.0,42.0,1.0,0.0,52,0.8697,0.8956
1,16700,VEV_5400,buy,1,Mark 22,14.0,2,28.0,14,25,15,27,14.5,1,27,-0.5,0.5,0.0,-1.0,at_bid,14.5,0.5,0.0,14.5,0.5,0.0,14.0,0.0,-0.5,14.5,0.5,0.0,52,0.6136,0.8679
1,16700,VEV_5500,buy,1,Mark 22,6.0,2,12.0,6,25,7,27,6.5,1,27,-0.5,0.5,0.0,-1.0,at_bid,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,52,0.8473,0.8583
1,16700,VEV_6000,buy,1,Mark 22,0.0,2,0.0,0,25,1,27,0.5,1,27,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,52,1.0,0.8528
1,16700,VEV_6500,buy,1,Mark 22,0.0,2,0.0,0,14,1,16,0.5,1,16,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,30,1.0,0.5029
1,31700,VELVETFRUIT_EXTRACT,sell,-1,Mark 55,5237.0,4,20948.0,5232,21,5237,52,5234.5,5,21,2.5,2.5,5.0,0.0,at_ask,5234.5,2.5,-0.0,5234.5,2.5,-0.0,5236.5,0.5,-2.0,5236.0,1.0,-1.5,73,0.8202,0.4183
1,32600,VELVETFRUIT_EXTRACT,sell,-1,Mark 55,5240.0,5,26200.0,5235,20,5240,58,5237.5,5,20,2.5,2.5,5.0,0.0,at_ask,5238.0,2.0,-0.5,5238.0,2.0,-0.5,5237.0,3.0,0.5,5240.0,-0.0,-2.5,78,0.8202,0.521
1,38500,VEV_5500,buy,1,Mark 22,6.0,5,30.0,6,18,7,23,6.5,1,23,-0.5,0.5,0.0,-1.0,at_bid,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,41,0.8473,0.3511
1,38500,VEV_6000,buy,1,Mark 22,0.0,5,0.0,0,18,1,23,0.5,1,23,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,41,1.0,0.3255
1,38500,VEV_6500,buy,1,Mark 22,0.0,5,0.0,0,13,1,18,0.5,1,18,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,31,1.0,0.5042
1,38700,VELVETFRUIT_EXTRACT,buy,1,Mark 55,5228.0,8,41824.0,5228,56,5234,56,5231.0,6,56,-3.0,3.0,0.0,-6.0,at_bid,5230.5,2.5,-0.5,5230.5,2.5,-0.5,5234.0,6.0,3.0,5234.5,6.5,3.5,112,1.0,0.8789
1,39800,VELVETFRUIT_EXTRACT,buy,1,Mark 55,5232.0,4,20928.0,5232,53,5238,53,5235.0,6,53,-3.0,3.0,0.0,-6.0,at_bid,5234.5,2.5,-0.5,5234.5,2.5,-0.5,5234.0,2.0,-1.0,5233.0,1.0,-2.0,106,1.0,0.8536
1,40400,VEV_5300,buy,1,Mark 22,41.0,4,164.0,41,24,43,28,42.0,2,28,-1.0,1.0,0.0,-2.0,at_bid,42.0,1.0,0.0,42.0,1.0,0.0,42.0,1.0,0.0,42.0,1.0,0.0,52,0.8697,0.8956
1,40400,VEV_5400,buy,1,Mark 22,14.0,4,56.0,14,24,15,28,14.5,1,28,-0.5,0.5,0.0,-1.0,at_bid,14.5,0.5,0.0,14.5,0.5,0.0,14.0,0.0,-0.5,14.0,0.0,-0.5,52,0.6136,0.8679
1,40400,VEV_5500,buy,1,Mark 22,6.0,4,24.0,6,24,7,28,6.5,1,28,-0.5,0.5,0.0,-1.0,at_bid,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,52,0.8473,0.8583
1,40400,VEV_6000,buy,1,Mark 22,0.0,4,0.0,0,24,1,28,0.5,1,28,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,52,1.0,0.8528
1,40400,VEV_6500,buy,1,Mark 22,0.0,4,0.0,0,12,1,16,0.5,1,16,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,28,1.0,0.3778
1,43400,VEV_5400,buy,1,Mark 22,13.0,5,65.0,13,16,15,21,14.0,2,21,-1.0,1.0,0.0,-2.0,at_bid,13.5,0.5,-0.5,13.5,0.5,-0.5,14.0,1.0,0.0,14.5,1.5,0.5,37,1.0,0.2278
1,43400,VEV_5500,buy,1,Mark 22,6.0,5,30.0,6,16,7,21,6.5,1,21,-0.5,0.5,0.0,-1.0,at_bid,6.0,0.0,-0.5,6.0,0.0,-0.5,6.5,0.5,0.0,6.5,0.5,0.0,37,0.8473,0.1836
1,43400,VEV_6000,buy,1,Mark 22,0.0,5,0.0,0,16,1,21,0.5,1,21,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,37,1.0,0.1536
1,43400,VEV_6500,buy,1,Mark 22,0.0,5,0.0,0,10,1,15,0.5,1,15,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,25,1.0,0.1499
1,43600,VELVETFRUIT_EXTRACT,buy,1,Mark 55,5229.0,4,20916.0,5229,60,5234,25,5231.5,5,25,-2.5,2.5,0.0,-5.0,at_bid,5232.5,3.5,1.0,5232.5,3.5,1.0,5233.5,4.5,2.0,5236.0,7.0,4.5,85,0.8202,0.6744
1,47700,VELVETFRUIT_EXTRACT,buy,1,Mark 55,5243.0,4,20972.0,5243,54,5245,9,5244.0,2,9,-1.0,1.0,0.0,-2.0,at_bid,5246.5,3.5,2.5,5246.5,3.5,2.5,5245.5,2.5,1.5,5244.5,1.5,0.5,63,0.0411,0.295
1,48900,VELVETFRUIT_EXTRACT,buy,1,Mark 55,5241.0,6,31446.0,5241,55,5246,25,5243.5,5,25,-2.5,2.5,0.0,-5.0,at_bid,5244.0,3.0,0.5,5244.0,3.0,0.5,5244.5,3.5,1.0,5243.5,2.5,0.0,80,0.8202,0.5676
1,49800,VELVETFRUIT_EXTRACT,buy,1,Mark 55,5244.0,3,15732.0,5244,73,5249,23,5246.5,5,23,-2.5,2.5,0.0,-5.0,at_bid,5247.5,3.5,1.0,5247.5,3.5,1.0,5247.5,3.5,1.0,5246.0,2.0,-0.5,96,0.8202,0.8151
1,50700,VEV_5400,buy,1,Mark 22,16.0,5,80.0,16,15,17,20,16.5,1,20,-0.5,0.5,0.0,-1.0,at_bid,16.0,0.0,-0.5,16.0,0.0,-0.5,16.0,0.0,-0.5,16.5,0.5,0.0,35,0.6136,0.167
1,50700,VEV_5500,buy,1,Mark 22,7.0,5,35.0,7,15,8,20,7.5,1,20,-0.5,0.5,0.0,-1.0,at_bid,7.0,0.0,-0.5,7.0,0.0,-0.5,7.0,0.0,-0.5,7.5,0.5,0.0,35,0.8473,0.1226
1,50700,VEV_6000,buy,1,Mark 22,0.0,5,0.0,0,15,1,20,0.5,1,20,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,35,1.0,0.0926
1,50700,VEV_6500,buy,1,Mark 22,0.0,5,0.0,0,8,1,13,0.5,1,13,-0.5,0.5,0.0,-1.0,at_bid,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,21,1.0,0.0249
1,52800,VEV_5400,buy,1,Mark 22,16.0,3,48.0,16,18,17,6,16.5,1,6,-0.5,0.5,0.0,-1.0,at_bid,16.5,0.5,0.0,16.5,0.5,0.0,16.5,0.5,0.0,16.5,0.5,0.0,24,0.6136,0.0155
1,52800,VEV_5500,buy,1,Mark 22,7.0,3,21.0,7,18,8,21,7.5,1,21,-0.5,0.5,0.0,-1.0,at_bid,7.5,0.5,0.0,7.5,0.5,0.0,7.5,0.5,0.0,7.5,0.5,0.0,39,0.8473,0.2601
