day,timestamp,product,other_buyer,other_seller,price,quantity
1,16700,VEV_4000,Mark 14,Mark 38,1221.0,2
1,53400,VEV_5500,Mark 14,Mark 22,7.0,2
1,82300,HYDROGEL_PACK,Mark 38,Mark 14,9977.0,3
1,85300,VEV_5300,Mark 14,Mark 22,42.0,2
1,167600,VEV_4000,Mark 14,Mark 38,1242.0,2
1,170500,VEV_5300,Mark 14,Mark 22,46.0,3
1,206200,VEV_5400,Mark 14,Mark 22,16.0,3
1,252500,HYDROGEL_PACK,Mark 14,Mark 38,9988.0,3
1,269300,HYDROGEL_PACK,Mark 14,Mark 38,9973.0,3
1,310100,VEV_5400,Mark 14,Mark 22,20.0,5
1,322600,VEV_5200,Mark 14,Mark 22,98.0,4
1,335300,HYDROGEL_PACK,Mark 14,Mark 38,9943.0,5
1,377900,VEV_5300,Mark 14,Mark 22,47.0,2
1,437100,VEV_4000,Mark 38,Mark 22,1233.0,1
1,437100,VEV_4500,Mark 38,Mark 22,733.0,1
1,437100,VEV_5000,Mark 38,Mark 22,238.0,1
1,437100,VEV_5100,Mark 38,Mark 22,152.0,1
1,437100,VEV_5200,Mark 38,Mark 22,87.0,1
1,437100,VEV_5300,Mark 38,Mark 22,41.0,1
1,459900,VEV_4000,Mark 14,Mark 38,1239.0,2
1,460400,VEV_5400,Mark 14,Mark 22,16.0,3
1,489700,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,5237.0,6
1,524000,VEV_5500,Mark 14,Mark 22,7.0,4
1,537500,HYDROGEL_PACK,Mark 14,Mark 38,10014.0,2
1,564300,VEV_5200,Mark 14,Mark 22,84.0,2
1,575800,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,5235.0,8
1,612900,VELVETFRUIT_EXTRACT,Mark 22,Mark 49,5225.0,10
1,624400,VEV_5200,Mark 14,Mark 22,88.0,2
1,634800,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,5216.0,8
1,636100,VEV_5200,Mark 14,Mark 22,79.0,4
1,642100,VEV_5200,Mark 14,Mark 22,74.0,4
1,701200,HYDROGEL_PACK,Mark 38,Mark 14,10052.0,5
1,710500,VEV_5300,Mark 14,Mark 22,49.0,5
1,720500,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,5264.0,6
1,720500,VEV_5300,Mark 14,Mark 22,53.0,2
1,735100,VEV_5400,Mark 14,Mark 22,21.0,4
1,746300,VEV_5400,Mark 14,Mark 22,20.0,4
1,785800,HYDROGEL_PACK,Mark 14,Mark 38,10056.0,3
1,848900,VEV_5300,Mark 14,Mark 22,51.0,5
1,848900,VEV_5500,Mark 14,Mark 22,7.0,5
1,950300,HYDROGEL_PACK,Mark 14,Mark 38,10021.0,5
1,988000,HYDROGEL_PACK,Mark 14,Mark 38,10016.0,4
1,988100,VEV_5200,Mark 14,Mark 22,94.0,5
2,45100,HYDROGEL_PACK,Mark 38,Mark 14,9991.0,3
2,45100,VEV_5400,Mark 14,Mark 22,15.0,5
2,79300,VEV_5300,Mark 14,Mark 22,47.0,5
2,85500,HYDROGEL_PACK,Mark 38,Mark 14,9954.0,2
2,102600,VEV_5400,Mark 14,Mark 22,16.0,2
2,169000,HYDROGEL_PACK,Mark 38,Mark 14,10028.0,2
2,212100,VEV_4000,Mark 14,Mark 38,1257.0,2
2,225500,VEV_5300,Mark 14,Mark 22,50.0,5
2,239400,HYDROGEL_PACK,Mark 14,Mark 38,9910.0,4
2,282600,VELVETFRUIT_EXTRACT,Mark 49,Mark 22,5269.0,10
2,288000,HYDROGEL_PACK,Mark 38,Mark 14,9936.0,5
2,289300,VEV_5300,Mark 14,Mark 22,52.0,2
2,294600,VEV_5500,Mark 14,Mark 22,7.0,2
2,341400,VEV_5500,Mark 14,Mark 22,7.0,4
2,344600,HYDROGEL_PACK,Mark 38,Mark 14,9958.0,6
2,350700,VEV_5300,Mark 14,Mark 22,47.0,4
2,372300,VEV_4000,Mark 38,Mark 14,1264.0,2
2,414900,VEV_5200,Mark 14,Mark 22,76.0,3
2,423800,HYDROGEL_PACK,Mark 38,Mark 14,9969.0,3
2,423800,VEV_5200,Mark 14,Mark 22,79.0,5
2,423800,VEV_5500,Mark 14,Mark 22,4.0,5
2,433100,VEV_5200,Mark 14,Mark 22,83.0,2
2,443600,VEV_5200,Mark 14,Mark 22,82.0,4
2,456200,VEV_5200,Mark 14,Mark 22,82.0,2
2,461200,VEV_5300,Mark 14,Mark 22,37.0,3
2,483400,VEV_5300,Mark 14,Mark 22,40.0,5
2,495700,HYDROGEL_PACK,Mark 14,Mark 38,9985.0,3
2,519600,VEV_5200,Mark 14,Mark 22,87.0,5
2,519800,HYDROGEL_PACK,Mark 38,Mark 14,9982.0,6
2,554600,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,5240.0,7
2,554600,VEV_5300,Mark 14,Mark 22,38.0,5
2,555700,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,5239.0,7
2,573500,VEV_4000,Mark 14,Mark 38,1224.0,2
2,587100,VEV_5300,Mark 14,Mark 22,28.0,4
2,666500,VEV_5200,Mark 14,Mark 22,91.0,2
2,687700,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,5271.0,5
2,764000,VEV_5300,Mark 14,Mark 22,32.0,3
2,793900,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,5243.0,5
2,808800,VEV_5300,Mark 14,Mark 22,44.0,4
2,836300,VEV_5300,Mark 14,Mark 22,43.0,4
2,876500,VEV_5200,Mark 14,Mark 22,84.0,3
2,948500,VEV_5300,Mark 14,Mark 22,49.0,5
2,972800,VEV_5300,Mark 14,Mark 22,46.0,2
2,977300,VEV_5300,Mark 14,Mark 22,46.0,4
3,33600,VEV_5400,Mark 14,Mark 22,15.0,2
3,40200,VEV_5400,Mark 14,Mark 22,13.0,3
3,98900,VEV_5200,Mark 14,Mark 22,88.0,3
