day,timestamp,rows,products,sides,total_qty
1,14800,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,26
3,222400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,12
3,363100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,12
3,431900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,30
3,511800,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,12
3,524000,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,12
3,535900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,18
3,890900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,24
1,16700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
1,40400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
1,74100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
1,135900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
1,150600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
1,172500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,25
1,190100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
1,195600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
1,252500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
1,376600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,25
1,489700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
1,519500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
1,564300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
1,568900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
1,588200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
1,604600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,25
1,617900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
1,618300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
1,624400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
1,642100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
1,674000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
1,725000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
1,807800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
1,812600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
1,948500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
1,988100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,25
2,20900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,25
2,75200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
2,129700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
2,169000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
2,189100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
2,204400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,25
2,320800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,25
2,321600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
2,358500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
2,365600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
2,389000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
2,390300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
2,414900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
2,433100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
2,483400,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500","buy,sell",23
2,501900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
2,519600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,25
2,588500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
2,604100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
2,666500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
2,711900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
2,779200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
2,826400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
2,872600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
2,993800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,25
3,32900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
3,92200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
3,98900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
3,128700,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
3,137700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
3,155400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
3,218300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,25
3,220800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
3,243700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
3,289400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
3,290900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
3,315800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
3,317200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,20
3,319700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
3,320200,5,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5500,VEV_6000,VEV_6500","buy,sell",23
3,328700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,15
3,332600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",buy,10
