symbol,side,counterparty,n,qty_sum,edge_t200_mean,edge_t200_sum
HYDROGEL_PACK,sell,Mark 38,507,2033,8.207100591715976,4161.0
HYDROGEL_PACK,buy,Mark 38,496,1989,8.115927419354838,4025.5
VEV_4000,buy,Mark 38,232,458,10.21551724137931,2370.0
VEV_4000,sell,Mark 38,207,412,10.381642512077295,2149.0
VELVETFRUIT_EXTRACT,sell,Mark 55,331,1763,2.3036253776435047,762.5
VELVETFRUIT_EXTRACT,buy,Mark 55,316,1761,2.338607594936709,739.0
VEV_5200,buy,Mark 22,33,122,0.9090909090909091,30.0
VEV_5300,buy,Mark 22,30,105,0.5666666666666667,17.0
VEV_5500,buy,Mark 22,7,27,0.2857142857142857,2.0
VEV_5400,buy,Mark 22,13,48,0.07692307692307693,1.0
