day,timestamp,mark14_events,products,sides
2,423800,3,"HYDROGEL_PACK,VEV_5200,VEV_5500","buy,sell"
3,943900,3,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400","buy,sell"
1,63200,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT","buy,sell"
1,218900,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT","buy,sell"
1,282200,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT","buy,sell"
1,323300,2,"HYDROGEL_PACK,VEV_4000",sell
1,345700,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT","buy,sell"
1,503500,2,"HYDROGEL_PACK,VEV_4000",buy
1,527700,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT",sell
1,720500,2,"VELVETFRUIT_EXTRACT,VEV_5300",buy
1,725800,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT","buy,sell"
1,772000,2,"HYDROGEL_PACK,VEV_4000",sell
1,815000,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT",sell
1,848900,2,"VEV_5300,VEV_5500",buy
2,45100,2,"HYDROGEL_PACK,VEV_5400","buy,sell"
2,91700,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT","buy,sell"
2,169200,2,"HYDROGEL_PACK,VEV_4000","buy,sell"
2,272900,2,"HYDROGEL_PACK,VEV_4000",sell
2,278800,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT","buy,sell"
2,328700,2,"VELVETFRUIT_EXTRACT,VEV_4000","buy,sell"
2,554600,2,"VELVETFRUIT_EXTRACT,VEV_5300",buy
2,578300,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT","buy,sell"
2,588400,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT",sell
2,610900,2,"HYDROGEL_PACK,VEV_4000",buy
2,675600,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT",sell
2,947900,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT",buy
2,961700,2,"HYDROGEL_PACK,VEV_4000",buy
2,978600,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT",sell
2,996500,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT",buy
3,182100,2,"HYDROGEL_PACK,VEV_4000","buy,sell"
3,229500,2,"VELVETFRUIT_EXTRACT,VEV_4000","buy,sell"
3,269000,2,"VEV_5200,VEV_5300",buy
3,323600,2,"HYDROGEL_PACK,VEV_4000",buy
3,329200,2,"VEV_5200,VEV_5300",buy
3,334800,2,"HYDROGEL_PACK,VEV_4000",sell
3,358100,2,"HYDROGEL_PACK,VEV_4000","buy,sell"
3,399000,2,"VELVETFRUIT_EXTRACT,VEV_4000",buy
3,451300,2,"HYDROGEL_PACK,VEV_5300","buy,sell"
3,498100,2,"HYDROGEL_PACK,VEV_5500",buy
3,519700,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT","buy,sell"
3,699400,2,"HYDROGEL_PACK,VEV_5200",buy
3,776400,2,"HYDROGEL_PACK,VELVETFRUIT_EXTRACT",buy
3,852100,2,"VELVETFRUIT_EXTRACT,VEV_4000",sell
3,877600,2,"VELVETFRUIT_EXTRACT,VEV_5200","buy,sell"
3,922400,2,"HYDROGEL_PACK,VEV_4000","buy,sell"
3,993700,2,"VELVETFRUIT_EXTRACT,VEV_4000",sell
