timestamp,buyer,seller,symbol,currency,price,quantity,day,side,counterparty,bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,mid_price,spread,best_bid_depth,best_ask_depth,bid_depth_3,ask_depth_3,future_mid_t10,edge_t10,midmo_t10,future_mid_t50,edge_t50,midmo_t50,future_mid_t200,edge_t200,midmo_t200,future_mid_t500,edge_t500,midmo_t500,price_location,side_touch_improve,side_mid_edge,spread_pctile_day_product
5300,Mark 38,Mark 14,VEV_4000,XIRECS,1264.0,2,1,sell,Mark 38,1243,14,1264,14,1253.5,21,14,-14,42.0,-42.0,1255.5,8.5,-2.0,1255.5,8.5,-2.0,1254.5,9.5,-1.0,1253.5,10.5,0.0,at_ask,21.0,10.5,0.9181
6200,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9955.0,5,1,sell,Mark 38,9939,12,9955,12,9947.0,16,12,-12,41.0,-41.0,9946.0,9.0,1.0,9946.0,9.0,1.0,9947.0,8.0,0.0,9945.0,10.0,2.0,at_ask,16.0,8.0,0.9835
15000,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9966.0,4,1,sell,Mark 38,9951,13,9966,13,9958.5,15,13,-13,38.0,-38.0,9957.0,9.0,1.5,9957.0,9.0,1.5,9956.0,10.0,2.5,9957.0,9.0,1.5,at_ask,15.0,7.5,0.0611
16700,Mark 14,Mark 38,VEV_4000,XIRECS,1221.0,2,1,buy,Mark 38,1221,13,1231,2,1226.0,10,13,-2,28.0,-30.0,1230.5,9.5,4.5,1230.5,9.5,4.5,1229.5,8.5,3.5,1232.5,11.5,6.5,at_bid,10.0,5.0,0.0097
17300,Mark 14,Mark 38,VEV_4000,XIRECS,1221.0,1,1,buy,Mark 38,1221,15,1242,15,1231.5,21,15,-15,33.0,-33.0,1231.0,10.0,-0.5,1231.0,10.0,-0.5,1232.5,11.5,1.0,1233.5,12.5,2.0,at_bid,21.0,10.5,0.9181
17900,Mark 38,Mark 14,VEV_4000,XIRECS,1243.0,1,1,sell,Mark 38,1223,8,1243,8,1233.0,20,8,-8,37.0,-37.0,1232.5,10.5,0.5,1232.5,10.5,0.5,1232.0,11.0,1.0,1229.5,13.5,3.5,at_ask,20.0,10.0,0.1244
19300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5226.0,5,1,buy,Mark 55,5226,19,5231,55,5228.5,5,19,-55,55.0,-55.0,5228.5,2.5,0.0,5228.5,2.5,0.0,5227.5,1.5,-1.0,5228.5,2.5,0.0,at_bid,5.0,2.5,0.8202
20200,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5224.0,5,1,buy,Mark 55,5224,24,5229,24,5226.5,5,24,-24,60.0,-60.0,5226.5,2.5,0.0,5226.5,2.5,0.0,5228.5,4.5,2.0,5227.5,3.5,1.0,at_bid,5.0,2.5,0.8202
22800,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9946.0,6,1,buy,Mark 38,9946,12,9962,12,9954.0,16,12,-12,38.0,-38.0,9954.0,8.0,0.0,9954.0,8.0,0.0,9953.0,7.0,-1.0,9951.0,5.0,-3.0,at_bid,16.0,8.0,0.9835
25700,Mark 38,Mark 14,VEV_4000,XIRECS,1241.0,3,1,sell,Mark 38,1221,7,1241,7,1231.0,20,7,-7,25.0,-25.0,1232.0,9.0,-1.0,1232.0,9.0,-1.0,1230.5,10.5,0.5,1230.5,10.5,0.5,at_ask,20.0,10.0,0.1244
29300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5237.0,4,1,buy,Mark 55,5237,24,5242,24,5239.5,5,24,-24,59.0,-59.0,5238.5,1.5,-1.0,5238.5,1.5,-1.0,5240.5,3.5,1.0,5241.5,4.5,2.0,at_bid,5.0,2.5,0.8202
30800,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9940.0,2,1,buy,Mark 38,9940,10,9956,10,9948.0,16,10,-10,39.0,-39.0,9946.0,6.0,-2.0,9946.0,6.0,-2.0,9946.0,6.0,-2.0,9947.0,7.0,-1.0,at_bid,16.0,8.0,0.9835
31400,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9953.0,3,1,sell,Mark 38,9937,11,9953,11,9945.0,16,11,-11,33.0,-33.0,9945.0,8.0,0.0,9945.0,8.0,0.0,9945.0,8.0,0.0,9945.5,7.5,-0.5,at_ask,16.0,8.0,0.9835
32000,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9938.0,5,1,buy,Mark 38,9938,15,9954,15,9946.0,16,15,-15,35.0,-35.0,9947.0,9.0,1.0,9947.0,9.0,1.0,9947.0,9.0,1.0,9952.0,14.0,6.0,at_bid,16.0,8.0,0.9835
33600,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9948.0,6,1,buy,Mark 38,9948,13,9964,13,9956.0,16,13,-13,40.0,-40.0,9955.0,7.0,-1.0,9955.0,7.0,-1.0,9953.0,5.0,-3.0,9950.0,2.0,-6.0,at_bid,16.0,8.0,0.9835
36200,Mark 38,Mark 14,VEV_4000,XIRECS,1244.0,3,1,sell,Mark 38,1223,13,1244,13,1233.5,21,13,-13,39.0,-39.0,1232.5,11.5,1.0,1232.5,11.5,1.0,1233.5,10.5,0.0,1233.0,11.0,0.5,at_ask,21.0,10.5,0.9181
37400,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9936.0,4,1,buy,Mark 38,9936,13,9952,13,9944.0,16,13,-13,35.0,-35.0,9946.0,10.0,2.0,9946.0,10.0,2.0,9948.0,12.0,4.0,9951.0,15.0,7.0,at_bid,16.0,8.0,0.9835
40900,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9951.0,5,1,sell,Mark 38,9935,12,9951,12,9943.0,16,12,-12,37.0,-37.0,9944.0,7.0,-1.0,9944.0,7.0,-1.0,9944.0,7.0,-1.0,9944.0,7.0,-1.0,at_ask,16.0,8.0,0.9835
41300,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9953.0,5,1,sell,Mark 38,9937,14,9953,14,9945.0,16,14,-14,41.0,-41.0,9944.0,9.0,1.0,9944.0,9.0,1.0,9945.0,8.0,0.0,9946.0,7.0,-1.0,at_ask,16.0,8.0,0.9835
43900,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9952.0,6,1,buy,Mark 38,9952,12,9968,12,9960.0,16,12,-12,36.0,-36.0,9964.0,12.0,4.0,9964.0,12.0,4.0,9968.0,16.0,8.0,9967.0,15.0,7.0,at_bid,16.0,8.0,0.9835
45200,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9961.0,2,1,buy,Mark 38,9961,14,9977,14,9969.0,16,14,-14,34.0,-34.0,9964.0,3.0,-5.0,9964.0,3.0,-5.0,9971.0,10.0,2.0,9972.0,11.0,3.0,at_bid,16.0,8.0,0.9835
48300,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9960.0,3,1,buy,Mark 38,9960,15,9975,15,9967.5,15,15,-15,35.0,-35.0,9966.0,6.0,-1.5,9966.0,6.0,-1.5,9966.0,6.0,-1.5,9966.0,6.0,-1.5,at_bid,15.0,7.5,0.0611
50200,Mark 14,Mark 38,VEV_4000,XIRECS,1236.0,2,1,buy,Mark 38,1236,14,1257,14,1246.5,21,14,-14,42.0,-42.0,1246.5,10.5,0.0,1246.5,10.5,0.0,1246.5,10.5,0.0,1239.0,3.0,-7.5,at_bid,21.0,10.5,0.9181
50300,Mark 38,Mark 14,VEV_4000,XIRECS,1257.0,3,1,sell,Mark 38,1236,12,1257,12,1246.5,21,12,-12,41.0,-41.0,1246.5,10.5,0.0,1246.5,10.5,0.0,1245.5,11.5,1.0,1243.5,13.5,3.0,at_ask,21.0,10.5,0.9181
51700,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5243.0,4,1,buy,Mark 55,5243,19,5248,19,5245.5,5,19,-19,50.0,-50.0,5247.5,4.5,2.0,5247.5,4.5,2.0,5246.5,3.5,1.0,5246.5,3.5,1.0,at_bid,5.0,2.5,0.8202
52400,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9961.0,5,1,buy,Mark 38,9961,14,9977,14,9969.0,16,14,-14,34.0,-34.0,9971.0,10.0,2.0,9971.0,10.0,2.0,9970.0,9.0,1.0,9969.0,8.0,0.0,at_bid,16.0,8.0,0.9835
