symbol,side,day,timestamp,qty,entry_ts,historical_edge_t200,executable_edge_t200,slippage
VEV_4000,sell,1,5300,2,5400,9.5,-8.5,19.0
HYDROGEL_PACK,sell,1,6200,5,6300,8.0,-2.5,17.0
HYDROGEL_PACK,sell,1,15000,4,15100,10.0,-8.0,17.0
VEV_4000,buy,1,16700,2,16800,8.5,-11.5,20.0
VEV_4000,buy,1,17300,1,17400,11.5,-7.5,20.0
VEV_4000,sell,1,17900,1,18000,11.0,-9.5,21.0
VELVETFRUIT_EXTRACT,buy,1,19300,5,19400,1.5,-2.0,5.0
VELVETFRUIT_EXTRACT,buy,1,20200,5,20300,4.5,-1.0,5.0
HYDROGEL_PACK,buy,1,22800,6,22900,7.0,-9.0,16.0
VEV_4000,sell,1,25700,3,25800,10.5,-10.0,19.0
VELVETFRUIT_EXTRACT,buy,1,29300,4,29400,3.5,-2.5,4.0
HYDROGEL_PACK,buy,1,30800,2,30900,6.0,-9.0,14.0
HYDROGEL_PACK,sell,1,31400,3,31500,8.0,-10.0,16.0
HYDROGEL_PACK,buy,1,32000,5,32100,9.0,-6.0,17.0
HYDROGEL_PACK,buy,1,33600,6,33700,5.0,-9.0,15.0
VEV_4000,sell,1,36200,3,36300,10.5,-10.5,22.0
HYDROGEL_PACK,buy,1,37400,4,37500,12.0,-8.0,18.0
HYDROGEL_PACK,sell,1,40900,5,41000,7.0,-9.0,15.0
HYDROGEL_PACK,sell,1,41300,5,41400,8.0,-8.0,17.0
HYDROGEL_PACK,buy,1,43900,6,44000,16.0,-3.5,20.0
HYDROGEL_PACK,buy,1,45200,2,45300,10.0,3.0,7.0
HYDROGEL_PACK,buy,1,48300,3,48400,6.0,-5.0,14.0
VEV_4000,buy,1,50200,2,50300,10.5,-11.5,21.0
VEV_4000,sell,1,50300,3,50400,11.5,-8.5,21.0
VELVETFRUIT_EXTRACT,buy,1,51700,4,51800,3.5,-3.5,7.0
HYDROGEL_PACK,buy,1,52400,5,52500,9.0,-8.0,18.0
HYDROGEL_PACK,buy,1,53000,4,53100,6.0,-9.0,15.0
VEV_5500,buy,1,53400,2,53500,0.0,-0.5,1.0
VEV_4000,sell,1,53800,2,53900,10.5,-12.5,21.0
VEV_4000,buy,1,54400,3,54500,9.5,-9.5,20.0
VEV_4000,sell,1,57600,3,57700,9.5,-9.5,20.0
HYDROGEL_PACK,buy,1,59300,4,59400,6.0,-9.0,16.0
VELVETFRUIT_EXTRACT,buy,1,59600,4,59700,3.0,-1.5,5.0
VELVETFRUIT_EXTRACT,buy,1,60300,5,60400,3.5,-2.5,6.0
HYDROGEL_PACK,sell,1,61100,2,61200,9.0,-10.0,17.0
HYDROGEL_PACK,sell,1,61400,2,61500,9.0,-5.0,16.0
VELVETFRUIT_EXTRACT,buy,1,62100,6,62200,0.5,-3.5,3.0
VEV_4000,sell,1,62600,1,62700,10.0,-9.5,21.0
VEV_4000,sell,1,63100,3,63200,9.5,-11.5,20.0
HYDROGEL_PACK,sell,1,63200,5,63300,13.0,-4.0,18.0
VELVETFRUIT_EXTRACT,buy,1,63200,8,63300,3.5,-0.5,5.0
VELVETFRUIT_EXTRACT,sell,1,64200,6,64300,0.5,-3.5,5.0
HYDROGEL_PACK,buy,1,64300,4,64400,6.0,-7.0,15.0
HYDROGEL_PACK,buy,1,65400,4,65500,4.5,-1.5,17.0
VELVETFRUIT_EXTRACT,buy,1,65700,8,65800,2.5,-1.5,4.0
HYDROGEL_PACK,buy,1,65900,2,66000,9.0,-4.0,15.0
VELVETFRUIT_EXTRACT,sell,1,67700,4,67800,2.5,-3.5,6.0
VEV_4000,sell,1,68000,2,68100,11.5,-9.5,22.0
HYDROGEL_PACK,buy,1,69500,2,69600,8.0,-12.0,18.0
VEV_4000,buy,1,70500,1,70600,10.0,-10.0,21.0
HYDROGEL_PACK,buy,1,73500,3,73600,12.0,-5.0,20.0
VELVETFRUIT_EXTRACT,sell,1,74300,6,74400,0.5,-4.5,3.0
VELVETFRUIT_EXTRACT,buy,1,74400,4,74500,4.5,-0.5,5.0
HYDROGEL_PACK,sell,1,76600,3,76700,3.0,-11.0,13.0
VELVETFRUIT_EXTRACT,sell,1,77300,8,77400,2.5,-1.5,5.0
VEV_4000,buy,1,78300,3,78400,12.0,-9.0,20.0
HYDROGEL_PACK,sell,1,78500,4,78600,10.0,-8.0,18.0
HYDROGEL_PACK,buy,1,79000,3,79100,7.0,-11.0,17.0
HYDROGEL_PACK,sell,1,79800,6,79900,10.0,-4.0,16.0
HYDROGEL_PACK,buy,1,81300,6,81400,4.0,-7.0,11.0
HYDROGEL_PACK,sell,1,81700,3,81800,10.0,-8.0,18.0
HYDROGEL_PACK,sell,1,81900,2,82000,5.0,-7.0,16.0
HYDROGEL_PACK,sell,1,82300,3,82400,4.0,-13.0,14.0
VEV_4000,sell,1,84300,1,84400,9.5,-12.0,21.0
VEV_5300,buy,1,85300,2,85400,1.0,0.0,1.0
VELVETFRUIT_EXTRACT,buy,1,87900,3,88000,1.5,-4.0,4.0
VEV_4000,buy,1,89300,3,89400,11.5,-10.5,21.0
VELVETFRUIT_EXTRACT,sell,1,91100,6,91200,2.5,-2.0,4.0
VELVETFRUIT_EXTRACT,sell,1,92000,8,92100,0.5,-4.5,5.0
HYDROGEL_PACK,buy,1,92100,4,92200,9.0,-8.0,18.0
HYDROGEL_PACK,buy,1,92500,2,92600,9.0,-12.0,18.0
HYDROGEL_PACK,sell,1,94400,4,94500,9.0,-11.0,18.0
HYDROGEL_PACK,buy,1,97100,2,97200,6.0,-9.0,16.0
HYDROGEL_PACK,sell,1,98600,2,98700,11.0,-6.0,16.0
HYDROGEL_PACK,sell,1,99000,3,99100,7.0,-9.0,17.0
VELVETFRUIT_EXTRACT,sell,1,100500,4,100600,0.5,-3.5,5.0
HYDROGEL_PACK,buy,1,101400,5,101500,7.0,-10.0,15.0
HYDROGEL_PACK,buy,1,101500,6,101600,6.0,1.5,16.0
VEV_4000,buy,1,102500,1,102600,12.5,-10.5,22.0
VEV_4000,buy,1,102800,1,102900,11.5,-12.5,22.0
HYDROGEL_PACK,sell,1,103100,4,103200,4.0,-11.0,15.0
HYDROGEL_PACK,buy,1,103500,3,103600,13.0,-5.0,19.0
VELVETFRUIT_EXTRACT,sell,1,104400,6,104500,2.5,-1.5,5.0
HYDROGEL_PACK,buy,1,107100,5,107200,8.0,-10.0,19.0
HYDROGEL_PACK,buy,1,109100,2,109200,11.0,-7.0,16.0
