symbol,side,n,historical_mean,executable_mean,executable_sum,mean_slippage
VEV_5500,buy,7,0.2857142857142857,-0.7142857142857143,-5.0,1.0
VEV_5400,buy,13,0.07692307692307693,-0.9230769230769231,-12.0,1.0
VEV_5300,buy,30,0.5666666666666667,-0.9,-27.0,1.5
VEV_5200,buy,33,0.9090909090909091,-1.5,-49.5,2.4242424242424243
VELVETFRUIT_EXTRACT,buy,316,2.338607594936709,-2.3322784810126582,-737.0,4.727848101265823
VELVETFRUIT_EXTRACT,sell,331,2.3036253776435047,-2.663141993957704,-881.5,4.921450151057402
VEV_4000,sell,207,10.381642512077295,-10.451690821256038,-2163.5,20.82608695652174
VEV_4000,buy,232,10.21551724137931,-10.564655172413794,-2451.0,20.801724137931036
HYDROGEL_PACK,sell,507,8.207100591715976,-7.652859960552268,-3880.0,15.883629191321498
HYDROGEL_PACK,buy,496,8.115927419354838,-7.911290322580645,-3924.0,15.965725806451612
