symbol,offset,n,cross_mean,passive_fill_rate,passive_mean_if_filled,passive_edge_per_event
HYDROGEL_PACK,100,1003,-7.678464606181455,0.8005982053838484,6.334993773349938,5.071784646061815
HYDROGEL_PACK,200,1003,-7.6445663010967095,0.7088733798604188,5.756680731364276,4.080757726819542
HYDROGEL_PACK,500,1003,-7.610667996011964,0.6520438683948155,4.789755351681957,3.1231306081754737
HYDROGEL_PACK,1000,1003,-7.966600199401794,0.6311066799601196,3.2464454976303316,2.0488534396809572
HYDROGEL_PACK,2000,1003,-8.191924227318045,0.6370887337986042,1.8145539906103287,1.1560319042871385
HYDROGEL_PACK,5000,1003,-7.945663010967099,0.6650049850448654,0.5824587706146926,0.38733798604187436
VELVETFRUIT_EXTRACT,100,647,-2.510819165378671,0.9119010819165378,1.278813559322034,1.1661514683153014
VELVETFRUIT_EXTRACT,200,647,-2.547913446676971,0.8330757341576507,1.0426716141001855,0.8686244204018547
VELVETFRUIT_EXTRACT,500,647,-2.571097372488408,0.740340030911901,0.5563674321503131,0.41190108191653785
VELVETFRUIT_EXTRACT,1000,647,-2.5942812982998453,0.7078825347758887,0.009825327510917031,0.006955177743431221
VELVETFRUIT_EXTRACT,2000,647,-2.883307573415765,0.7357032457496137,-0.6039915966386554,-0.44435857805255025
VELVETFRUIT_EXTRACT,5000,647,-2.6298299845440494,0.714064914992272,-1.3614718614718615,-0.9721792890262752
VEV_4000,100,439,-10.58997722095672,0.9407744874715261,9.081113801452785,8.543280182232346
VEV_4000,200,439,-10.519362186788156,0.8473804100227791,8.82258064516129,7.476082004555809
VEV_4000,500,439,-10.451025056947609,0.7403189066059226,8.409230769230769,6.225512528473804
VEV_4000,1000,439,-10.460136674259681,0.724373576309795,8.069182389937106,5.8451025056947605
VEV_4000,2000,439,-10.507972665148063,0.6697038724373576,7.181972789115647,4.809794988610478
VEV_4000,5000,439,-10.585421412300683,0.6583143507972665,5.961937716262976,3.924829157175399
VEV_5200,100,33,-1.303030303030303,0.9393939393939394,0.22580645161290322,0.21212121212121213
VEV_5200,200,33,-1.393939393939394,0.9393939393939394,0.16129032258064516,0.15151515151515152
VEV_5200,500,33,-0.9090909090909091,0.7272727272727273,0.0,0.0
VEV_5200,1000,33,-0.7272727272727273,0.696969696969697,0.1956521739130435,0.13636363636363635
VEV_5200,2000,33,-0.5757575757575758,0.5454545454545454,-0.2222222222222222,-0.12121212121212122
VEV_5200,5000,33,-1.0909090909090908,0.6363636363636364,-1.3571428571428572,-0.8636363636363636
VEV_5300,100,30,-0.8666666666666667,1.0,-0.06666666666666667,-0.06666666666666667
VEV_5300,200,30,-0.8333333333333334,0.9666666666666667,-0.034482758620689655,-0.03333333333333333
VEV_5300,500,30,-0.9666666666666667,0.9333333333333333,-0.08928571428571429,-0.08333333333333333
VEV_5300,1000,30,-0.8,0.7333333333333333,-0.3181818181818182,-0.23333333333333334
VEV_5300,2000,30,-0.6,0.7333333333333333,-0.4090909090909091,-0.3
VEV_5300,5000,30,-0.5,0.7,-0.40476190476190477,-0.2833333333333333
VEV_5400,100,13,-0.9230769230769231,1.0,-0.6153846153846154,-0.6153846153846154
VEV_5400,200,13,-0.9230769230769231,1.0,-0.38461538461538464,-0.38461538461538464
VEV_5400,500,13,-0.5384615384615384,1.0,-0.23076923076923078,-0.23076923076923078
VEV_5400,1000,13,-0.46153846153846156,1.0,-0.3076923076923077,-0.3076923076923077
VEV_5400,2000,13,-0.38461538461538464,0.9230769230769231,-0.3333333333333333,-0.3076923076923077
VEV_5400,5000,13,-0.15384615384615385,0.7692307692307693,-0.35,-0.2692307692307692
VEV_5500,100,7,-0.7142857142857143,1.0,-0.42857142857142855,-0.42857142857142855
VEV_5500,200,7,-0.7142857142857143,1.0,-0.2857142857142857,-0.2857142857142857
VEV_5500,500,7,-0.5714285714285714,1.0,-0.2857142857142857,-0.2857142857142857
VEV_5500,1000,7,-0.42857142857142855,1.0,-0.14285714285714285,-0.14285714285714285
VEV_5500,2000,7,-0.2857142857142857,1.0,-0.2857142857142857,-0.2857142857142857
VEV_5500,5000,7,-0.5714285714285714,1.0,-0.42857142857142855,-0.42857142857142855
