symbol,side,day,n,qty_sum,qty_mean,qty_median,edge_t10_mean,edge_t10_sum,edge_t50_mean,edge_t50_sum,edge_t200_mean,edge_t200_sum,edge_t500_mean,edge_t500_sum,midmo_t200_mean
HYDROGEL_PACK,buy,1,183,729,3.9836065573770494,4.0,8.240437158469945,1508.0,8.240437158469945,1508.0,8.21584699453552,1503.5,8.30327868852459,1519.5,0.24863387978142076
HYDROGEL_PACK,buy,2,142,571,4.02112676056338,4.0,8.06338028169014,1145.0,8.06338028169014,1145.0,8.161971830985916,1159.0,8.151408450704226,1157.5,0.16901408450704225
HYDROGEL_PACK,buy,3,171,689,4.029239766081871,4.0,8.190058479532164,1400.5,8.190058479532164,1400.5,7.970760233918129,1363.0,7.701754385964913,1317.0,-0.014619883040935672
HYDROGEL_PACK,sell,1,187,738,3.946524064171123,4.0,8.219251336898395,1537.0,8.219251336898395,1537.0,8.470588235294118,1584.0,8.270053475935828,1546.5,0.5133689839572193
HYDROGEL_PACK,sell,2,161,641,3.981366459627329,4.0,7.996894409937888,1287.5,7.996894409937888,1287.5,8.354037267080745,1345.0,8.027950310559007,1292.5,0.43788819875776397
HYDROGEL_PACK,sell,3,159,654,4.113207547169812,4.0,7.9245283018867925,1260.0,7.9245283018867925,1260.0,7.748427672955975,1232.0,8.0125786163522,1274.0,-0.19811320754716982
VELVETFRUIT_EXTRACT,buy,1,114,630,5.526315789473684,5.5,2.3508771929824563,268.0,2.3508771929824563,268.0,2.539473684210526,289.5,2.6052631578947367,297.0,0.07894736842105263
VELVETFRUIT_EXTRACT,buy,2,92,542,5.891304347826087,6.0,2.016304347826087,185.5,2.016304347826087,185.5,2.0434782608695654,188.0,2.157608695652174,198.5,-0.3695652173913043
VELVETFRUIT_EXTRACT,buy,3,110,589,5.3545454545454545,5.0,2.3227272727272728,255.5,2.3227272727272728,255.5,2.3772727272727274,261.5,2.381818181818182,262.0,-0.03636363636363636
VELVETFRUIT_EXTRACT,sell,1,97,513,5.288659793814433,5.0,2.5618556701030926,248.5,2.5618556701030926,248.5,2.283505154639175,221.5,2.3247422680412373,225.5,-0.17010309278350516
VELVETFRUIT_EXTRACT,sell,2,118,627,5.313559322033898,5.0,2.2711864406779663,268.0,2.2711864406779663,268.0,2.2203389830508473,262.0,2.135593220338983,252.0,-0.2669491525423729
VELVETFRUIT_EXTRACT,sell,3,116,623,5.370689655172414,5.0,2.3663793103448274,274.5,2.3663793103448274,274.5,2.4051724137931036,279.0,2.163793103448276,251.0,-0.03879310344827586
VEV_4000,buy,1,91,185,2.032967032967033,2.0,10.697802197802197,973.5,10.697802197802197,973.5,10.505494505494505,956.0,10.26923076923077,934.5,0.054945054945054944
VEV_4000,buy,2,64,132,2.0625,2.0,10.2734375,657.5,10.2734375,657.5,9.9296875,635.5,10.0078125,640.5,-0.609375
VEV_4000,buy,3,77,141,1.8311688311688312,2.0,10.24025974025974,788.5,10.24025974025974,788.5,10.11038961038961,778.5,10.584415584415584,815.0,-0.3116883116883117
VEV_4000,sell,1,72,147,2.0416666666666665,2.0,10.604166666666666,763.5,10.604166666666666,763.5,10.555555555555555,760.0,10.666666666666666,768.0,0.1597222222222222
VEV_4000,sell,2,64,124,1.9375,2.0,10.4140625,666.5,10.4140625,666.5,10.3671875,663.5,10.203125,653.0,-0.0703125
VEV_4000,sell,3,71,141,1.9859154929577465,2.0,10.19718309859155,724.0,10.19718309859155,724.0,10.21830985915493,725.5,9.852112676056338,699.5,-0.07746478873239436
VEV_5200,buy,1,6,21,3.5,4.0,1.4166666666666667,8.5,1.4166666666666667,8.5,0.75,4.5,0.5,3.0,-0.25
VEV_5200,buy,2,8,26,3.25,3.0,1.3125,10.5,1.3125,10.5,1.0625,8.5,1.0,8.0,0.0625
VEV_5200,buy,3,19,75,3.9473684210526314,4.0,0.9473684210526315,18.0,0.9473684210526315,18.0,0.8947368421052632,17.0,0.7368421052631579,14.0,-0.10526315789473684
VEV_5300,buy,1,6,19,3.1666666666666665,2.5,0.8333333333333334,5.0,0.8333333333333334,5.0,1.1666666666666667,7.0,0.8333333333333334,5.0,0.16666666666666666
VEV_5300,buy,2,14,55,3.9285714285714284,4.0,0.39285714285714285,5.5,0.39285714285714285,5.5,0.42857142857142855,6.0,0.03571428571428571,0.5,-0.39285714285714285
VEV_5300,buy,3,10,31,3.1,3.0,0.45,4.5,0.45,4.5,0.4,4.0,0.45,4.5,-0.1
VEV_5400,buy,1,5,19,3.8,4.0,0.1,0.5,0.1,0.5,0.0,0.0,0.1,0.5,-0.5
VEV_5400,buy,2,2,7,3.5,3.5,0.0,0.0,0.0,0.0,-0.25,-0.5,-0.25,-0.5,-0.75
VEV_5400,buy,3,6,22,3.6666666666666665,3.5,0.25,1.5,0.25,1.5,0.25,1.5,0.16666666666666666,1.0,-0.16666666666666666
VEV_5500,buy,1,3,11,3.6666666666666665,4.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.16666666666666666,0.5,0.5,1.5,-0.3333333333333333
VEV_5500,buy,2,3,11,3.6666666666666665,4.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,1.5,0.16666666666666666,0.5,0.0
VEV_5500,buy,3,1,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,-0.5
