symbol,side,n,qty_mean,qty_p50,qty_p90,qty_min,qty_max,top_sizes
HYDROGEL_PACK,buy,496,4.01008064516129,4.0,6.0,2,6,"3x109, 5x102, 6x101, 2x95, 4x89"
HYDROGEL_PACK,sell,507,4.009861932938856,4.0,6.0,2,6,"6x110, 4x106, 2x104, 3x97, 5x90"
VELVETFRUIT_EXTRACT,buy,316,5.572784810126582,6.0,8.0,3,8,"7x57, 8x55, 4x54, 6x54, 3x49"
VELVETFRUIT_EXTRACT,sell,331,5.326283987915408,5.0,8.0,3,8,"3x63, 5x62, 4x59, 7x50, 6x49"
VEV_4000,buy,232,1.9741379310344827,2.0,3.0,1,3,"1x84, 3x78, 2x70"
VEV_4000,sell,207,1.9903381642512077,2.0,3.0,1,3,"2x71, 1x69, 3x67"
VEV_5200,buy,33,3.696969696969697,4.0,5.0,2,5,"5x12, 2x8, 4x7, 3x6"
VEV_5300,buy,30,3.5,3.5,5.0,2,5,"2x9, 5x9, 3x6, 4x6"
VEV_5400,buy,13,3.6923076923076925,4.0,5.0,2,5,"3x4, 5x4, 4x3, 2x2"
VEV_5500,buy,7,3.857142857142857,4.0,5.0,2,5,"5x3, 2x2, 4x2"
