symbol,side,day,n,first_ts,last_ts,gap_mean,gap_p50,gap_p10,gap_p90,gap_min,gap_max
HYDROGEL_PACK,buy,1,183,22800,989000,5308.791208791209,4150.0,510.0000000000001,11570.000000000002,100.0,22600.0
HYDROGEL_PACK,buy,2,142,10200,996500,6995.035460992908,5100.0,1000.0,14700.0,100.0,39400.0
HYDROGEL_PACK,buy,3,171,4500,982800,5754.705882352941,3600.0,590.0000000000002,13939.999999999998,100.0,31800.0
HYDROGEL_PACK,sell,1,187,6200,985800,5266.666666666667,4050.0,400.0,11750.0,100.0,30000.0
HYDROGEL_PACK,sell,2,161,11200,992200,6131.25,3650.0,490.00000000000006,15010.0,100.0,28700.0
HYDROGEL_PACK,sell,3,159,4400,992400,6253.164556962025,4950.0,1110.0000000000002,13630.000000000002,100.0,41900.0
VELVETFRUIT_EXTRACT,buy,1,114,19300,991600,8604.424778761062,5500.0,740.0000000000002,22160.0,100.0,42800.0
VELVETFRUIT_EXTRACT,buy,2,92,17400,996500,10759.34065934066,6200.0,1100.0,26000.0,200.0,44900.0
VELVETFRUIT_EXTRACT,buy,3,110,28500,995300,8869.724770642202,6100.0,1040.0000000000002,19720.0,200.0,36200.0
VELVETFRUIT_EXTRACT,sell,1,97,64200,984900,9590.625,5100.0,900.0,24350.0,100.0,57600.0
VELVETFRUIT_EXTRACT,sell,2,118,2900,995100,8480.34188034188,5600.0,620.0000000000002,17840.000000000007,100.0,38300.0
VELVETFRUIT_EXTRACT,sell,3,116,10600,997500,8581.739130434782,7000.0,800.0,22000.000000000004,100.0,33900.0
VEV_4000,buy,1,91,16700,997300,10895.555555555555,7500.0,1470.0,26350.000000000015,300.0,44100.0
VEV_4000,buy,2,64,1300,982500,15574.603174603175,10300.0,1400.0,36200.00000000003,200.0,94400.0
VEV_4000,buy,3,77,1700,972500,12773.684210526315,8700.0,950.0,31400.0,200.0,45800.0
VEV_4000,sell,1,72,5300,998500,13988.732394366198,10500.0,1800.0,30900.0,200.0,93100.0
VEV_4000,sell,2,64,9000,998800,15711.111111111111,11000.0,2400.0,33900.0,800.0,73700.0
VEV_4000,sell,3,71,8700,993700,14071.42857142857,11100.0,1280.0,27050.000000000004,400.0,61500.0
VEV_5200,buy,1,6,322600,988100,133100.0,60100.0,8280.0,304280.0,6000.0,346000.0
VEV_5200,buy,2,8,414900,876500,65942.85714285714,12600.0,9140.0,172140.00000000003,8900.0,210000.0
VEV_5200,buy,3,19,98900,878300,43300.0,23650.0,1400.0000000000002,122420.0,500.0,154500.0
VEV_5300,buy,1,6,85300,848900,152720.0,128400.0,40080.0,282520.0,10000.0,332600.0
VEV_5300,buy,2,14,79300,977300,69076.92307692308,61400.0,22620.0,139400.00000000003,4500.0,176900.0
VEV_5300,buy,3,10,128700,983300,94955.55555555556,78300.0,37160.0,155320.0,28200.0,215400.0
VEV_5400,buy,1,5,206200,746300,135025.0,127100.0,39010.0,237380.00000000003,11200.0,274700.0
VEV_5400,buy,2,2,45100,102600,57500.0,57500.0,57500.0,57500.0,57500.0,57500.0
VEV_5400,buy,3,6,33600,943900,182060.0,166300.0,58000.0,305380.0,6600.0,322300.0
VEV_5500,buy,1,3,53400,848900,397750.0,397750.0,339470.0,456030.0,324900.0,470600.0
VEV_5500,buy,2,3,294600,423800,64600.0,64600.0,50360.0,78840.0,46800.0,82400.0
VEV_5500,buy,3,1,498100,498100,,,,,,
