symbol,mod,top_buckets
HYDROGEL_PACK,1000,"400:112, 800:111, 500:107, 700:101, 100:100"
HYDROGEL_PACK,5000,"1200:29, 4800:29, 4500:28, 1400:27, 100:27"
HYDROGEL_PACK,10000,"100:18, 4800:16, 600:16, 7100:16, 1400:16"
VELVETFRUIT_EXTRACT,1000,"100:77, 700:72, 400:71, 500:68, 300:66"
VELVETFRUIT_EXTRACT,5000,"100:19, 3400:18, 700:18, 2000:18, 2400:18"
VELVETFRUIT_EXTRACT,10000,"8400:13, 5700:11, 7400:11, 5100:11, 3700:10"
VEV_4000,1000,"900:54, 300:53, 100:53, 200:46, 700:44"
VEV_4000,5000,"4100:16, 2900:14, 900:14, 3100:14, 2300:13"
VEV_4000,10000,"9100:10, 6800:9, 4200:8, 7900:8, 3100:8"
VEV_5200,1000,"400:5, 100:5, 600:4, 200:4, 300:3"
VEV_5200,5000,"4400:3, 1200:2, 4800:2, 4200:2, 1500:2"
VEV_5200,10000,"4400:2, 9800:2, 6500:2, 8900:2, 6200:2"
VEV_5300,1000,"300:8, 500:7, 900:3, 700:2, 200:2"
VEV_5300,5000,"500:4, 4600:2, 3500:2, 1300:2, 4000:2"
VEV_5300,10000,"500:3, 9300:2, 8500:2, 6300:1, 7900:1"
VEV_5400,1000,"200:3, 100:3, 600:3, 400:1, 300:1"
VEV_5400,5000,"100:3, 2600:2, 200:2, 1200:1, 400:1"
VEV_5400,10000,"5100:2, 200:2, 6200:1, 100:1, 400:1"
VEV_5500,1000,"400:2, 0:1, 900:1, 600:1, 800:1"
VEV_5500,5000,"3400:1, 4000:1, 3900:1, 4600:1, 1400:1"
VEV_5500,10000,"3400:1, 4000:1, 8900:1, 4600:1, 1400:1"
