counterparty,symbol,mark22_side,trades,qty
Mark 01,VEV_6000,sell,317,1105
Mark 01,VEV_6500,sell,317,1105
Mark 01,VEV_5500,sell,299,1042
Mark 01,VEV_5400,sell,263,911
Mark 01,VEV_5300,sell,132,439
Mark 67,VELVETFRUIT_EXTRACT,sell,75,546
Mark 14,VEV_5200,sell,33,122
Mark 14,VEV_5300,sell,30,105
Mark 55,VELVETFRUIT_EXTRACT,buy,18,92
Mark 55,VELVETFRUIT_EXTRACT,sell,14,62
Mark 14,VEV_5400,sell,13,48
Mark 49,VELVETFRUIT_EXTRACT,sell,12,89
Mark 38,HYDROGEL_PACK,buy,11,42
Mark 01,VEV_5200,sell,11,34
Mark 38,HYDROGEL_PACK,sell,8,32
Mark 49,VELVETFRUIT_EXTRACT,buy,7,54
Mark 14,VEV_5500,sell,7,27
Mark 38,VEV_4000,sell,2,3
Mark 38,VEV_4500,sell,2,3
Mark 38,VEV_5000,sell,2,3
Mark 38,VEV_5100,sell,2,3
Mark 38,VEV_5200,sell,2,3
Mark 38,VEV_4000,buy,1,3
Mark 38,VEV_4500,buy,1,3
Mark 38,VEV_5000,buy,1,3
Mark 38,VEV_5100,buy,1,3
Mark 38,VEV_5200,buy,1,3
Mark 38,VEV_5300,buy,1,3
Mark 38,VEV_5300,sell,1,1
