timestamp,buyer,seller,symbol,currency,price,quantity,day,mark22_side,counterparty,bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,mid_price,spread,top_depth,total_depth,vvf_mid,replay_vol,vol_locked,role,price_vs_mid,price_vs_bid,price_vs_ask,price_vs_v314159_fair,future_mid_t10,mark22_mo_t10,contra_mo_t10,future_mid_t50,mark22_mo_t50,contra_mo_t50,future_mid_t200,mark22_mo_t200,contra_mo_t200,future_mid_t500,mark22_mo_t500,contra_mo_t500,spread_pctile_in_product_day,top_depth_pctile_in_product_day,total_depth_pctile_in_product_day
4500,Mark 01,Mark 22,VEV_5400,XIRECS,18.0,2,1,sell,Mark 01,18,24,19,26,18.5,1,50,50.0,5254.5,130.0,False,taker_sell_at_bid,-0.5,0.0,-1.0,9.988874061843255,18.5,-0.5,0.5,18.5,-0.5,0.5,18.5,-0.5,0.5,18.0,0.0,-0.0,61.36,79.71,77.56
4500,Mark 01,Mark 22,VEV_5500,XIRECS,8.0,2,1,sell,Mark 01,8,24,9,26,8.5,1,50,50.0,5254.5,130.0,False,taker_sell_at_bid,-0.5,0.0,-1.0,6.646844855625511,8.5,-0.5,0.5,8.5,-0.5,0.5,8.5,-0.5,0.5,8.5,-0.5,0.5,84.73,78.42,77.54
4500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,sell,Mark 01,0,24,1,26,0.5,1,50,50.0,5254.5,130.0,False,taker_sell_at_bid,-0.5,0.0,-1.0,-8.4998573809001e-08,0.5,-0.5,0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,100.0,77.59,77.59
4500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,sell,Mark 01,0,15,1,17,0.5,1,32,32.0,5254.5,130.0,False,taker_sell_at_bid,-0.5,0.0,-1.0,-4.348818459910789e-19,0.5,-0.5,0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,100.0,62.65,62.65
5100,Mark 38,Mark 22,HYDROGEL_PACK,XIRECS,9960.0,4,1,sell,Mark 38,9952,11,9960,4,9956.0,8,15,78.0,5252.0,170.0,True,passive_sell_at_ask,4.0,8.0,0.0,,9956.0,4.0,-4.0,9956.0,4.0,-4.0,9958.0,2.0,-2.0,9952.0,8.0,-8.0,2.38,0.26,66.66
9600,Mark 01,Mark 22,VEV_5400,XIRECS,16.0,4,1,sell,Mark 01,16,14,18,18,17.0,2,32,32.0,5246.5,170.0,True,taker_sell_at_bid,-1.0,0.0,-2.0,-1.632549809872934,16.5,-0.5,0.5,16.5,-0.5,0.5,17.0,-1.0,1.0,16.5,-0.5,0.5,100.0,11.32,4.78
9600,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,sell,Mark 01,7,14,8,18,7.5,1,32,32.0,5246.5,170.0,True,taker_sell_at_bid,-0.5,0.0,-1.0,1.6741465051907838,7.5,-0.5,0.5,7.5,-0.5,0.5,7.5,-0.5,0.5,7.5,-0.5,0.5,84.73,7.46,4.8
9600,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,sell,Mark 01,0,14,1,18,0.5,1,32,32.0,5246.5,170.0,True,taker_sell_at_bid,-0.5,0.0,-1.0,-0.00018110050384549572,0.5,-0.5,0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,100.0,4.8,4.8
9600,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,sell,Mark 01,0,11,1,15,0.5,1,26,26.0,5246.5,170.0,True,taker_sell_at_bid,-0.5,0.0,-1.0,-2.1947094890265854e-12,0.5,-0.5,0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,100.0,25.39,25.39
11800,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,sell,Mark 01,7,22,8,26,7.5,1,48,48.0,5241.5,170.0,True,taker_sell_at_bid,-0.5,0.0,-1.0,1.6741490532743164,7.5,-0.5,0.5,7.5,-0.5,0.5,7.5,-0.5,0.5,7.5,-0.5,0.5,84.73,69.67,68.36
