day,timestamp,mark22_rows,all_trade_rows_same_ts,non_mark22_trade_rows_same_ts,other_marks_same_ts
1,4500,4,4,0,Mark 01
1,5100,1,1,0,Mark 38
1,9600,4,4,0,Mark 01
1,11800,3,3,0,Mark 01
1,14800,5,6,1,"Mark 01,Mark 55"
1,16700,5,6,1,"Mark 01,Mark 14,Mark 38"
1,17400,1,1,0,Mark 67
1,32800,1,1,0,Mark 67
1,36500,1,1,0,Mark 55
1,38500,3,3,0,Mark 01
1,39400,1,2,1,"Mark 49,Mark 67"
1,40400,5,5,0,Mark 01
1,43400,4,4,0,Mark 01
1,45400,1,1,0,Mark 67
1,50700,4,4,0,Mark 01
1,52800,4,4,0,Mark 01
1,53400,3,3,0,"Mark 01,Mark 14"
1,73400,1,2,1,"Mark 49,Mark 55"
1,74100,5,5,0,Mark 01
1,78400,1,1,0,Mark 67
1,84600,1,1,0,Mark 67
1,85300,5,5,0,"Mark 01,Mark 14"
1,86100,4,4,0,Mark 01
1,88500,1,1,0,Mark 67
1,89800,4,4,0,Mark 01
1,120300,4,4,0,Mark 01
1,127200,3,3,0,Mark 01
1,135900,5,5,0,Mark 01
1,139700,1,1,0,Mark 67
1,145500,4,4,0,Mark 01
1,148300,1,1,0,Mark 55
1,150600,5,5,0,Mark 01
1,153000,4,4,0,Mark 01
1,163300,1,1,0,Mark 67
1,170400,4,4,0,Mark 01
1,170500,4,4,0,"Mark 01,Mark 14"
1,172500,5,5,0,Mark 01
1,188800,1,1,0,Mark 55
1,190100,5,5,0,Mark 01
1,195600,5,5,0,Mark 01
1,206200,3,3,0,"Mark 01,Mark 14"
1,235300,4,4,0,Mark 01
1,239600,1,2,1,"Mark 14,Mark 38,Mark 55"
1,242900,1,1,0,Mark 67
1,252500,5,6,1,"Mark 01,Mark 14,Mark 38"
1,258400,1,1,0,Mark 67
1,272600,1,1,0,Mark 67
1,291800,1,1,0,Mark 67
1,304000,4,4,0,Mark 01
1,308100,1,2,1,"Mark 14,Mark 38,Mark 67"
1,310100,4,4,0,"Mark 01,Mark 14"
1,322000,4,4,0,Mark 01
1,322600,4,4,0,"Mark 01,Mark 14"
1,350300,4,4,0,Mark 01
1,367900,1,1,0,Mark 67
1,376600,5,5,0,Mark 01
1,377900,4,4,0,"Mark 01,Mark 14"
1,399700,4,4,0,Mark 01
1,410400,4,4,0,Mark 01
1,428000,4,4,0,Mark 01
1,437100,10,10,0,"Mark 01,Mark 38"
1,455700,4,4,0,Mark 01
1,460400,5,5,0,"Mark 01,Mark 14"
1,476500,4,4,0,Mark 01
1,489700,5,6,1,"Mark 01,Mark 14,Mark 55"
1,498200,1,1,0,Mark 49
1,502700,3,3,0,Mark 01
1,505300,1,1,0,Mark 55
1,514100,1,1,0,Mark 49
1,519500,5,5,0,Mark 01
1,524000,4,4,0,"Mark 01,Mark 14"
1,524500,1,1,0,Mark 67
1,537900,1,1,0,Mark 55
1,547600,3,3,0,Mark 01
1,548400,3,3,0,Mark 01
1,551600,1,1,0,Mark 67
1,553100,4,4,0,Mark 01
1,564300,6,6,0,"Mark 01,Mark 14"
1,566100,1,1,0,Mark 38
1,567200,4,4,0,Mark 01
1,568900,5,5,0,Mark 01
1,570200,1,1,0,Mark 67
1,574800,4,4,0,Mark 01
1,575800,4,4,0,"Mark 01,Mark 67"
1,578400,1,1,0,Mark 67
1,582900,1,1,0,Mark 49
1,588200,5,5,0,Mark 01
1,588600,1,1,0,Mark 49
1,594900,1,1,0,Mark 55
1,604600,5,5,0,Mark 01
1,608500,1,1,0,Mark 67
1,612900,1,2,1,"Mark 01,Mark 49,Mark 55"
1,617900,5,5,0,Mark 01
1,618300,5,5,0,Mark 01
1,618900,1,1,0,Mark 55
1,624400,6,6,0,"Mark 01,Mark 14"
1,631700,3,3,0,Mark 01
1,632800,1,1,0,Mark 67
1,634800,1,2,1,"Mark 01,Mark 55,Mark 67"
1,636100,5,5,0,"Mark 01,Mark 14"
1,640300,1,1,0,Mark 38
1,642100,6,6,0,"Mark 01,Mark 14"
1,654200,4,4,0,Mark 01
1,674000,5,5,0,Mark 01
1,684000,4,4,0,Mark 01
1,693600,1,1,0,Mark 67
1,701200,4,5,1,"Mark 01,Mark 14,Mark 38"
1,703100,1,1,0,Mark 67
1,703200,4,4,0,Mark 01
1,710500,5,5,0,"Mark 01,Mark 14"
1,715000,4,4,0,Mark 01
1,720500,5,6,1,"Mark 01,Mark 14,Mark 55"
1,725000,5,5,0,Mark 01
1,735100,4,4,0,"Mark 01,Mark 14"
1,741900,4,4,0,Mark 01
1,746300,4,4,0,"Mark 01,Mark 14"
1,754200,4,4,0,Mark 01
1,760000,4,4,0,Mark 01
1,785800,4,5,1,"Mark 01,Mark 14,Mark 38"
1,792200,1,2,1,"Mark 14,Mark 38,Mark 55"
1,798100,4,4,0,Mark 01
1,800400,4,4,0,Mark 01
1,801800,4,4,0,Mark 01
1,803400,1,1,0,Mark 67
1,807800,5,5,0,Mark 01
1,812600,5,5,0,Mark 01
1,812900,1,1,0,Mark 67
1,813000,3,3,0,Mark 01
1,824800,3,3,0,Mark 01
1,832700,1,1,0,Mark 55
1,848900,4,4,0,"Mark 01,Mark 14"
1,850600,1,1,0,Mark 67
1,851200,4,4,0,Mark 01
1,865400,4,4,0,Mark 01
1,868800,3,3,0,Mark 01
1,882600,1,1,0,Mark 67
1,887800,1,1,0,Mark 49
1,898200,1,1,0,Mark 38
1,901100,4,4,0,Mark 01
1,921000,4,4,0,Mark 01
1,928400,3,3,0,Mark 01
1,936400,1,1,0,Mark 38
1,937300,4,4,0,Mark 01
1,943100,4,4,0,Mark 01
1,948500,5,5,0,Mark 01
1,948700,1,1,0,Mark 67
1,949400,1,1,0,Mark 67
1,950300,4,5,1,"Mark 01,Mark 14,Mark 38"
1,984700,1,1,0,Mark 67
1,986300,1,1,0,Mark 67
1,988100,6,6,0,"Mark 01,Mark 14"
1,990300,3,3,0,Mark 01
2,9900,1,1,0,Mark 55
2,12100,1,1,0,Mark 67
2,13100,4,4,0,Mark 01
2,20900,5,5,0,Mark 01
2,23500,4,4,0,Mark 01
2,29500,4,4,0,Mark 01
2,32500,1,1,0,Mark 55
2,41900,4,4,0,Mark 01
2,42900,4,4,0,Mark 01
2,45100,4,5,1,"Mark 01,Mark 14,Mark 38"
2,48400,1,1,0,Mark 67
2,49400,1,1,0,Mark 38
2,52900,3,3,0,Mark 01
2,71500,1,1,0,Mark 55
2,75200,5,5,0,Mark 01
2,79300,5,5,0,"Mark 01,Mark 14"
2,82100,1,1,0,Mark 55
2,102600,4,4,0,"Mark 01,Mark 14"
2,105500,4,4,0,Mark 01
2,126800,1,1,0,Mark 38
2,129300,1,2,1,"Mark 49,Mark 67"
2,129700,5,5,0,Mark 01
2,140500,1,1,0,Mark 55
2,165700,1,1,0,Mark 67
2,169000,5,6,1,"Mark 01,Mark 14,Mark 38"
2,171800,4,4,0,Mark 01
2,189100,5,5,0,Mark 01
2,194700,1,1,0,Mark 67
2,201300,1,1,0,Mark 55
2,204400,5,5,0,Mark 01
2,205000,1,1,0,Mark 49
2,206700,1,1,0,Mark 38
2,212200,1,1,0,Mark 55
2,225500,5,5,0,"Mark 01,Mark 14"
2,239400,4,5,1,"Mark 01,Mark 14,Mark 38"
2,253000,4,4,0,Mark 01
2,267900,1,1,0,Mark 38
2,268900,4,4,0,Mark 01
2,272000,3,3,0,Mark 01
2,274100,1,1,0,Mark 55
2,275200,4,4,0,Mark 01
2,282600,1,2,1,"Mark 01,Mark 49,Mark 55"
2,285800,1,1,0,Mark 67
2,286100,1,1,0,Mark 55
2,287100,4,4,0,Mark 01
2,287600,4,4,0,Mark 01
2,289300,5,5,0,"Mark 01,Mark 14"
2,294600,4,4,0,"Mark 01,Mark 14"
2,316700,4,4,0,Mark 01
2,316800,1,1,0,Mark 67
2,317500,4,4,0,Mark 01
2,320800,5,5,0,Mark 01
2,321600,5,5,0,Mark 01
2,333200,1,1,0,Mark 67
2,337000,1,1,0,Mark 67
2,341400,4,4,0,"Mark 01,Mark 14"
2,347800,4,4,0,Mark 01
2,350700,5,5,0,"Mark 01,Mark 14"
2,358500,5,5,0,Mark 01
2,362600,4,4,0,Mark 01
2,365600,5,5,0,Mark 01
2,373800,3,3,0,Mark 01
2,376300,4,4,0,Mark 01
2,378400,1,1,0,Mark 67
2,384800,1,1,0,Mark 38
2,389000,5,5,0,Mark 01
2,390300,5,5,0,Mark 01
2,398200,4,4,0,Mark 01
2,410200,4,4,0,Mark 01
2,414900,6,6,0,"Mark 01,Mark 14"
2,415500,4,4,0,Mark 01
2,423800,6,7,1,"Mark 01,Mark 14,Mark 38"
2,424600,1,1,0,Mark 67
2,433100,6,6,0,"Mark 01,Mark 14"
2,443600,5,5,0,"Mark 01,Mark 14"
2,456200,5,5,0,"Mark 01,Mark 14"
2,461200,5,5,0,"Mark 01,Mark 14"
2,464700,1,1,0,Mark 67
2,483400,5,6,1,"Mark 01,Mark 14,Mark 55"
