scope,day,product,side,trade_rows,unique_timestamps,first_ts,last_ts,median_gap,mean_gap,top_gap_counts,max_rows_same_ts,median_rows_same_ts
all_products,1,ALL,ALL,474,152,4500,990300,4500.0,6528.476821192053,4500x6; 2000x5; 600x5; 1300x5; 700x4; 900x3; 4400x3; 100x3; 5800x3; 5500x3; 1800x3; 5900x2,10,4.0
all_products,2,ALL,ALL,471,148,9900,993800,4700.0,6693.197278911564,500x5; 1000x5; 2100x4; 2500x3; 1700x3; 3300x3; 12000x3; 2800x3; 8500x3; 10800x3; 300x3; 1100x3,6,4.0
all_products,3,ALL,ALL,639,161,31400,997100,4000.0,6035.625,3400x6; 2500x5; 200x5; 3200x4; 500x4; 1600x4; 6500x4; 5100x4; 2300x4; 2100x4; 1200x3; 4000x3,10,5.0
product_side,1,HYDROGEL_PACK,buy,3,3,566100,898200,166050.0,166050.0,74200x1; 257900x1,1,1.0
product_side,1,HYDROGEL_PACK,sell,2,2,5100,936400,931300.0,931300.0,931300x1,1,1.0
product_side,1,VELVETFRUIT_EXTRACT,buy,10,10,36500,792200,40500.0,83966.66666666667,2900x1; 34000x1; 74900x1; 40500x1; 309400x1; 39700x1; 57000x1; 18000x1,1,1.0
product_side,1,VELVETFRUIT_EXTRACT,sell,40,40,17400,986300,15400.0,24843.589743589742,9500x2; 10400x2; 8800x1; 23600x1; 12600x1; 3300x1; 33000x1; 6200x1,1,1.0
product_side,1,VEV_4000,sell,1,1,437100,437100,,,,1,1.0
product_side,1,VEV_4500,sell,1,1,437100,437100,,,,1,1.0
product_side,1,VEV_5000,sell,1,1,437100,437100,,,,1,1.0
product_side,1,VEV_5100,sell,1,1,437100,437100,,,,1,1.0
product_side,1,VEV_5200,sell,7,7,322600,988100,87300.0,110916.66666666667,114500x1; 127200x1; 60100x1; 11700x1; 6000x1; 346000x1,1,1.0
product_side,1,VEV_5300,sell,39,39,14800,988100,17000.0,25613.157894736843,11200x2; 4500x2; 23700x1; 29800x1; 29300x1; 23300x1; 59200x1; 1300x1,1,1.0
product_side,1,VEV_5400,sell,81,81,4500,990300,9800.0,12322.5,4500x3; 7300x3; 5100x2; 800x2; 5800x2; 17200x2; 5500x2; 17600x2,1,1.0
product_side,1,VEV_5500,sell,92,92,4500,988100,7300.0,10808.791208791208,4500x3; 5800x2; 5100x2; 11200x2; 21800x2; 3000x2; 400x2; 7300x2,1,1.0
product_side,1,VEV_6000,sell,98,98,4500,990300,6900.0,10162.886597938144,4500x3; 7300x3; 6000x2; 3000x2; 1900x2; 21800x2; 600x2; 11200x2,1,1.0
product_side,1,VEV_6500,sell,98,98,4500,990300,6900.0,10162.886597938144,4500x3; 7300x3; 6000x2; 3000x2; 1900x2; 21800x2; 600x2; 11200x2,1,1.0
product_side,2,HYDROGEL_PACK,buy,4,4,49400,941900,178100.0,297500.0,157300x1; 178100x1; 557100x1,1,1.0
product_side,2,HYDROGEL_PACK,sell,4,4,126800,993200,243000.0,288800.0,141100x1; 482300x1; 243000x1,1,1.0
product_side,2,VELVETFRUIT_EXTRACT,buy,9,9,9900,864300,60750.0,106800.0,61600x1; 57800x1; 72000x1; 72800x1; 12000x1; 495800x1; 59900x1; 22500x1,1,1.0
product_side,2,VELVETFRUIT_EXTRACT,sell,37,37,12100,992900,23800.0,27244.444444444445,20400x1; 15900x1; 70400x1; 33700x1; 58400x1; 25200x1; 29000x1; 10300x1,1,1.0
product_side,2,VEV_5200,sell,8,8,414900,876500,12600.0,65942.85714285714,8900x1; 9300x1; 10500x1; 12600x1; 63400x1; 146900x1; 210000x1,1,1.0
product_side,2,VEV_5300,sell,45,45,20900,993800,20600.0,22111.363636363636,4100x2; 31500x1; 28100x1; 26200x1; 24200x1; 39300x1; 20100x1; 15300x1,1,1.0
product_side,2,VEV_5400,sell,80,80,13100,993800,10700.0,12413.924050632912,500x3; 14700x2; 22100x2; 12000x2; 13600x2; 800x2; 19800x2; 7800x2,1,1.0
product_side,2,VEV_5500,sell,94,94,13100,993800,9300.0,10545.161290322581,500x4; 22100x3; 7800x3; 15300x2; 19800x2; 2900x2; 4100x2; 14700x2,1,1.0
product_side,2,VEV_6000,sell,95,95,13100,993800,8850.0,10432.978723404256,500x4; 22100x3; 7800x3; 19800x2; 6000x2; 4100x2; 4700x2; 800x2,1,1.0
product_side,2,VEV_6500,sell,95,95,13100,993800,8850.0,10432.978723404256,500x4; 22100x3; 7800x3; 19800x2; 6000x2; 4100x2; 4700x2; 800x2,1,1.0
product_side,3,HYDROGEL_PACK,buy,4,4,64800,783800,242700.0,239666.66666666666,190100x1; 286200x1; 242700x1,1,1.0
product_side,3,HYDROGEL_PACK,sell,2,2,217100,396500,179400.0,179400.0,179400x1,1,1.0
product_side,3,VELVETFRUIT_EXTRACT,buy,6,6,277600,896800,86300.0,123840.0,262600x1; 32600x1; 22600x1; 215100x1; 86300x1,1,1.0
product_side,3,VELVETFRUIT_EXTRACT,sell,24,24,31400,968100,19300.0,40726.086956521736,26900x1; 19300x1; 7400x1; 26600x1; 3400x1; 6800x1; 9000x1; 123200x1,1,1.0
product_side,3,VEV_4000,buy,1,1,370100,370100,,,,1,1.0
product_side,3,VEV_4000,sell,1,1,155400,155400,,,,1,1.0
product_side,3,VEV_4500,buy,1,1,370100,370100,,,,1,1.0
product_side,3,VEV_4500,sell,1,1,155400,155400,,,,1,1.0
product_side,3,VEV_5000,buy,1,1,370100,370100,,,,1,1.0
product_side,3,VEV_5000,sell,1,1,155400,155400,,,,1,1.0
product_side,3,VEV_5100,buy,1,1,370100,370100,,,,1,1.0
product_side,3,VEV_5100,sell,1,1,155400,155400,,,,1,1.0
product_side,3,VEV_5200,buy,1,1,370100,370100,,,,1,1.0
product_side,3,VEV_5200,sell,31,31,98900,890900,17400.0,26400.0,29800x1; 26700x1; 67000x1; 31000x1; 15600x1; 59700x1; 500x1; 21100x1,1,1.0
product_side,3,VEV_5300,buy,1,1,370100,370100,,,,1,1.0
product_side,3,VEV_5300,sell,79,79,32900,983300,8750.0,12184.615384615385,3400x3; 500x3; 14200x2; 2500x2; 3700x2; 3000x2; 1500x2; 8000x2,1,1.0
product_side,3,VEV_5400,sell,115,115,32900,997100,5500.0,8457.894736842105,3400x4; 3200x3; 2500x3; 1600x3; 2100x3; 6500x3; 200x3; 1500x3,1,1.0
product_side,3,VEV_5500,sell,120,120,32900,997100,5300.0,8102.5210084033615,3400x5; 200x4; 1600x4; 1500x3; 2500x3; 2100x3; 500x3; 5100x3,1,1.0
product_side,3,VEV_6000,sell,124,124,32900,997100,5100.0,7839.024390243902,3400x5; 1600x4; 200x4; 3200x4; 1500x3; 5100x3; 6500x3; 2100x3,1,1.0
product_side,3,VEV_6500,sell,124,124,32900,997100,5100.0,7839.024390243902,3400x5; 1600x4; 200x4; 3200x4; 1500x3; 5100x3; 6500x3; 2100x3,1,1.0
