timestamp,buyer,seller,symbol,currency,price,quantity,day,side,counterparty,bid_price_1,ask_price_1,mid_price,spread,bid_depth_3,ask_depth_3,total_depth_3,px_minus_mid,mark_price_adv_vs_mid,px_vs_bid,px_vs_ask,at_or_through_best,inside_spread,future_mid_t10,markout_trade_t10,markout_mid_t10,future_mid_t50,markout_trade_t50,markout_mid_t50,future_mid_t200,markout_trade_t200,markout_mid_t200,future_mid_t500,markout_trade_t500,markout_mid_t500
5100,Mark 38,Mark 22,HYDROGEL_PACK,XIRECS,9960.0,4,1,buy,Mark 22,9952,9960,9956.0,8,37.0,41.0,78.0,4.0,-4.0,8.0,0.0,True,False,9956.0,-4.0,0.0,9956.0,-4.0,0.0,9958.0,-2.0,2.0,9952.0,-8.0,-4.0
5300,Mark 38,Mark 14,VEV_4000,XIRECS,1264.0,2,1,buy,Mark 14,1243,1264,1253.5,21,42.0,42.0,84.0,10.5,-10.5,21.0,0.0,True,False,1255.5,-8.5,2.0,1255.5,-8.5,2.0,1254.5,-9.5,1.0,1253.5,-10.5,0.0
6200,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9955.0,5,1,buy,Mark 14,9939,9955,9947.0,16,41.0,41.0,82.0,8.0,-8.0,16.0,0.0,True,False,9946.0,-9.0,-1.0,9946.0,-9.0,-1.0,9947.0,-8.0,0.0,9945.0,-10.0,-2.0
15000,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9966.0,4,1,buy,Mark 14,9951,9966,9958.5,15,38.0,38.0,76.0,7.5,-7.5,15.0,0.0,True,False,9957.0,-9.0,-1.5,9957.0,-9.0,-1.5,9956.0,-10.0,-2.5,9957.0,-9.0,-1.5
16700,Mark 14,Mark 38,VEV_4000,XIRECS,1221.0,2,1,sell,Mark 14,1221,1231,1226.0,10,28.0,30.0,58.0,-5.0,-5.0,0.0,-10.0,True,False,1230.5,-9.5,-4.5,1230.5,-9.5,-4.5,1229.5,-8.5,-3.5,1232.5,-11.5,-6.5
17300,Mark 14,Mark 38,VEV_4000,XIRECS,1221.0,1,1,sell,Mark 14,1221,1242,1231.5,21,33.0,33.0,66.0,-10.5,-10.5,0.0,-21.0,True,False,1231.0,-10.0,0.5,1231.0,-10.0,0.5,1232.5,-11.5,-1.0,1233.5,-12.5,-2.0
17900,Mark 38,Mark 14,VEV_4000,XIRECS,1243.0,1,1,buy,Mark 14,1223,1243,1233.0,20,37.0,37.0,74.0,10.0,-10.0,20.0,0.0,True,False,1232.5,-10.5,-0.5,1232.5,-10.5,-0.5,1232.0,-11.0,-1.0,1229.5,-13.5,-3.5
22800,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9946.0,6,1,sell,Mark 14,9946,9962,9954.0,16,38.0,38.0,76.0,-8.0,-8.0,0.0,-16.0,True,False,9954.0,-8.0,0.0,9954.0,-8.0,0.0,9953.0,-7.0,1.0,9951.0,-5.0,3.0
25700,Mark 38,Mark 14,VEV_4000,XIRECS,1241.0,3,1,buy,Mark 14,1221,1241,1231.0,20,25.0,25.0,50.0,10.0,-10.0,20.0,0.0,True,False,1232.0,-9.0,1.0,1232.0,-9.0,1.0,1230.5,-10.5,-0.5,1230.5,-10.5,-0.5
30800,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9940.0,2,1,sell,Mark 14,9940,9956,9948.0,16,39.0,39.0,78.0,-8.0,-8.0,0.0,-16.0,True,False,9946.0,-6.0,2.0,9946.0,-6.0,2.0,9946.0,-6.0,2.0,9947.0,-7.0,1.0
31400,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9953.0,3,1,buy,Mark 14,9937,9953,9945.0,16,33.0,33.0,66.0,8.0,-8.0,16.0,0.0,True,False,9945.0,-8.0,0.0,9945.0,-8.0,0.0,9945.0,-8.0,0.0,9945.5,-7.5,0.5
32000,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9938.0,5,1,sell,Mark 14,9938,9954,9946.0,16,35.0,35.0,70.0,-8.0,-8.0,0.0,-16.0,True,False,9947.0,-9.0,-1.0,9947.0,-9.0,-1.0,9947.0,-9.0,-1.0,9952.0,-14.0,-6.0
33600,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9948.0,6,1,sell,Mark 14,9948,9964,9956.0,16,40.0,40.0,80.0,-8.0,-8.0,0.0,-16.0,True,False,9955.0,-7.0,1.0,9955.0,-7.0,1.0,9953.0,-5.0,3.0,9950.0,-2.0,6.0
36200,Mark 38,Mark 14,VEV_4000,XIRECS,1244.0,3,1,buy,Mark 14,1223,1244,1233.5,21,39.0,39.0,78.0,10.5,-10.5,21.0,0.0,True,False,1232.5,-11.5,-1.0,1232.5,-11.5,-1.0,1233.5,-10.5,0.0,1233.0,-11.0,-0.5
