symbol,side,regime,trades,spread_mean,depth_mean,px_adv_mid_mean,t200_mean,t500_mean
HYDROGEL_PACK,buy,spread_le_median,509,15.730844793713164,75.68762278978389,-7.865422396856582,-8.05893909626719,-7.9931237721021615
HYDROGEL_PACK,buy,spread_gt_median,6,17.0,77.33333333333333,-8.5,-9.333333333333334,-7.916666666666667
HYDROGEL_PACK,buy,depth_le_median,287,15.89198606271777,70.4390243902439,-7.945993031358885,-8.362369337979095,-8.078397212543553
HYDROGEL_PACK,buy,depth_gt_median,228,15.56140350877193,82.33771929824562,-7.780701754385965,-7.7105263157894735,-7.883771929824562
HYDROGEL_PACK,sell,spread_le_median,498,15.771084337349398,75.15461847389558,-7.885542168674699,-7.953815261044177,-7.89859437751004
HYDROGEL_PACK,sell,spread_gt_median,9,17.0,75.77777777777777,-8.5,-7.944444444444445,-8.444444444444445
HYDROGEL_PACK,sell,depth_le_median,292,15.938356164383562,70.02739726027397,-7.969178082191781,-8.217465753424657,-8.215753424657533
HYDROGEL_PACK,sell,depth_gt_median,215,15.595348837209302,82.14418604651163,-7.797674418604651,-7.595348837209302,-7.4906976744186045
VEV_4000,buy,spread_le_median,197,20.563451776649746,67.1472081218274,-10.281725888324873,-10.256345177664974,-10.121827411167512
VEV_4000,buy,spread_gt_median,12,22.0,74.0,-11.0,-10.75,-10.583333333333334
VEV_4000,buy,depth_le_median,107,20.66355140186916,58.73831775700935,-10.33177570093458,-10.299065420560748,-10.154205607476635
VEV_4000,buy,depth_gt_median,102,20.627450980392158,76.77450980392157,-10.313725490196079,-10.269607843137255,-10.142156862745098
VEV_4000,sell,spread_le_median,211,20.77251184834123,69.00473933649289,-10.386255924170616,-10.156398104265403,-10.274881516587678
VEV_4000,sell,spread_gt_median,22,22.0,61.36363636363637,-11.0,-10.409090909090908,-10.272727272727273
VEV_4000,sell,depth_le_median,120,20.983333333333334,59.43333333333333,-10.491666666666667,-10.304166666666667,-10.408333333333333
VEV_4000,sell,depth_gt_median,113,20.787610619469028,77.68141592920354,-10.393805309734514,-10.048672566371682,-10.132743362831858
VEV_4500,buy,spread_le_median,2,7.0,53.0,-3.5,0.0,-0.5
VEV_4500,buy,depth_le_median,1,7.0,40.0,-3.5,0.0,0.0
VEV_4500,buy,depth_gt_median,1,7.0,66.0,-3.5,0.0,-1.0
VEV_4500,sell,spread_le_median,1,8.0,56.0,-4.0,-2.0,-4.0
VEV_4500,sell,depth_le_median,1,8.0,56.0,-4.0,-2.0,-4.0
VEV_5000,buy,spread_le_median,2,2.0,53.0,-1.0,0.25,-0.25
VEV_5000,buy,depth_le_median,1,2.0,40.0,-1.0,0.0,0.0
VEV_5000,buy,depth_gt_median,1,2.0,66.0,-1.0,0.5,-0.5
VEV_5000,sell,spread_le_median,1,3.0,56.0,-1.5,-2.0,-4.0
VEV_5000,sell,depth_le_median,1,3.0,56.0,-1.5,-2.0,-4.0
VEV_5100,buy,spread_le_median,1,1.0,40.0,-0.5,0.0,0.0
VEV_5100,buy,spread_gt_median,1,2.0,66.0,-1.0,0.0,-1.0
VEV_5100,buy,depth_le_median,1,1.0,40.0,-0.5,0.0,0.0
VEV_5100,buy,depth_gt_median,1,2.0,66.0,-1.0,0.0,-1.0
VEV_5100,sell,spread_le_median,1,3.0,56.0,-1.5,-2.0,-4.0
VEV_5100,sell,depth_le_median,1,3.0,56.0,-1.5,-2.0,-4.0
VEV_5200,buy,spread_le_median,2,1.0,53.0,-0.5,-0.5,-0.25
VEV_5200,buy,depth_le_median,1,1.0,40.0,-0.5,-0.5,0.0
VEV_5200,buy,depth_gt_median,1,1.0,66.0,-0.5,-0.5,-0.5
VEV_5200,sell,spread_le_median,1,2.0,56.0,-1.0,-1.5,-3.0
VEV_5200,sell,depth_le_median,1,2.0,56.0,-1.0,-1.5,-3.0
VEV_5300,buy,spread_le_median,1,1.0,36.0,-0.5,0.0,0.0
VEV_5300,buy,depth_le_median,1,1.0,36.0,-0.5,0.0,0.0
VEV_5300,sell,spread_le_median,1,1.0,48.0,-0.5,-1.0,-1.0
VEV_5300,sell,depth_le_median,1,1.0,48.0,-0.5,-1.0,-1.0
