symbol,side,day,quantity_count,quantity_sum,quantity_mean,quantity_median,quantity_min,quantity_max,price_mean,mid_price_mean,spread_mean,spread_median,mark_price_adv_vs_mid_mean,mark_price_adv_vs_mid_median,at_or_through_best_mean,inside_spread_mean,total_depth_3_mean,total_depth_3_median,markout_trade_t10_mean,markout_trade_t10_median,markout_trade_t10_sum,markout_mid_t10_mean,markout_mid_t10_median,markout_trade_t50_mean,markout_trade_t50_median,markout_trade_t50_sum,markout_mid_t50_mean,markout_mid_t50_median,markout_trade_t200_mean,markout_trade_t200_median,markout_trade_t200_sum,markout_mid_t200_mean,markout_mid_t200_median,markout_trade_t500_mean,markout_trade_t500_median,markout_trade_t500_sum,markout_mid_t500_mean,markout_mid_t500_median
HYDROGEL_PACK,buy,1,189,745,3.941798941798942,4.0,2,6,10003.656084656084,9995.743386243386,15.825396825396826,16.0,-7.912698412698413,-8.0,1.0,0.0,76.17989417989418,76.0,-8.158730158730158,-8.0,-1542.0,-0.24603174603174602,0.0,-8.158730158730158,-8.0,-1542.0,-0.24603174603174602,0.0,-8.39153439153439,-8.0,-1586.0,-0.47883597883597884,-0.5,-8.23015873015873,-8.0,-1555.5,-0.31746031746031744,0.0
HYDROGEL_PACK,buy,2,165,658,3.987878787878788,4.0,2,6,9989.448484848484,9981.639393939395,15.618181818181819,16.0,-7.8090909090909095,-8.0,1.0,0.0,75.7090909090909,76.0,-7.790909090909091,-8.0,-1285.5,0.01818181818181818,0.0,-7.790909090909091,-8.0,-1285.5,0.01818181818181818,0.0,-8.127272727272727,-8.0,-1341.0,-0.3181818181818182,-0.5,-7.827272727272727,-8.0,-1291.5,-0.01818181818181818,0.0
HYDROGEL_PACK,buy,3,161,662,4.111801242236025,4.0,2,6,10007.981366459628,10000.090062111802,15.782608695652174,16.0,-7.891304347826087,-8.0,1.0,0.0,75.14906832298136,76.0,-7.826086956521739,-8.0,-1260.0,0.06521739130434782,0.0,-7.826086956521739,-8.0,-1260.0,0.06521739130434782,0.0,-7.645962732919255,-8.0,-1231.0,0.2453416149068323,0.0,-7.881987577639752,-8.0,-1269.0,0.009316770186335404,0.0
HYDROGEL_PACK,sell,1,186,740,3.978494623655914,4.0,2,6,9983.397849462366,9991.303763440861,15.811827956989248,16.0,-7.905913978494624,-8.0,1.0,0.0,75.46774193548387,76.0,-8.123655913978494,-8.0,-1511.0,-0.21774193548387097,0.0,-8.123655913978494,-8.0,-1511.0,-0.21774193548387097,0.0,-8.11021505376344,-8.0,-1508.5,-0.20430107526881722,0.0,-8.223118279569892,-8.0,-1529.5,-0.3172043010752688,0.0
HYDROGEL_PACK,sell,2,146,586,4.013698630136986,4.0,2,6,9983.5,9991.38698630137,15.773972602739725,16.0,-7.886986301369863,-8.0,1.0,0.0,75.77397260273973,74.0,-7.8493150684931505,-8.0,-1146.0,0.03767123287671233,0.0,-7.8493150684931505,-8.0,-1146.0,0.03767123287671233,0.0,-7.958904109589041,-8.0,-1162.0,-0.07191780821917808,0.0,-7.9520547945205475,-8.0,-1161.0,-0.06506849315068493,0.0
HYDROGEL_PACK,sell,3,175,705,4.0285714285714285,4.0,2,6,9996.908571428572,10004.802857142857,15.788571428571428,16.0,-7.894285714285714,-8.0,1.0,0.0,74.33714285714285,74.0,-8.042857142857143,-8.0,-1407.5,-0.14857142857142858,0.0,-8.042857142857143,-8.0,-1407.5,-0.14857142857142858,0.0,-7.782857142857143,-8.0,-1362.0,0.11142857142857143,0.0,-7.537142857142857,-7.0,-1319.0,0.35714285714285715,1.0
VEV_4000,buy,1,73,148,2.0273972602739727,2.0,1,3,1258.5890410958905,1248.2671232876712,20.643835616438356,21.0,-10.321917808219178,-10.5,1.0,0.0,68.46575342465754,70.0,-10.383561643835616,-10.5,-758.0,-0.06164383561643835,0.0,-10.383561643835616,-10.5,-758.0,-0.06164383561643835,0.0,-10.41095890410959,-10.5,-760.0,-0.08904109589041095,0.0,-10.534246575342467,-10.5,-769.0,-0.21232876712328766,0.0
VEV_4000,buy,2,64,124,1.9375,2.0,1,3,1263.890625,1253.453125,20.875,21.0,-10.4375,-10.5,1.0,0.0,68.34375,70.0,-10.4140625,-10.5,-666.5,0.0234375,0.0,-10.4140625,-10.5,-666.5,0.0234375,0.0,-10.3671875,-10.5,-663.5,0.0703125,0.0,-10.203125,-9.75,-653.0,0.234375,0.75
VEV_4000,buy,3,72,143,1.9861111111111112,2.0,1,3,1248.7916666666667,1238.5694444444443,20.444444444444443,21.0,-10.222222222222221,-10.5,1.0,0.0,65.88888888888889,66.0,-10.0625,-10.5,-724.5,0.1597222222222222,0.0,-10.0625,-10.5,-724.5,0.1597222222222222,0.0,-10.083333333333334,-10.5,-726.0,0.1388888888888889,0.0,-9.708333333333334,-9.5,-699.0,0.5138888888888888,0.25
VEV_4000,sell,1,91,185,2.032967032967033,2.0,1,3,1239.3296703296703,1249.7802197802198,20.9010989010989,21.0,-10.45054945054945,-10.5,1.0,0.0,67.58241758241758,68.0,-10.697802197802197,-10.5,-973.5,-0.24725274725274726,0.0,-10.697802197802197,-10.5,-973.5,-0.24725274725274726,0.0,-10.505494505494505,-10.5,-956.0,-0.054945054945054944,0.0,-10.26923076923077,-10.5,-934.5,0.1813186813186813,0.0
