symbol,side,day,events,first_ts,last_ts,repeat_ts_events,unique_timestamps,gap_mean,gap_median,gap_min,gap_p10,gap_p90,gap_max,most_common_gap,most_common_gap_count
HYDROGEL_PACK,buy,1,189,5100,985800,0,189,5216.489361702128,3850.0,100.0,400.0,11610.000000000007,30000.0,400.0,9.0
HYDROGEL_PACK,buy,2,165,11200,993200,0,165,5987.804878048781,3600.0,100.0,500.0,14850.00000000001,28700.0,400.0,6.0
HYDROGEL_PACK,buy,3,161,4400,992400,0,161,6175.0,4850.0,100.0,890.0,13510.0,41900.0,2500.0,6.0
HYDROGEL_PACK,sell,1,186,22800,989000,0,186,5222.7027027027025,3900.0,100.0,540.0000000000002,11479.999999999998,22600.0,2300.0,6.0
HYDROGEL_PACK,sell,2,146,10200,996500,0,146,6802.068965517241,5000.0,100.0,1000.0,14619.999999999998,39400.0,1100.0,5.0
HYDROGEL_PACK,sell,3,175,4500,982800,0,175,5622.413793103448,3600.0,100.0,530.0000000000001,13780.000000000007,31800.0,1100.0,7.0
VEV_4000,buy,1,73,5300,998500,0,73,13794.444444444445,10650.0,200.0,1810.0,30709.999999999996,93100.0,1800.0,2.0
VEV_4000,buy,2,64,9000,998800,0,64,15711.111111111111,11000.0,800.0,2400.0,33900.0,73700.0,2400.0,2.0
VEV_4000,buy,3,72,8700,993700,0,72,13873.239436619719,11000.0,400.0,1300.0,26900.0,61500.0,1300.0,3.0
VEV_4000,sell,1,91,16700,997300,0,91,10895.555555555555,7500.0,300.0,1470.0,26350.000000000015,44100.0,300.0,4.0
VEV_4000,sell,2,64,1300,982500,0,64,15574.603174603175,10300.0,200.0,1400.0,36200.00000000003,94400.0,1400.0,2.0
VEV_4000,sell,3,78,1700,972500,0,78,12607.792207792209,8600.0,200.0,960.0,31300.000000000007,45800.0,800.0,3.0
VEV_4500,buy,1,1,437100,437100,0,1,,,,,,,,
VEV_4500,buy,3,1,155400,155400,0,1,,,,,,,,
VEV_4500,sell,3,1,370100,370100,0,1,,,,,,,,
VEV_5000,buy,1,1,437100,437100,0,1,,,,,,,,
VEV_5000,buy,3,1,155400,155400,0,1,,,,,,,,
VEV_5000,sell,3,1,370100,370100,0,1,,,,,,,,
VEV_5100,buy,1,1,437100,437100,0,1,,,,,,,,
VEV_5100,buy,3,1,155400,155400,0,1,,,,,,,,
VEV_5100,sell,3,1,370100,370100,0,1,,,,,,,,
VEV_5200,buy,1,1,437100,437100,0,1,,,,,,,,
VEV_5200,buy,3,1,155400,155400,0,1,,,,,,,,
VEV_5200,sell,3,1,370100,370100,0,1,,,,,,,,
VEV_5300,buy,1,1,437100,437100,0,1,,,,,,,,
VEV_5300,sell,3,1,370100,370100,0,1,,,,,,,,
