timestamp,buyer,seller,symbol,currency,price,quantity,day,row_id,mark49_side,other_party,bid_price_1,ask_price_1,bid_volume_1,ask_volume_1,bid_depth_3,ask_depth_3,spread,mid_price,px_minus_mid,at_bid,at_ask,inside,outside,aggressive,passive_or_price_improved,future_mid_10,mid_move_10,side_mid_markout_10,trade_markout_10,future_mid_50,mid_move_50,side_mid_markout_50,trade_markout_50,future_mid_200,mid_move_200,side_mid_markout_200,trade_markout_200,future_mid_500,mid_move_500,side_mid_markout_500,trade_markout_500,future_mid_1000,mid_move_1000,side_mid_markout_1000,trade_markout_1000,future_mid_2000,mid_move_2000,side_mid_markout_2000,trade_markout_2000,future_mid_5000,mid_move_5000,side_mid_markout_5000,trade_markout_5000
9400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5244.0,8,1,100008,sell,Mark 55,5243,5244,18,14,55.0,69.0,1,5243.5,0.5,False,True,False,False,False,True,5244.0,0.5,-0.5,0.0,5244.0,0.5,-0.5,0.0,5246.5,3.0,-3.0,-2.5,5245.0,1.5,-1.5,-1.0,5239.5,-4.0,4.0,4.5,5243.5,0.0,-0.0,0.5,5233.5,-10.0,10.0,10.5
10400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5240.0,12,1,100013,sell,Mark 67,5239,5240,20,12,65.0,77.0,1,5239.5,0.5,False,True,False,False,False,True,5241.5,2.0,-2.0,-1.5,5241.5,2.0,-2.0,-1.5,5241.5,2.0,-2.0,-1.5,5243.5,4.0,-4.0,-3.5,5243.5,4.0,-4.0,-3.5,5241.5,2.0,-2.0,-1.5,5233.5,-6.0,6.0,6.5
39400,Mark 22,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5234.0,5,1,100053,sell,Mark 22,5232,5233,20,9,70.0,79.0,1,5232.5,1.5,False,False,False,True,False,True,5233.5,1.0,-1.0,0.5,5233.5,1.0,-1.0,0.5,5234.5,2.0,-2.0,-0.5,5234.5,2.0,-2.0,-0.5,5233.5,1.0,-1.0,0.5,5227.5,-5.0,5.0,6.5,5239.5,7.0,-7.0,-5.5
39400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5233.0,9,1,100054,sell,Mark 67,5232,5233,20,9,70.0,79.0,1,5232.5,0.5,False,True,False,False,False,True,5233.5,1.0,-1.0,-0.5,5233.5,1.0,-1.0,-0.5,5234.5,2.0,-2.0,-1.5,5234.5,2.0,-2.0,-1.5,5233.5,1.0,-1.0,-0.5,5227.5,-5.0,5.0,5.5,5239.5,7.0,-7.0,-6.5
73400,Mark 22,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5237.0,8,1,100113,sell,Mark 22,5235,5236,15,6,59.0,65.0,1,5235.5,1.5,False,False,False,True,False,True,5236.5,1.0,-1.0,0.5,5236.5,1.0,-1.0,0.5,5237.0,1.5,-1.5,0.0,5235.5,0.0,-0.0,1.5,5237.5,2.0,-2.0,-0.5,5239.5,4.0,-4.0,-2.5,5237.0,1.5,-1.5,0.0
73400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5236.0,6,1,100114,sell,Mark 55,5235,5236,15,6,59.0,65.0,1,5235.5,0.5,False,True,False,False,False,True,5236.5,1.0,-1.0,-0.5,5236.5,1.0,-1.0,-0.5,5237.0,1.5,-1.5,-1.0,5235.5,0.0,-0.0,0.5,5237.5,2.0,-2.0,-1.5,5239.5,4.0,-4.0,-3.5,5237.0,1.5,-1.5,-1.0
109000,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5265.0,12,1,100174,sell,Mark 67,5264,5265,23,12,68.0,80.0,1,5264.5,0.5,False,True,False,False,False,True,5266.5,2.0,-2.0,-1.5,5266.5,2.0,-2.0,-1.5,5265.5,1.0,-1.0,-0.5,5268.5,4.0,-4.0,-3.5,5270.0,5.5,-5.5,-5.0,5264.5,0.0,-0.0,0.5,5264.5,0.0,-0.0,0.5
131300,Mark 49,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5265.0,5,1,100198,buy,Mark 55,5265,5268,13,70,83.0,70.0,3,5266.5,-1.5,True,False,False,False,False,True,5265.5,-1.0,-1.0,0.5,5265.5,-1.0,-1.0,0.5,5264.5,-2.0,-2.0,-0.5,5264.0,-2.5,-2.5,-1.0,5264.0,-2.5,-2.5,-1.0,5264.0,-2.5,-2.5,-1.0,5263.5,-3.0,-3.0,-1.5
132600,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5263.0,10,1,100200,sell,Mark 67,5261,5263,57,10,57.0,67.0,2,5262.0,1.0,False,True,False,False,False,True,5263.5,1.5,-1.5,-0.5,5263.5,1.5,-1.5,-0.5,5264.5,2.5,-2.5,-1.5,5263.5,1.5,-1.5,-0.5,5266.0,4.0,-4.0,-3.0,5261.5,-0.5,0.5,1.5,5259.0,-3.0,3.0,4.0
165500,Mark 49,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5250.0,4,1,100257,buy,Mark 55,5250,5252,8,19,63.0,55.0,2,5251.0,-1.0,True,False,False,False,False,True,5250.5,-0.5,-0.5,0.5,5250.5,-0.5,-0.5,0.5,5251.5,0.5,0.5,1.5,5250.5,-0.5,-0.5,0.5,5252.5,1.5,1.5,2.5,5252.5,1.5,1.5,2.5,5248.5,-2.5,-2.5,-1.5
