day,product,side,gap,count
1,VELVETFRUIT_EXTRACT,buy,34200,1
1,VELVETFRUIT_EXTRACT,buy,348600,1
1,VELVETFRUIT_EXTRACT,buy,68800,1
1,VELVETFRUIT_EXTRACT,buy,5700,1
1,VELVETFRUIT_EXTRACT,buy,299200,1
1,VELVETFRUIT_EXTRACT,sell,0,2
1,VELVETFRUIT_EXTRACT,sell,54300,2
1,VELVETFRUIT_EXTRACT,sell,1000,1
1,VELVETFRUIT_EXTRACT,sell,29000,1
1,VELVETFRUIT_EXTRACT,sell,34000,1
1,VELVETFRUIT_EXTRACT,sell,35600,1
1,VELVETFRUIT_EXTRACT,sell,23600,1
1,VELVETFRUIT_EXTRACT,sell,65000,1
1,VELVETFRUIT_EXTRACT,sell,13500,1
1,VELVETFRUIT_EXTRACT,sell,16000,1
1,VELVETFRUIT_EXTRACT,sell,7800,1
1,VELVETFRUIT_EXTRACT,sell,2200,1
1,VELVETFRUIT_EXTRACT,sell,19100,1
1,VELVETFRUIT_EXTRACT,sell,30000,1
1,VELVETFRUIT_EXTRACT,sell,2900,1
1,VELVETFRUIT_EXTRACT,sell,46700,1
1,VELVETFRUIT_EXTRACT,sell,85300,1
1,VELVETFRUIT_EXTRACT,sell,4700,1
1,VELVETFRUIT_EXTRACT,sell,18100,1
1,VELVETFRUIT_EXTRACT,sell,11500,1
1,VELVETFRUIT_EXTRACT,sell,48900,1
1,VELVETFRUIT_EXTRACT,sell,9500,1
1,VELVETFRUIT_EXTRACT,sell,91000,1
1,VELVETFRUIT_EXTRACT,sell,125300,1
1,VELVETFRUIT_EXTRACT,sell,900,1
1,VELVETFRUIT_EXTRACT,sell,5800,1
1,VELVETFRUIT_EXTRACT,sell,17900,1
1,VELVETFRUIT_EXTRACT,sell,16400,1
1,VELVETFRUIT_EXTRACT,sell,17200,1
1,VELVETFRUIT_EXTRACT,sell,17800,1
1,VELVETFRUIT_EXTRACT,sell,70900,1
2,VELVETFRUIT_EXTRACT,buy,77600,1
2,VELVETFRUIT_EXTRACT,buy,107000,1
2,VELVETFRUIT_EXTRACT,buy,331600,1
2,VELVETFRUIT_EXTRACT,buy,34800,1
2,VELVETFRUIT_EXTRACT,buy,236900,1
2,VELVETFRUIT_EXTRACT,sell,44000,1
2,VELVETFRUIT_EXTRACT,sell,67700,1
2,VELVETFRUIT_EXTRACT,sell,16700,1
2,VELVETFRUIT_EXTRACT,sell,0,1
2,VELVETFRUIT_EXTRACT,sell,5000,1
2,VELVETFRUIT_EXTRACT,sell,21900,1
2,VELVETFRUIT_EXTRACT,sell,1200,1
2,VELVETFRUIT_EXTRACT,sell,42000,1
2,VELVETFRUIT_EXTRACT,sell,7600,1
2,VELVETFRUIT_EXTRACT,sell,30600,1
2,VELVETFRUIT_EXTRACT,sell,20400,1
2,VELVETFRUIT_EXTRACT,sell,65500,1
2,VELVETFRUIT_EXTRACT,sell,61600,1
2,VELVETFRUIT_EXTRACT,sell,63800,1
2,VELVETFRUIT_EXTRACT,sell,14700,1
2,VELVETFRUIT_EXTRACT,sell,2800,1
2,VELVETFRUIT_EXTRACT,sell,26600,1
2,VELVETFRUIT_EXTRACT,sell,54100,1
2,VELVETFRUIT_EXTRACT,sell,103500,1
2,VELVETFRUIT_EXTRACT,sell,22200,1
2,VELVETFRUIT_EXTRACT,sell,42500,1
2,VELVETFRUIT_EXTRACT,sell,2000,1
2,VELVETFRUIT_EXTRACT,sell,3200,1
2,VELVETFRUIT_EXTRACT,sell,51100,1
2,VELVETFRUIT_EXTRACT,sell,5600,1
2,VELVETFRUIT_EXTRACT,sell,21600,1
2,VELVETFRUIT_EXTRACT,sell,42100,1
2,VELVETFRUIT_EXTRACT,sell,900,1
2,VELVETFRUIT_EXTRACT,sell,6600,1
2,VELVETFRUIT_EXTRACT,sell,24000,1
2,VELVETFRUIT_EXTRACT,sell,15500,1
2,VELVETFRUIT_EXTRACT,sell,14800,1
2,VELVETFRUIT_EXTRACT,sell,9300,1
2,VELVETFRUIT_EXTRACT,sell,29000,1
2,VELVETFRUIT_EXTRACT,sell,17700,1
2,VELVETFRUIT_EXTRACT,sell,34800,1
3,VELVETFRUIT_EXTRACT,buy,178000,1
3,VELVETFRUIT_EXTRACT,buy,160700,1
3,VELVETFRUIT_EXTRACT,buy,125000,1
3,VELVETFRUIT_EXTRACT,buy,381600,1
3,VELVETFRUIT_EXTRACT,sell,9700,3
3,VELVETFRUIT_EXTRACT,sell,0,2
3,VELVETFRUIT_EXTRACT,sell,22100,2
3,VELVETFRUIT_EXTRACT,sell,4300,1
3,VELVETFRUIT_EXTRACT,sell,13700,1
3,VELVETFRUIT_EXTRACT,sell,97700,1
3,VELVETFRUIT_EXTRACT,sell,39200,1
3,VELVETFRUIT_EXTRACT,sell,38800,1
3,VELVETFRUIT_EXTRACT,sell,8100,1
3,VELVETFRUIT_EXTRACT,sell,41100,1
3,VELVETFRUIT_EXTRACT,sell,5500,1
3,VELVETFRUIT_EXTRACT,sell,49000,1
3,VELVETFRUIT_EXTRACT,sell,36600,1
3,VELVETFRUIT_EXTRACT,sell,173600,1
3,VELVETFRUIT_EXTRACT,sell,36700,1
3,VELVETFRUIT_EXTRACT,sell,14200,1
3,VELVETFRUIT_EXTRACT,sell,23300,1
3,VELVETFRUIT_EXTRACT,sell,400,1
3,VELVETFRUIT_EXTRACT,sell,6800,1
3,VELVETFRUIT_EXTRACT,sell,10800,1
3,VELVETFRUIT_EXTRACT,sell,1400,1
3,VELVETFRUIT_EXTRACT,sell,35400,1
3,VELVETFRUIT_EXTRACT,sell,13800,1
3,VELVETFRUIT_EXTRACT,sell,41300,1
3,VELVETFRUIT_EXTRACT,sell,33000,1
3,VELVETFRUIT_EXTRACT,sell,20200,1
3,VELVETFRUIT_EXTRACT,sell,38100,1
3,VELVETFRUIT_EXTRACT,sell,35500,1
3,VELVETFRUIT_EXTRACT,sell,15200,1
