timestamp,buyer,seller,symbol,currency,price,quantity,day,mark_side,counterparty,signed_qty,product,bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,mid_price,spread,top_depth,price_vs_mid,price_vs_bid,price_vs_ask,book_relation,liquidity_proxy,side_sign,future_mid_t10,future_mid_t50,future_mid_t200,future_mid_t500,signed_mid_move_t10,edge_vs_trade_t10,signed_mid_move_t50,edge_vs_trade_t50,signed_mid_move_t200,edge_vs_trade_t200,signed_mid_move_t500,edge_vs_trade_t500,spread_pctile_in_product_day,top_depth_pctile_in_product_day
6100,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5255.0,3,1,buy,Mark 01,3,VELVETFRUIT_EXTRACT,5250,24,5255,58,5252.5,5,82,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5252.5,5252.5,5252.5,5250.5,0.0,-2.5,0.0,-2.5,0.0,-2.5,-2.0,-4.5,0.8202,0.6118
9400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5244.0,8,1,buy,Mark 49,8,VELVETFRUIT_EXTRACT,5243,18,5244,14,5243.5,1,32,0.5,1.0,0.0,at_ask,taker_proxy,1.0,5244.0,5244.0,5246.5,5245.0,0.5,0.0,0.5,0.0,3.0,2.5,1.5,1.0,0.0061,0.0745
14300,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5238.0,6,1,buy,Mark 01,6,VELVETFRUIT_EXTRACT,5233,25,5238,66,5235.5,5,91,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5233.5,5233.5,5234.5,5234.5,-2.0,-4.5,-2.0,-4.5,-1.0,-3.5,-1.0,-3.5,0.8202,0.7667
14800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5232.0,6,1,sell,Mark 01,-6,VELVETFRUIT_EXTRACT,5232,70,5237,21,5234.5,5,91,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5234.5,5234.5,5233.5,5233.5,-0.0,-2.5,-0.0,-2.5,1.0,-1.5,1.0,-1.5,0.8202,0.7667
19300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5226.0,5,1,sell,Mark 14,-5,VELVETFRUIT_EXTRACT,5226,19,5231,55,5228.5,5,74,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5228.5,5228.5,5227.5,5228.5,-0.0,-2.5,-0.0,-2.5,1.0,-1.5,-0.0,-2.5,0.8202,0.4369
20200,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5224.0,5,1,sell,Mark 14,-5,VELVETFRUIT_EXTRACT,5224,24,5229,24,5226.5,5,48,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5226.5,5226.5,5228.5,5227.5,-0.0,-2.5,-0.0,-2.5,-2.0,-4.5,-1.0,-3.5,0.8202,0.2538
29300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5237.0,4,1,sell,Mark 14,-4,VELVETFRUIT_EXTRACT,5237,24,5242,24,5239.5,5,48,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5238.5,5238.5,5240.5,5241.5,1.0,-1.5,1.0,-1.5,-1.0,-3.5,-2.0,-4.5,0.8202,0.2538
31700,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5237.0,4,1,buy,Mark 01,4,VELVETFRUIT_EXTRACT,5232,21,5237,52,5234.5,5,73,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5234.5,5234.5,5236.5,5236.0,0.0,-2.5,0.0,-2.5,2.0,-0.5,1.5,-1.0,0.8202,0.4183
32600,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5240.0,5,1,buy,Mark 01,5,VELVETFRUIT_EXTRACT,5235,20,5240,58,5237.5,5,78,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5238.0,5238.0,5237.0,5240.0,0.5,-2.0,0.5,-2.0,-0.5,-3.0,2.5,0.0,0.8202,0.521
36500,Mark 22,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5232.0,7,1,sell,Mark 22,-7,VELVETFRUIT_EXTRACT,5232,9,5235,56,5233.5,3,65,-1.5,0.0,-3.0,at_bid,taker_proxy,-1.0,5231.0,5231.0,5233.0,5230.5,2.5,1.0,2.5,1.0,0.5,-1.0,3.0,1.5,0.0732,0.3108
38700,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5228.0,8,1,sell,Mark 01,-8,VELVETFRUIT_EXTRACT,5228,56,5234,56,5231.0,6,112,-3.0,0.0,-6.0,at_bid,taker_proxy,-1.0,5230.5,5230.5,5234.0,5234.5,0.5,-2.5,0.5,-2.5,-3.0,-6.0,-3.5,-6.5,1.0,0.8789
39800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5232.0,4,1,sell,Mark 01,-4,VELVETFRUIT_EXTRACT,5232,53,5238,53,5235.0,6,106,-3.0,0.0,-6.0,at_bid,taker_proxy,-1.0,5234.5,5234.5,5234.0,5233.0,0.5,-2.5,0.5,-2.5,1.0,-2.0,2.0,-1.0,1.0,0.8536
43600,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5229.0,4,1,sell,Mark 01,-4,VELVETFRUIT_EXTRACT,5229,60,5234,25,5231.5,5,85,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5232.5,5232.5,5233.5,5236.0,-1.0,-3.5,-1.0,-3.5,-2.0,-4.5,-4.5,-7.0,0.8202,0.6744
47700,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5243.0,4,1,sell,Mark 01,-4,VELVETFRUIT_EXTRACT,5243,54,5245,9,5244.0,2,63,-1.0,0.0,-2.0,at_bid,taker_proxy,-1.0,5246.5,5246.5,5245.5,5244.5,-2.5,-3.5,-2.5,-3.5,-1.5,-2.5,-0.5,-1.5,0.0411,0.295
