day,sym,px_vs_fair,qty,h,mo
1,VEV_5400,9.988874061843255,2,10,0.5
1,VEV_5400,9.988874061843255,2,50,0.5
1,VEV_5400,9.988874061843255,2,200,0.5
1,VEV_5500,6.646844855625511,2,10,0.5
1,VEV_5500,6.646844855625511,2,50,0.5
1,VEV_5500,6.646844855625511,2,200,0.5
1,VEV_6000,-8.4998573809001e-08,2,10,0.5
1,VEV_6000,-8.4998573809001e-08,2,50,0.5
1,VEV_6000,-8.4998573809001e-08,2,200,0.5
1,VEV_6500,-4.348818459910789e-19,2,10,0.5
1,VEV_6500,-4.348818459910789e-19,2,50,0.5
1,VEV_6500,-4.348818459910789e-19,2,200,0.5
1,VEV_5400,-1.632549809872934,4,10,0.5
1,VEV_5400,-1.632549809872934,4,50,0.5
1,VEV_5400,-1.632549809872934,4,200,1.0
1,VEV_5500,1.6741465051907838,4,10,0.5
1,VEV_5500,1.6741465051907838,4,50,0.5
1,VEV_5500,1.6741465051907838,4,200,0.5
1,VEV_6000,-0.00018110050384549572,4,10,0.5
1,VEV_6000,-0.00018110050384549572,4,50,0.5
1,VEV_6000,-0.00018110050384549572,4,200,0.5
1,VEV_6500,-2.1947094890265854e-12,4,10,0.5
1,VEV_6500,-2.1947094890265854e-12,4,50,0.5
1,VEV_6500,-2.1947094890265854e-12,4,200,0.5
1,VEV_5500,1.6741490532743164,4,10,0.5
1,VEV_5500,1.6741490532743164,4,50,0.5
1,VEV_5500,1.6741490532743164,4,200,0.5
1,VEV_6000,-0.00018110031905705336,4,10,0.5
1,VEV_6000,-0.00018110031905705336,4,50,0.5
1,VEV_6000,-0.00018110031905705336,4,200,0.5
1,VEV_6500,-2.194513711268448e-12,4,10,0.5
1,VEV_6500,-2.194513711268448e-12,4,50,0.5
1,VEV_6500,-2.194513711268448e-12,4,200,0.5
1,VEV_5300,-3.7325784060663807,4,10,1.0
1,VEV_5300,-3.7325784060663807,4,50,1.0
1,VEV_5300,-3.7325784060663807,4,200,0.5
1,VEV_5400,-3.632532891317325,4,10,0.5
1,VEV_5400,-3.632532891317325,4,50,0.5
1,VEV_5400,-3.632532891317325,4,200,0.5
1,VEV_5500,0.6741528410527664,4,10,0.5
1,VEV_5500,0.6741528410527664,4,50,0.5
1,VEV_5500,0.6741528410527664,4,200,0.5
1,VEV_6000,-0.00018110004441978427,4,10,0.5
1,VEV_6000,-0.00018110004441978427,4,50,0.5
1,VEV_6000,-0.00018110004441978427,4,200,0.5
1,VEV_6500,-2.1942226842374586e-12,4,10,0.5
1,VEV_6500,-2.1942226842374586e-12,4,50,0.5
1,VEV_6500,-2.1942226842374586e-12,4,200,0.5
1,VEV_5300,-4.732568741592473,2,10,1.0
1,VEV_5300,-4.732568741592473,2,50,1.0
1,VEV_5300,-4.732568741592473,2,200,0.0
1,VEV_5400,-3.6325281439073223,2,10,0.5
1,VEV_5400,-3.6325281439073223,2,50,0.5
1,VEV_5400,-3.6325281439073223,2,200,0.0
1,VEV_5500,0.674154618921186,2,10,0.5
1,VEV_5500,0.674154618921186,2,50,0.5
1,VEV_5500,0.674154618921186,2,200,0.5
1,VEV_6000,-0.000181099915487923,2,10,0.5
1,VEV_6000,-0.000181099915487923,2,50,0.5
1,VEV_6000,-0.000181099915487923,2,200,0.5
1,VEV_6500,-2.194086083231134e-12,2,10,0.5
1,VEV_6500,-2.194086083231134e-12,2,50,0.5
1,VEV_6500,-2.194086083231134e-12,2,200,0.5
1,VEV_5500,0.6741575555152721,5,10,0.5
1,VEV_5500,0.6741575555152721,5,50,0.5
1,VEV_5500,0.6741575555152721,5,200,0.5
1,VEV_6000,-0.00018109970251039458,5,10,0.5
1,VEV_6000,-0.00018109970251039458,5,50,0.5
1,VEV_6000,-0.00018109970251039458,5,200,0.5
1,VEV_6500,-2.1938603658353598e-12,5,10,0.5
1,VEV_6500,-2.1938603658353598e-12,5,50,0.5
1,VEV_6500,-2.1938603658353598e-12,5,200,0.5
1,VEV_5300,-4.732558849262574,4,10,1.0
1,VEV_5300,-4.732558849262574,4,50,1.0
1,VEV_5300,-4.732558849262574,4,200,1.0
1,VEV_5400,-3.632523284284339,4,10,0.5
1,VEV_5400,-3.632523284284339,4,50,0.5
1,VEV_5400,-3.632523284284339,4,200,0.0
1,VEV_5500,0.6741564389300123,4,10,0.5
1,VEV_5500,0.6741564389300123,4,50,0.5
1,VEV_5500,0.6741564389300123,4,200,0.5
1,VEV_6000,-0.00018109978351771262,4,10,0.5
1,VEV_6000,-0.00018109978351771262,4,50,0.5
1,VEV_6000,-0.00018109978351771262,4,200,0.5
1,VEV_6500,-2.19394614247758e-12,4,10,0.5
1,VEV_6500,-2.19394614247758e-12,4,50,0.5
1,VEV_6500,-2.19394614247758e-12,4,200,0.5
1,VEV_5400,-4.632518239480948,5,10,0.5
1,VEV_5400,-4.632518239480948,5,50,0.5
1,VEV_5400,-4.632518239480948,5,200,1.0
1,VEV_5500,0.6741583281834878,5,10,0.0
1,VEV_5500,0.6741583281834878,5,50,0.0
1,VEV_5500,0.6741583281834878,5,200,0.5
1,VEV_6000,-0.00018109964649447178,5,10,0.5
1,VEV_6000,-0.00018109964649447178,5,50,0.5
1,VEV_6000,-0.00018109964649447178,5,200,0.5
1,VEV_6500,-2.193800971561464e-12,5,10,0.5
1,VEV_6500,-2.193800971561464e-12,5,50,0.5
1,VEV_6500,-2.193800971561464e-12,5,200,0.5
1,VEV_5400,-1.6325415749450833,5,10,0.0
1,VEV_5400,-1.6325415749450833,5,50,0.0
1,VEV_5400,-1.6325415749450833,5,200,0.0
1,VEV_5500,1.6741495893273317,5,10,0.0
1,VEV_5500,1.6741495893273317,5,50,0.0
1,VEV_5500,1.6741495893273317,5,200,0.0
1,VEV_6000,-0.0001811002801125187,5,10,0.5
1,VEV_6000,-0.0001811002801125187,5,50,0.5
1,VEV_6000,-0.0001811002801125187,5,200,0.5
1,VEV_6500,-2.194472331568438e-12,5,10,0.5
1,VEV_6500,-2.194472331568438e-12,5,50,0.5
1,VEV_6500,-2.194472331568438e-12,5,200,0.5
1,VEV_5400,-1.6325488989067445,3,10,0.5
1,VEV_5400,-1.6325488989067445,3,50,0.5
1,VEV_5400,-1.6325488989067445,3,200,0.5
1,VEV_5500,1.6741468465898777,3,10,0.5
1,VEV_5500,1.6741468465898777,3,50,0.5
1,VEV_5500,1.6741468465898777,3,200,0.5
1,VEV_6000,-0.0001811004789804135,3,10,0.5
1,VEV_6000,-0.0001811004789804135,3,50,0.5
1,VEV_6000,-0.0001811004789804135,3,200,0.5
1,VEV_6500,-2.1946830416715916e-12,3,10,0.5
1,VEV_6500,-2.1946830416715916e-12,3,50,0.5
1,VEV_6500,-2.1946830416715916e-12,3,200,0.5
1,VEV_5500,1.6741509838836564,2,10,0.5
1,VEV_5500,1.6741509838836564,2,50,0.5
1,VEV_5500,1.6741509838836564,2,200,0.0
1,VEV_6000,-0.00018110017899023714,2,10,0.5
1,VEV_6000,-0.00018110017899023714,2,50,0.5
1,VEV_6000,-0.00018110017899023714,2,200,0.5
1,VEV_6500,-2.1943651653728178e-12,2,10,0.5
1,VEV_6500,-2.1943651653728178e-12,2,50,0.5
1,VEV_6500,-2.1943651653728178e-12,2,200,0.5
1,VEV_5300,-3.732538802352515,3,10,1.0
1,VEV_5300,-3.732538802352515,3,50,1.0
1,VEV_5300,-3.732538802352515,3,200,1.0
1,VEV_5400,-3.6325134359525393,3,10,1.0
1,VEV_5400,-3.6325134359525393,3,50,1.0
1,VEV_5400,-3.6325134359525393,3,200,0.5
1,VEV_5500,0.6741601273975668,3,10,0.5
1,VEV_5500,0.6741601273975668,3,50,0.5
