group,pc1_var_share,pc2_var_share,smallest_var,smallest_var_share,condition_pc1_to_smallest,smallest_vec,smallest_int_coefficients,smallest_int_relation,min_day_smallest_vec_abs_cosine
PEBBLES,0.7389299707075014,0.15904221955361783,1.5659239575144461,5.924477070042974e-07,1247249.271068816,"0.447184,0.447254,0.447205,0.447210,0.447214","1,1,1,1,1",1*PEBBLES_XS +1*PEBBLES_S +1*PEBBLES_M +1*PEBBLES_L +1*PEBBLES_XL,0.9999999938215041
SNACKPACK,0.48577017588459703,0.3785698024048334,703.1610271826504,0.005170524350078378,93.9498865095246,"0.696645,0.683963,-0.097404,-0.071823,-0.179541","56,56,-8,-7,-14",56*SNACKPACK_CHOCOLATE +56*SNACKPACK_VANILLA -8*SNACKPACK_PISTACHIO -7*SNACKPACK_STRAWBERRY -14*SNACKPACK_RASPBERRY,0.9801949411794126
ROBOT,0.6609327068241334,0.15002216273215183,27095.50269176437,0.035552594097194294,18.59028078281051,"-0.412302,0.235471,0.094763,0.820651,0.303500","28,-16,-7,-56,-21",28*ROBOT_VACUUMING -16*ROBOT_MOPPING -7*ROBOT_DISHES -56*ROBOT_LAUNDRY -21*ROBOT_IRONING,0.45262104420658433
UV_VISOR,0.5381988722175407,0.18323018051683795,28206.919380026713,0.035945232843170145,14.972746860917955,"0.122141,0.650543,0.072725,0.573762,0.476847","8,40,5,35,30",8*UV_VISOR_YELLOW +40*UV_VISOR_AMBER +5*UV_VISOR_ORANGE +35*UV_VISOR_RED +30*UV_VISOR_MAGENTA,0.7512331387610399
MICROCHIP,0.5573975385328147,0.2582094953284403,59406.643686940566,0.042381055381581524,13.152044787800525,"0.213285,-0.367392,0.090930,0.347620,0.830918","14,-24,7,24,56",14*MICROCHIP_CIRCLE -24*MICROCHIP_OVAL +7*MICROCHIP_SQUARE +24*MICROCHIP_RECTANGLE +56*MICROCHIP_TRIANGLE,0.25484287347936513
OXYGEN_SHAKE,0.44746146731958203,0.24553425188020928,46436.12044043094,0.04621186317532423,9.682826801896038,"0.172256,0.670712,0.382259,-0.431468,0.433805","42,168,96,-105,112",42*OXYGEN_SHAKE_MORNING_BREATH +168*OXYGEN_SHAKE_EVENING_BREATH +96*OXYGEN_SHAKE_MINT -105*OXYGEN_SHAKE_CHOCOLATE +112*OXYGEN_SHAKE_GARLIC,0.08169700353042418
TRANSLATOR,0.5103543823632174,0.20028162248999418,31225.104069550813,0.051641691266009884,9.882603955287735,"-0.436866,-0.151530,-0.279651,0.653811,0.529635","280,105,180,-420,-336",280*TRANSLATOR_SPACE_GRAY +105*TRANSLATOR_ASTRO_BLACK +180*TRANSLATOR_ECLIPSE_CHARCOAL -420*TRANSLATOR_GRAPHITE_MIST -336*TRANSLATOR_VOID_BLUE,0.65710435566957
PANEL,0.39922472044777546,0.2879597636208518,47347.67612573388,0.055038779198975124,7.253516997615553,"0.403732,0.656098,0.148602,0.159828,0.599090","5,8,2,2,7",5*PANEL_1X2 +8*PANEL_2X2 +2*PANEL_1X4 +2*PANEL_2X4 +7*PANEL_4X4,0.3385935332674728
SLEEP_POD,0.5299003136347642,0.20271984139224086,62328.154283187796,0.07328267282425843,7.230908661117416,"-0.330383,0.074180,0.806414,0.170322,-0.453907","112,-35,-280,-56,160",112*SLEEP_POD_SUEDE -35*SLEEP_POD_LAMB_WOOL -280*SLEEP_POD_POLYESTER -56*SLEEP_POD_NYLON +160*SLEEP_POD_COTTON,0.06542864740699704
GALAXY_SOUNDS,0.3651904610052451,0.2596042756522418,75601.25399120983,0.09233995217035877,3.9548478466991415,"-0.875699,0.222445,0.331240,0.265854,0.057191","56,-14,-21,-16,-7",56*GALAXY_SOUNDS_DARK_MATTER -14*GALAXY_SOUNDS_BLACK_HOLES -21*GALAXY_SOUNDS_PLANETARY_RINGS -16*GALAXY_SOUNDS_SOLAR_WINDS -7*GALAXY_SOUNDS_SOLAR_FLAMES,0.6641231619165658
