group,target,test_day,threshold,horizon,exit_rule,pnl,trades,wins,avg_hold,max_hold,sigma_train
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,20,fixed_horizon,-30110.0,221,83,20.0,20,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,20,zero_cross,-30110.0,221,83,20.0,20,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,50,fixed_horizon,-12720.0,94,42,50.0,50,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,50,zero_cross,-12720.0,94,42,50.0,50,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,100,fixed_horizon,-7190.0,48,24,100.0,100,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,100,zero_cross,-7190.0,48,24,100.0,100,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,200,fixed_horizon,-3420.0,28,14,200.0,200,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,200,zero_cross,-3420.0,28,14,200.0,200,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,500,fixed_horizon,-5020.0,12,5,500.0,500,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,500,zero_cross,-5020.0,12,5,500.0,500,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,20,fixed_horizon,-28040.0,179,64,20.0,20,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,20,zero_cross,-28040.0,179,64,20.0,20,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,50,fixed_horizon,-11180.0,76,35,50.0,50,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,50,zero_cross,-11180.0,76,35,50.0,50,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,100,fixed_horizon,-6910.0,40,21,100.0,100,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,100,zero_cross,-6910.0,40,21,100.0,100,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,200,fixed_horizon,-5840.0,21,9,200.0,200,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,200,zero_cross,-5840.0,21,9,200.0,200,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,500,fixed_horizon,-1590.0,10,6,500.0,500,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,500,zero_cross,-1590.0,10,6,500.0,500,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,20,fixed_horizon,-11320.0,108,44,20.0,20,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,20,zero_cross,-11320.0,108,44,20.0,20,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,50,fixed_horizon,-2130.0,48,23,50.0,50,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,50,zero_cross,-2130.0,48,23,50.0,50,259.9574365364913
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,100,fixed_horizon,-2650.0,27,14,100.0,100,259.9574365364913
