product,spread_mean,spread_median,spread_p10,spread_p90,mid_mean,mid_std,abs_diff_mean,abs_diff_p90,n
GALAXY_SOUNDS_BLACK_HOLES,14.512766666666666,14.0,13.0,16.0,11466.872083333334,958.428701493053,9.10925364178806,19.0,30000
GALAXY_SOUNDS_DARK_MATTER,13.050833333333333,13.0,13.0,14.0,10226.661816666667,330.6950046347335,8.174955831861062,17.0,30000
GALAXY_SOUNDS_PLANETARY_RINGS,13.690033333333334,14.0,12.0,15.0,10766.673183333334,765.8239294266882,8.657271909063635,18.0,30000
GALAXY_SOUNDS_SOLAR_FLAMES,14.071533333333333,14.0,13.0,15.0,11092.5717,450.1429281081473,8.854728490949698,18.0,30000
GALAXY_SOUNDS_SOLAR_WINDS,13.301266666666667,14.0,12.0,14.0,10437.543966666666,541.1017370762473,8.394529817660588,17.0,30000
MICROCHIP_CIRCLE,8.262166666666667,8.0,8.0,9.0,9214.885283333333,532.5033334466115,7.349094969832327,15.0,30000
MICROCHIP_OVAL,7.449766666666667,8.0,6.0,9.0,8179.598716666666,1551.88575584567,9.753025100836695,20.5,30000
MICROCHIP_RECTANGLE,7.885766666666667,8.0,7.0,9.0,8732.43935,752.0067564057591,10.420247341578053,21.5,30000
MICROCHIP_SQUARE,11.7188,12.0,10.0,14.0,13594.7483,1830.2218099537674,16.307743591453047,34.0,30000
MICROCHIP_TRIANGLE,8.635433333333333,9.0,8.0,10.0,9686.391083333334,833.3557064936275,11.49776659221974,24.0,30000
OXYGEN_SHAKE_CHOCOLATE,12.185466666666667,12.0,12.0,14.0,9556.879133333334,560.5922548441504,7.692356411880396,16.5,30000
OXYGEN_SHAKE_EVENING_BREATH,11.860466666666667,12.0,12.0,12.0,9271.895,399.8148312344103,7.360878695956532,20.0,30000
OXYGEN_SHAKE_GARLIC,15.0546,15.0,13.0,17.0,11925.639766666667,953.3331799438985,9.552885096169872,20.0,30000
OXYGEN_SHAKE_MINT,12.593566666666666,13.0,12.0,14.0,9838.394083333333,508.12265409707896,7.899829994333144,16.0,30000
OXYGEN_SHAKE_MORNING_BREATH,12.7829,13.0,12.0,14.0,10000.45335,652.7942096981591,8.035351178372613,16.5,30000
PANEL_1X2,11.509766666666666,12.0,11.0,13.0,8922.729016666666,589.9067764427131,7.2069735657855265,15.0,30000
PANEL_1X4,8.376633333333332,8.0,7.0,9.0,9397.580616666666,834.019582489496,7.516100536684556,15.5,30000
PANEL_2X2,8.515466666666667,9.0,8.0,9.0,9576.598433333333,674.7834961508362,7.647321577385913,16.0,30000
PANEL_2X4,9.8405,10.0,9.0,11.0,11265.372983333333,627.1805533165335,9.012483749458315,18.5,30000
PANEL_4X4,8.750466666666666,9.0,8.0,10.0,9878.719266666667,457.0299422417116,7.938814627154239,16.5,30000
PEBBLES_L,13.0205,13.0,12.0,14.0,10174.110583333333,622.3212764424763,11.992366412213741,25.0,30000
PEBBLES_M,13.1209,13.0,12.0,14.0,10263.243183333334,687.8057667952969,12.083369445648188,25.0,30000
PEBBLES_S,11.551533333333333,12.0,10.0,13.0,8932.356733333334,833.2682524201489,11.987716257208573,25.0,30000
PEBBLES_XL,16.630766666666666,17.0,13.0,20.0,13225.589316666666,1776.51631182985,24.196206540218007,50.0,30000
PEBBLES_XS,9.744866666666667,9.0,8.0,12.0,7404.639766666666,1449.522679832438,12.031334377812593,25.0,30000
ROBOT_DISHES,7.350266666666666,7.0,7.0,8.0,10018.3149,556.6298319541662,8.06090203006767,16.0,30000
ROBOT_IRONING,6.392933333333334,6.0,6.0,8.0,8701.570266666668,771.0168777201068,6.962365412180406,18.5,30000
ROBOT_LAUNDRY,7.165066666666666,7.0,6.0,8.0,9822.7617,614.3120814481106,7.843011433714457,16.0,30000
ROBOT_MOPPING,7.970666666666666,8.0,7.0,9.0,11100.213233333334,767.1479528519117,8.867278909296976,18.0,30000
ROBOT_VACUUMING,6.7533,7.0,6.0,7.0,9166.775783333333,535.2497315912947,7.343778125937531,15.0,30000
SLEEP_POD_COTTON,10.0502,10.0,9.0,11.0,11527.613966666666,887.6780962309848,9.286676222540752,19.0,30000
SLEEP_POD_LAMB_WOOL,9.4001,10.0,9.0,10.0,10701.441716666666,413.16216303212764,8.510150338344612,17.5,30000
SLEEP_POD_NYLON,8.564666666666668,9.0,8.0,9.0,9636.472566666667,508.72005639717565,7.642771425714191,16.0,30000
SLEEP_POD_POLYESTER,10.2957,11.0,9.0,12.0,11840.56095,977.5232461311414,9.469398979965998,19.5,30000
SLEEP_POD_SUEDE,9.949466666666666,10.0,9.0,11.0,11397.420433333333,899.9314728739882,9.084519483982799,19.0,30000
SNACKPACK_CHOCOLATE,16.471166666666665,17.0,16.0,17.0,9843.37165,200.72997995137024,5.234907830261009,11.0,30000
SNACKPACK_PISTACHIO,15.925633333333334,16.0,16.0,17.0,9495.843916666667,187.4919103490238,4.175905863528785,8.5,30000
SNACKPACK_RASPBERRY,16.842466666666667,17.0,17.0,18.0,10077.812066666667,169.81101750003018,6.456898563285443,13.0,30000
SNACKPACK_STRAWBERRY,17.826466666666665,18.0,17.0,19.0,10706.6085,363.56705096091514,6.486499549984999,13.5,30000
SNACKPACK_VANILLA,16.868666666666666,17.0,17.0,18.0,10097.302466666666,178.51165124602434,5.186239541318044,10.5,30000
TRANSLATOR_ASTRO_BLACK,8.3664,8.0,8.0,9.0,9385.219166666666,489.73783459381497,7.520067335577853,15.5,30000
TRANSLATOR_ECLIPSE_CHARCOAL,8.700433333333333,9.0,8.0,9.0,9813.741883333334,355.63088615040135,7.835411180372679,16.0,30000
TRANSLATOR_GRAPHITE_MIST,8.9121,9.0,8.0,10.0,10084.639683333333,499.5325368584443,8.077719257308576,17.0,30000
TRANSLATOR_SPACE_GRAY,8.402166666666666,9.0,8.0,9.0,9431.901883333334,502.6979940429307,7.517850595019834,15.5,30000
TRANSLATOR_VOID_BLUE,9.524666666666667,10.0,9.0,10.0,10858.579333333333,579.2445020221503,8.630221007366913,18.0,30000
UV_VISOR_AMBER,10.3205,10.0,9.0,12.0,7911.69625,996.9009688835383,6.3469782326077535,13.0,30000
UV_VISOR_MAGENTA,14.0916,14.0,13.0,15.0,11111.7929,613.5438994423491,8.907880262675423,18.5,30000
UV_VISOR_ORANGE,13.2841,13.0,12.0,14.0,10426.506216666667,550.5942716311347,8.33209440314677,17.0,30000
UV_VISOR_RED,14.039433333333333,14.0,13.0,15.0,11063.293583333334,587.7055799325258,8.801010033667788,18.0,30000
UV_VISOR_YELLOW,13.909966666666667,14.0,13.0,15.0,10957.46075,681.79668588549,8.765358845294843,18.0,30000
