product,day2,day3,day4,total,min_day,positive_days
SLEEP_POD_COTTON,12829,7839,7155,27823,7155,3
SNACKPACK_RASPBERRY,12133,5545,6813,24491,5545,3
GALAXY_SOUNDS_SOLAR_FLAMES,11190,5153,15778,32121,5153,3
UV_VISOR_MAGENTA,16853,9325,4925,31103,4925,3
SLEEP_POD_LAMB_WOOL,5093,2977,16330,24400,2977,3
MICROCHIP_RECTANGLE,5750,2869,18224,26843,2869,3
UV_VISOR_YELLOW,4075,2775,1660,8510,1660,3
SNACKPACK_VANILLA,2965,3647,900,7512,900,3
SNACKPACK_PISTACHIO,5830,1420,360,7610,360,3
SNACKPACK_CHOCOLATE,3739,4043,222,8004,222,3
PEBBLES_L,15072,2641,-193,17520,-193,2
PANEL_2X2,-407,3095,1921,4609,-407,2
GALAXY_SOUNDS_DARK_MATTER,4061,-2117,19171,21115,-2117,2
ROBOT_LAUNDRY,1950,10753,-2253,10450,-2253,2
GALAXY_SOUNDS_SOLAR_WINDS,-2523,12776,9648,19901,-2523,2
OXYGEN_SHAKE_MORNING_BREATH,-3473,1563,125,-1785,-3473,2
OXYGEN_SHAKE_EVENING_BREATH,-3980,7232,1986,5238,-3980,2
ROBOT_MOPPING,3518,-4849,10559,9228,-4849,2
ROBOT_IRONING,1871,-5100,3270,41,-5100,2
SLEEP_POD_POLYESTER,17615,-5888,4903,16630,-5888,2
MICROCHIP_CIRCLE,16597,7591,-6382,17806,-6382,2
TRANSLATOR_ECLIPSE_CHARCOAL,-6534,8472,15577,17515,-6534,2
UV_VISOR_RED,9896,9948,-7055,12789,-7055,2
SLEEP_POD_SUEDE,10950,-7333,3881,7498,-7333,2
OXYGEN_SHAKE_CHOCOLATE,6684,3794,-7520,2958,-7520,2
PANEL_2X4,9570,7119,-9007,7682,-9007,2
PEBBLES_S,12639,15551,-9425,18765,-9425,2
SLEEP_POD_NYLON,6692,10968,-10248,7412,-10248,2
PANEL_1X2,9031,4445,-10650,2826,-10650,2
PANEL_1X4,-12815,7981,4943,109,-12815,2
GALAXY_SOUNDS_BLACK_HOLES,8015,20108,-13285,14838,-13285,2
MICROCHIP_OVAL,7395,14507,-19046,2856,-19046,2
OXYGEN_SHAKE_GARLIC,21662,10152,-19660,12154,-19660,2
MICROCHIP_SQUARE,24515,-25581,22201,21135,-25581,2
PEBBLES_XL,51657,825,-37742,14740,-37742,2
SNACKPACK_STRAWBERRY,5120,-930,-1065,3125,-1065,1
TRANSLATOR_GRAPHITE_MIST,-1127,-155,18753,17471,-1127,1
TRANSLATOR_ASTRO_BLACK,-249,-2224,3285,812,-2224,1
OXYGEN_SHAKE_MINT,12725,-540,-2540,9645,-2540,1
TRANSLATOR_VOID_BLUE,11463,-3195,-2407,5861,-3195,1
ROBOT_VACUUMING,-4947,8987,-3090,950,-4947,1
GALAXY_SOUNDS_PLANETARY_RINGS,3000,-1655,-5967,-4622,-5967,1
PEBBLES_M,-7643,-2054,3570,-6127,-7643,1
PEBBLES_XS,19455,-7466,-8280,3709,-8280,1
ROBOT_DISHES,-632,14159,-10800,2727,-10800,1
MICROCHIP_TRIANGLE,-2627,20885,-10809,7449,-10809,1
UV_VISOR_AMBER,14935,-11150,-2600,1185,-11150,1
TRANSLATOR_SPACE_GRAY,11789,-1166,-11311,-688,-11311,1
UV_VISOR_ORANGE,-385,-4122,-4907,-9414,-4907,0
PANEL_4X4,-3096,-4734,-8321,-16151,-8321,0
