product,alpha_anchor,mean_mid,anchor_minus_mean,alpha_coeffs,bucket_means,bucket_devs_from_anchor,day_end_moves,day_means,best_shape_match,best_shape_corr,best_shape_mae
GALAXY_SOUNDS_BLACK_HOLES,11193.8333,11466.8721,-273.0388,-68.0000|241.3333|36.3333|1151.8333,11120.3548|11293.7123|11340.3565|11498.5783|12081.3585,-73.4785|99.8790|146.5232|304.7450|887.5252,1446.5000|688.5000|1320.5000,10680.4921|11107.8778|12612.2464,bucket1_4_dev_from_anchor,0.945928,198.8522
GALAXY_SOUNDS_DARK_MATTER,10428.5,10226.6618,201.8382,-201.5000|-346.1667|-438.5000|89.3333,10225.9532|10098.7792|10143.5478|10277.2135|10387.8154,-202.5468|-329.7208|-284.9522|-151.2865|-40.6846,417.0000|462.5000|-611.5000,10111.9138|10421.9509|10146.1208,bucket1_4_dev_from_anchor,0.516151,151.6667
GALAXY_SOUNDS_PLANETARY_RINGS,10888.3333,10766.6732,121.6601,-155.1667|-291.6667|25.3333|-120.0000,10844.0521|10569.0006|10744.4850|10766.0537|10909.7746,-44.2812|-319.3327|-143.8483|-122.2796|21.4413,1249.0000|158.0000|-1767.0000,10013.2524|11615.2732|10671.4940,day_end_moves_plus_mean,-0.688142,911.5417
GALAXY_SOUNDS_SOLAR_FLAMES,10660.5,11092.5717,-432.0717,290.0000|485.5000|537.8333|277.3333,10869.2748|11146.9317|11177.1431|11282.7624|10986.7465,208.7748|486.4317|516.6431|622.2624|326.2465,1345.5000|-693.5000|180.0000,11095.6436|11259.9986|10922.0729,bucket1_4_dev_from_anchor,0.835349,90.2293
GALAXY_SOUNDS_SOLAR_WINDS,10115.8333,10437.544,-321.7107,-5.5000|457.5000|305.5000|83.5000,10198.5623|10561.8538|10390.6829|10596.1658|10440.4550,82.7290|446.0205|274.8496|480.3324|324.6217,-416.5000|1175.5000|-508.5000,10066.5822|10309.8528|10936.1969,day_end_moves_plus_mean,0.658792,485.75
MICROCHIP_CIRCLE,9140.8333,9214.8853,-74.052,-154.1667|-31.8333|6.8333|127.3333,9079.4713|9028.8758|9180.3290|9384.8514|9400.8989,-61.3620|-111.9575|39.4957|244.0181|260.0656,-1125.0000|-346.5000|1853.5000,9190.4029|8897.6843|9556.5688,bucket1_4_dev_from_anchor,0.911829,120.8638
MICROCHIP_OVAL,8889.6667,8179.5987,710.068,-186.0000|-385.1667|-686.8333|-1488.5000,8721.1954|8446.1005|8089.2390|7904.0229|7737.4357,-168.4713|-443.5662|-800.4277|-985.6438|-1152.2310,-744.0000|-1824.0000|-1897.5000,9766.3823|8543.7736|6228.6403,bucket1_4_dev_from_anchor,0.881898,326.9767
MICROCHIP_RECTANGLE,9080.6667,8732.4394,348.2273,-268.1667|-85.0000|-334.0000|-403.5000,9021.7246|8962.3965|8721.3710|8414.6214|8542.0832,-58.9421|-118.2702|-359.2957|-666.0453|-538.5835,-579.5000|-1572.5000|941.5000,9596.8726|8293.3540|8307.0914,day_end_moves_plus_mean,-0.713501,768.5833
MICROCHIP_SQUARE,12789.5,13594.7483,-805.2483,-77.3333|270.1667|1295.3333|1205.3333,12763.9993|13500.7007|13944.1444|13854.3577|13910.5392,-25.5007|711.2007|1154.6444|1064.8577|1121.0392,2455.5000|3438.5000|-2278.0000,11268.4607|14584.2410|14931.5433,first_4_bucket_step,-0.987396,880.3959
MICROCHIP_TRIANGLE,9911.5,9686.3911,225.1089,-84.5000|-30.3333|-405.6667|-693.3333,9903.8754|9775.6214|9642.5082|9699.2624|9410.6880,-7.6246|-135.8786|-268.9918|-212.2376|-500.8120,704.0000|-1705.5000|-1078.5000,10216.4921|10229.0848|8613.5963,bucket1_4_dev_from_anchor,0.781854,168.9969
OXYGEN_SHAKE_CHOCOLATE,9599.6667,9556.8791,42.7876,-51.3333|-327.3333|-100.1667|240.6667,9491.7192|9224.3358|9459.9162|9787.7661|9820.6584,-107.9475|-375.3309|-139.7505|188.0994|220.9917,-510.0000|-158.0000|1390.0000,9355.8077|9243.5852|10071.2445,bucket1_4_dev_from_anchor,0.467866,204.8804
OXYGEN_SHAKE_EVENING_BREATH,9286.6667,9271.895,14.7717,136.6667|160.0000|53.3333|-193.3333,9399.7498|9588.1132|9225.0373|9082.7967|9063.7780,113.0831|301.4465|-61.6294|-203.8700|-222.8887,-1570.0000|1000.0000|-10.0000,9184.5614|9204.2938|9426.8298,bucket1_4_dev_from_anchor,0.601522,168.292
OXYGEN_SHAKE_GARLIC,11250.3333,11925.6398,-675.3065,80.8333|134.1667|837.6667|1299.3333,11267.0003|11650.5301|12044.7340|12164.1756|12501.7588,16.6670|400.1968|794.4007|913.8423|1251.4255,1828.5000|111.0000|1958.5000,11058.2480|11807.8419|12910.8294,bucket1_4_dev_from_anchor,0.89784,275.9202
OXYGEN_SHAKE_MINT,9939.6667,9838.3941,101.2726,-60.8333|-251.0000|-304.6667|52.1667,9853.6406|9710.9021|9619.8293|10004.2175|10003.3810,-86.0261|-228.7646|-319.8374|64.5508|63.7143,106.5000|-390.5000|440.5000,9893.5183|10265.4505|9356.2134,first_4_bucket_step,-0.542794,245.9726
OXYGEN_SHAKE_MORNING_BREATH,10178.3333,10000.4533,177.88,223.6667|156.3333|-142.5000|-149.6667,10345.5987|10145.5233|9996.1620|9761.5266|9753.4561,167.2654|-32.8100|-182.1713|-416.8067|-424.8772,999.5000|-1467.0000|18.5000,10584.2437|9911.1385|9505.9780,bucket1_4_dev_from_anchor,0.983056,286.1246
PANEL_1X2,9092.6667,8922.729,169.9377,-391.0000|-339.5000|-409.1667|-99.0000,8806.0752|8950.7871|8766.9262|9035.1275|9054.7292,-286.5915|-141.8796|-325.7405|-57.5392|-37.9375,-1568.5000|425.0000|846.5000,9231.6007|8280.9276|9255.6588,first_4_bucket_step,-0.347319,371.8302
PANEL_1X4,9939.6667,9397.5806,542.0861,-387.8333|-425.3333|-538.3333|-269.8333,9670.7184|9488.4390|9244.4338|9084.0551|9500.2568,-268.9483|-451.2277|-695.2329|-855.6116|-439.4099,1065.0000|-2372.0000|497.5000,10022.3587|9632.5951|8537.7879,bucket1_4_dev_from_anchor,0.900327,205.0372
PANEL_2X2,9762.1667,9576.5984,185.5683,-231.1667|-417.1667|114.6667|-192.0000,9509.0035|9560.3283|9677.8407|9674.0309|9461.7888,-253.1632|-201.8384|-84.3260|-88.1358|-300.3779,111.5000|-883.5000|196.0000,9806.8921|10167.0618|8755.8415,day_means_dev_anchor_plus_mean,-0.994123,556.3444
PANEL_2X4,10726.6667,11265.373,-538.7063,-52.3333|181.8333|531.1667|790.1667,10751.2678|11022.6195|11317.5667|11642.3899|11593.0210,24.6011|295.9528|590.9000|915.7232|866.3543,738.0000|738.0000|894.5000,10713.5407|11206.9245|11875.6537,bucket1_4_dev_from_anchor,0.923448,304.5242
PANEL_4X4,9977.8333,9878.7193,99.114,402.5000|233.3333|-322.3333|-291.6667,10149.9825|10004.8789|9654.8128|9677.3463|9906.5757,172.1492|27.0456|-323.0205|-300.4870|-71.2576,-321.5000|573.5000|-1127.0000,10040.1213|9548.0371|10047.9994,first_4_bucket_step,-0.784146,499.1915
PEBBLES_L,10381.6667,10174.1106,207.5561,-27.0000|159.1667|-231.8333|-297.0000,10439.1211|10460.9697|10253.6089|9780.1862|9936.6671,57.4544|79.3030|-128.0578|-601.4805|-444.9996,103.0000|894.5000|-1888.5000,9862.8101|10201.4536|10458.0680,day_end_moves_plus_mean,0.753034,630.5
PEBBLES_M,10028.6667,10263.2432,-234.5765,-336.0000|-28.8333|421.5000|229.8333,9910.1434|10123.4307|10465.7237|10315.1178|10501.8003,-118.5233|94.7640|437.0570|286.4511|473.1336,-985.5000|2039.0000|-364.0000,9747.4463|10170.4927|10871.7905,day_means_dev_anchor_plus_mean,0.946524,162.9515
PEBBLES_S,9386.8333,8932.3567,454.4766,-189.1667|-214.3333|-458.5000|-651.3333,9295.2711|9120.5428|8930.9263|8802.6615|8512.3821,-91.5622|-266.2905|-455.9070|-584.1718|-874.4512,-840.0000|-177.0000|-937.0000,9650.4792|9197.5171|7949.0739,bucket1_4_dev_from_anchor,0.956816,166.8718
