entry_edge,exit_edge,limit,day,product,pnl
10,5,3,2,GALAXY_SOUNDS_BLACK_HOLES,2336
10,5,3,2,GALAXY_SOUNDS_DARK_MATTER,825
10,5,3,2,GALAXY_SOUNDS_PLANETARY_RINGS,864
10,5,3,2,GALAXY_SOUNDS_SOLAR_FLAMES,2332
10,5,3,2,GALAXY_SOUNDS_SOLAR_WINDS,-922
10,5,3,2,MICROCHIP_CIRCLE,4265
10,5,3,2,MICROCHIP_OVAL,2220
10,5,3,2,MICROCHIP_RECTANGLE,1726
10,5,3,2,MICROCHIP_SQUARE,7354
10,5,3,2,MICROCHIP_TRIANGLE,-444
10,5,3,2,OXYGEN_SHAKE_CHOCOLATE,1710
10,5,3,2,OXYGEN_SHAKE_EVENING_BREATH,-1224
10,5,3,2,OXYGEN_SHAKE_GARLIC,6234
10,5,3,2,OXYGEN_SHAKE_MINT,2596
10,5,3,2,OXYGEN_SHAKE_MORNING_BREATH,-1450
10,5,3,2,PANEL_1X2,2074
10,5,3,2,PANEL_1X4,-4158
10,5,3,2,PANEL_2X2,-518
10,5,3,2,PANEL_2X4,2641
10,5,3,2,PANEL_4X4,-1490
10,5,3,2,PEBBLES_L,4119
10,5,3,2,PEBBLES_M,-2986
10,5,3,2,PEBBLES_S,3507
10,5,3,2,PEBBLES_XL,13604
10,5,3,2,PEBBLES_XS,5836
10,5,3,2,ROBOT_DISHES,-249
10,5,3,2,ROBOT_IRONING,639
10,5,3,2,ROBOT_LAUNDRY,553
10,5,3,2,ROBOT_MOPPING,616
10,5,3,2,ROBOT_VACUUMING,-1659
10,5,3,2,SLEEP_POD_COTTON,3843
10,5,3,2,SLEEP_POD_LAMB_WOOL,1226
10,5,3,2,SLEEP_POD_NYLON,1671
10,5,3,2,SLEEP_POD_POLYESTER,5284
10,5,3,2,SLEEP_POD_SUEDE,3285
10,5,3,2,SNACKPACK_CHOCOLATE,602
10,5,3,2,SNACKPACK_PISTACHIO,1518
10,5,3,2,SNACKPACK_RASPBERRY,2389
10,5,3,2,SNACKPACK_STRAWBERRY,1050
10,5,3,2,SNACKPACK_VANILLA,92
10,5,3,2,TRANSLATOR_ASTRO_BLACK,-150
10,5,3,2,TRANSLATOR_ECLIPSE_CHARCOAL,-2072
10,5,3,2,TRANSLATOR_GRAPHITE_MIST,-226
10,5,3,2,TRANSLATOR_SPACE_GRAY,3147
10,5,3,2,TRANSLATOR_VOID_BLUE,3420
10,5,3,2,UV_VISOR_AMBER,4480
10,5,3,2,UV_VISOR_MAGENTA,4546
10,5,3,2,UV_VISOR_ORANGE,-328
10,5,3,2,UV_VISOR_RED,2286
10,5,3,2,UV_VISOR_YELLOW,1142
10,5,3,3,GALAXY_SOUNDS_BLACK_HOLES,5427
10,5,3,3,GALAXY_SOUNDS_DARK_MATTER,-1395
10,5,3,3,GALAXY_SOUNDS_PLANETARY_RINGS,-496
10,5,3,3,GALAXY_SOUNDS_SOLAR_FLAMES,1072
10,5,3,3,GALAXY_SOUNDS_SOLAR_WINDS,2817
10,5,3,3,MICROCHIP_CIRCLE,1696
