group,product,alpha_mean,alpha_std,r2_mean,r2_min,resid_avg_path,resid_max_abs,resid_cross_day_corr
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,0.024506,2.180529,0.808098,0.62766,0.0000|-158.1026|-17.0713|-1.7329|-189.3633,189.3633,0.484772
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,1.404847,2.214735,0.517766,0.245914,0.0000|128.6700|11.5972|28.8632|-73.3681,128.67,-0.455565
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,1.881621,0.869161,0.447343,0.068137,0.0000|-33.2649|-57.6966|-146.8277|327.9656,327.9656,0.267879
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,0.724007,1.640841,0.441742,0.078826,0.0000|403.3344|251.3884|398.4737|139.3493,403.3344,0.206858
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,0.965019,0.228976,0.215492,0.054941,0.0000|-340.6369|-188.2177|-278.7763|-204.5834,340.6369,-0.288042
MICROCHIP,MICROCHIP_SQUARE,-0.435927,5.902479,0.674866,0.381259,0.0000|298.3447|909.8435|681.0735|457.2575,909.8435,-0.113073
MICROCHIP,MICROCHIP_OVAL,3.274099,1.952795,0.54414,0.382427,0.0000|-198.8408|-626.7403|-435.4921|-351.5644,626.7403,0.340083
MICROCHIP,MICROCHIP_CIRCLE,-0.41393,2.646289,0.473868,0.02023,0.0000|-87.1654|268.2379|132.9689|208.8501,268.2379,-0.191699
MICROCHIP,MICROCHIP_RECTANGLE,1.614558,2.041836,0.227824,0.008476,0.0000|69.6443|-247.8915|-338.2007|-38.9928,338.2007,-0.190301
MICROCHIP,MICROCHIP_TRIANGLE,0.961199,0.702514,0.20499,0.010693,0.0000|-81.9829|-303.4496|-40.3496|-275.5504,303.4496,0.025462
OXYGEN_SHAKE,OXYGEN_SHAKE_MORNING_BREATH,2.618545,2.385929,0.571244,0.185651,0.0000|44.7284|190.4046|87.4451|-36.3772,190.4046,-0.17581
OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,1.971902,1.291545,0.467936,0.048811,0.0000|-305.0465|-135.9206|-92.4500|-211.4704,305.0465,0.077597
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,1.608369,1.47198,0.456262,0.009195,0.0000|-140.3992|-230.5884|-34.4453|-150.9299,230.5884,-0.451335
OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,0.103837,1.713706,0.316238,0.002276,0.0000|263.9207|467.7273|406.6047|705.7647,705.7647,-0.09703
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,-1.302653,0.927915,0.250424,0.042758,0.0000|136.7966|-291.6229|-367.1544|-306.9872,367.1544,0.265207
PANEL,PANEL_1X4,4.177722,2.870422,0.644617,0.381209,0.0000|-306.8833|-448.8058|-611.2547|-250.0968,611.2547,-0.024262
PANEL,PANEL_4X4,-2.100285,2.041575,0.488524,0.324719,0.0000|-8.5271|-371.1654|-417.7021|-156.8784,417.7021,0.105096
PANEL,PANEL_1X2,-0.460202,2.542104,0.421324,0.043948,0.0000|114.2945|23.3082|98.7179|-58.3061,114.2945,-0.27774
PANEL,PANEL_2X2,2.198965,2.275659,0.397765,0.010724,0.0000|-49.6140|51.5251|175.3484|5.3537,175.3484,-0.272456
PANEL,PANEL_2X4,1.183799,1.517878,0.290448,0.03581,0.0000|250.7300|745.1378|754.8905|459.9275,754.8905,0.93833
PEBBLES,PEBBLES_XS,48074.190723,44163.039132,0.252426,0.065171,0.0000|-376.7781|-372.5030|-1157.7005|-1134.5916,1157.7005,0.85274
PEBBLES,PEBBLES_M,-51360.619157,73127.476069,0.148545,0.045507,0.0000|39.0344|165.8152|325.6339|408.1924,408.1924,-0.410743
PEBBLES,PEBBLES_L,18625.922328,30634.033699,0.068972,0.005015,0.0000|107.1197|-100.2844|-647.7966|-439.7917,647.7966,-0.125743
PEBBLES,PEBBLES_S,8599.595591,8444.793705,0.065062,0.025976,0.0000|-72.5588|-215.0401|-403.1005|-721.3231,721.3231,0.384582
PEBBLES,PEBBLES_XL,-23934.089486,18101.760712,0.049618,0.000346,0.0000|303.1828|522.0124|1882.9636|1887.5141,1887.5141,-0.03248
ROBOT,ROBOT_IRONING,3.931311,2.705288,0.493764,0.015889,0.0000|-87.8848|-426.8306|-499.2528|-257.9778,499.2528,0.276702
ROBOT,ROBOT_DISHES,0.852153,1.594585,0.357957,0.045812,0.0000|169.2198|149.1045|18.3369|374.8492,374.8492,0.418164
ROBOT,ROBOT_VACUUMING,1.561228,1.405369,0.357424,0.042674,0.0000|-60.0128|-116.7060|-172.1450|-80.1729,172.145,-0.28624
ROBOT,ROBOT_LAUNDRY,0.790942,1.623434,0.331419,0.01862,0.0000|70.6659|123.6675|87.5200|69.1264,123.6675,-0.419276
ROBOT,ROBOT_MOPPING,-2.135634,5.42971,0.314561,0.141695,0.0000|-91.9881|270.7646|565.5410|-105.8249,565.541,0.273727
SLEEP_POD,SLEEP_POD_POLYESTER,1.939317,0.792072,0.719846,0.632235,0.0000|-93.1590|-176.7546|-86.7268|-42.1606,176.7546,-0.343917
SLEEP_POD,SLEEP_POD_COTTON,2.234127,1.185245,0.669707,0.447272,0.0000|-124.8525|-141.3088|46.3777|-177.6853,177.6853,-0.199748
SLEEP_POD,SLEEP_POD_NYLON,-0.601854,1.093499,0.629604,0.2715,0.0000|137.2710|151.2982|246.3535|135.1113,246.3535,-0.359883
SLEEP_POD,SLEEP_POD_SUEDE,1.349389,0.715502,0.574368,0.144918,0.0000|-220.7303|-113.2735|-272.0632|-131.6805,272.0632,-0.249317
SLEEP_POD,SLEEP_POD_LAMB_WOOL,0.079021,0.543508,0.314533,0.001281,0.0000|301.4708|280.0388|66.0587|216.4151,301.4708,-0.103694
