product,group,coverage_label,free_alpha_path,free_alpha_d,actual_pooled_path,actual_pooled_d,pooled_shape_corr,pooled_delta_corr,pooled_mae,pooled_anchor_err,day2_shape_corr,day3_shape_corr,day4_shape_corr,day2_delta_corr,day3_delta_corr,day4_delta_corr,day2_mae,day3_mae,day4_mae,stab_cross_day_corr,stab_sign_consistency,stab_same_sign_buckets,stab_max_abs_avg_delta
PEBBLES_XS,PEBBLES,table_only,8308.1667|8309.0000|8090.3334|7277.5000|6982.0000,0.0000|0.8333|-217.8333|-1030.6667|-1326.1667,8291.3846|7701.7108|7232.9725|6875.8073|6921.3237,0.0000|-589.6738|-1058.4121|-1415.5772|-1370.0609,0.827315,0.827315,388.7603,-16.7821,0.895922,0.815968,0.631155,0.895922,0.815968,0.631155,1396.0057,824.9899,1737.2966,0.87608,0.8,4,1415.5773
PANEL_2X4,PANEL,table_only,10726.6667|10674.3334|10908.5000|11257.8334|11516.8334,0.0000|-52.3333|181.8333|531.1667|790.1667,10751.2678|11022.6195|11317.5667|11642.3899|11593.0210,0.0000|271.3517|566.2988|891.1221|841.7532,0.878828,0.878828,248.5396,24.6011,0.974586,0.691699,0.762361,0.974586,0.691699,0.762361,303.2927,272.8961,858.8204,0.812904,0.8,4,891.1221
UV_VISOR_AMBER,UV_VISOR,table_only,8627.3333|8217.0000|8140.1666|7997.8333|7672.8333,0.0000|-410.3333|-487.1667|-629.5000|-954.5000,8256.7607|8003.9171|7894.4335|7716.1650|7687.2050,0.0000|-252.8436|-362.3272|-540.5957|-569.5557,0.953757,0.953757,225.0857,-370.5726,0.964949,0.996244,0.191296,0.964949,0.996244,0.191296,1046.1726,458.132,1246.0518,0.495856,0.8,4,569.5557
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,table_only,11193.8333|11125.8333|11435.1666|11230.1666|12345.6666,0.0000|-68.0000|241.3333|36.3333|1151.8333,11120.3547|11293.7123|11340.3565|11498.5783|12081.3585,0.0000|173.3576|220.0018|378.2236|961.0038,0.925896,0.925896,173.7775,-73.4786,0.791145,0.458847,0.906641,0.791145,0.458847,0.906641,785.6412,427.0684,1146.1131,0.380852,0.533333,0,961.0037
ROBOT_IRONING,ROBOT,table_only,9000.0000|9170.0000|9176.6667|8690.0000|8280.0000,0.0000|170.0000|176.6667|-310.0000|-720.0000,9128.8800|8945.0433|8670.8278|8374.2424|8388.8578,0.0000|-183.8367|-458.0522|-754.6376|-740.0222,0.710754,0.710754,256.8582,128.88,-0.211495,0.945629,0.76811,-0.211495,0.945629,0.76811,593.737,249.7846,1005.4824,0.377373,0.733333,3,754.6376
PEBBLES_S,PEBBLES,table_only,9386.8333|9197.6666|9172.5000|8928.3333|8735.5000,0.0000|-189.1667|-214.3333|-458.5000|-651.3333,9295.2711|9120.5428|8930.9263|8802.6615|8512.3821,0.0000|-174.7283|-364.3448|-492.6096|-782.8890,0.976172,0.976172,151.8099,-91.5622,0.894355,0.34776,0.894869,0.894355,0.34776,0.894869,566.3126,245.5668,1135.0927,0.369825,0.666667,2,782.889
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,table_only,9774.5000|9721.5000|9537.1667|9357.0000|9421.8333,0.0000|-53.0000|-237.3333|-417.5000|-352.6667,9658.2231|9410.1015|9350.8400|9338.1677|9168.7636,0.0000|-248.1216|-307.3831|-320.0554|-489.4595,0.796525,0.796525,177.1808,-116.2769,0.225137,0.778643,0.487707,0.225137,0.778643,0.487707,375.3182,536.1455,370.7152,0.364825,0.666667,2,489.4595
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,table_only,11250.3333|11331.1666|11384.5000|12088.0000|12549.6666,0.0000|80.8333|134.1667|837.6667|1299.3333,11267.0003|11650.5301|12044.7340|12164.1756|12501.7588,0.0000|383.5298|777.7337|897.1753|1234.7585,0.86233,0.86233,224.0696,16.667,0.640866,0.649419,0.865899,0.640866,0.649419,0.865899,726.852,362.6806,1190.0961,0.321172,0.6,1,1234.7585
MICROCHIP_OVAL,MICROCHIP,table_only,8889.6667|8703.6667|8504.5000|8202.8334|7401.1667,0.0000|-186.0000|-385.1667|-686.8333|-1488.5000,8721.1954|8446.1005|8089.2390|7904.0229|7737.4358,0.0000|-275.0949|-631.9564|-817.1725|-983.7597,0.889212,0.889212,295.2756,-168.4713,0.028706,0.882173,0.865485,0.028706,0.882173,0.865485,1426.0156,319.1989,2111.7264,0.255387,0.666667,2,983.7597
MICROCHIP_TRIANGLE,MICROCHIP,table_only,9911.5000|9827.0000|9881.1667|9505.8333|9218.1667,0.0000|-84.5000|-30.3333|-405.6667|-693.3333,9903.8754|9775.6214|9642.5082|9699.2624|9410.6880,0.0000|-128.2540|-261.3673|-204.6130|-493.1874,0.821758,0.821758,136.7224,-7.6246,0.472438,0.329646,0.828214,0.472438,0.329646,0.828214,547.7587,560.3515,1055.137,0.205866,0.533333,1,493.1874
