product,group,path_type,threshold,folds_run,folds_positive,total_pnl,worst_day_pnl,best_day_pnl,mean_day_pnl,total_trades
MICROCHIP_SQUARE,MICROCHIP,group_scaled,300,3,3,58649.0,14121.0,24506.0,19549.67,256
PEBBLES_XS,PEBBLES,bucket_delta_b0,200,3,3,49738.0,13937.0,20438.0,16579.33,874
UV_VISOR_RED,UV_VISOR,bucket_delta_b0,120,3,3,41115.4,13271.0,13956.0,13705.13,718
UV_VISOR_RED,UV_VISOR,bucket_delta_b0,160,3,3,42333.0,12789.0,16110.0,14111.0,600
PEBBLES_XS,PEBBLES,bucket_delta_b0,300,3,3,44381.1,12346.0,16815.1,14793.7,576
UV_VISOR_RED,UV_VISOR,bucket_delta_b0,80,3,3,43186.0,12054.0,16944.0,14395.33,1062
ROBOT_DISHES,ROBOT,bucket_delta_b0,80,3,3,44785.0,11121.0,18652.0,14928.33,928
PEBBLES_XS,PEBBLES,bucket_delta_b0,160,3,3,45582.0,10930.0,19467.0,15194.0,984
PEBBLES_L,PEBBLES,bucket_delta_b0,80,3,3,41880.0,10826.0,19943.0,13960.0,1500
ROBOT_DISHES,ROBOT,bucket_delta_b0,120,3,3,39276.0,10595.0,16310.0,13092.0,576
UV_VISOR_RED,UV_VISOR,bucket_delta_b0,200,3,3,43543.0,10265.0,18594.0,14514.33,496
PEBBLES_L,PEBBLES,group_scaled,200,3,3,60954.0,10121.0,39160.0,20318.0,428
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,bucket_mean,300,3,3,37793.0,10059.0,15768.0,12597.67,238
UV_VISOR_RED,UV_VISOR,bucket_delta_b0,40,3,3,37169.0,9977.0,15351.0,12389.67,1743
PEBBLES_XS,PEBBLES,bucket_delta_b0,120,3,3,38071.0,9780.0,17410.0,12690.33,1130
ROBOT_DISHES,ROBOT,bucket_delta_b0,40,3,3,47238.0,9628.0,22810.0,15746.0,1592
MICROCHIP_SQUARE,MICROCHIP,group_scaled,160,3,3,47834.0,9330.0,24506.0,15944.67,270
PEBBLES_L,PEBBLES,group_scaled,160,3,3,62965.0,9314.0,40468.0,20988.33,532
PEBBLES_L,PEBBLES,bucket_delta_b0,40,3,3,39302.0,9299.0,19194.0,13100.67,2508
MICROCHIP_SQUARE,MICROCHIP,group_scaled,200,3,3,49933.0,9061.0,24506.0,16644.33,252
UV_VISOR_ORANGE,UV_VISOR,group_scaled,200,3,3,28830.0,8828.0,11156.0,9610.0,288
