product,path_type,threshold,bucket0_pnl,bucket1_pnl,bucket2_pnl,bucket3_pnl,bucket4_pnl,bucket0_trades,bucket1_trades,bucket2_trades,bucket3_trades,bucket4_trades,boundary_signal_share,total_signal_ticks
GALAXY_SOUNDS_SOLAR_FLAMES,bucket_mean,300,0.0,11609.0,6579.0,4432.0,11225.0,30,20,58,30,100,0.0542,20548
MICROCHIP_SQUARE,group_scaled,300,17005.0,21972.0,8076.0,5872.0,682.0,70,40,60,70,16,0.0491,27228
PEBBLES_L,bucket_delta_b0,80,34448.0,21423.0,11164.0,-1382.0,934.0,770,497,139,34,60,0.0495,25720
PEBBLES_S,bucket_delta_b0,80,27401.0,2013.0,10972.0,4173.0,-2356.0,502,110,204,108,40,0.053,27251
PEBBLES_XS,bucket_delta_b0,200,22118.0,14083.0,13567.0,9769.0,3611.0,262,190,220,132,70,0.0531,20449
ROBOT_DISHES,bucket_delta_b0,80,27272.0,6499.0,8389.0,4099.0,-555.0,552,140,79,117,40,0.0492,26072
SLEEP_POD_LAMB_WOOL,group_scaled,20,9704.0,8054.0,5686.0,8386.0,7637.0,366,538,444,826,850,0.0505,29639
SLEEP_POD_NYLON,group_offset,40,0.0,0.0,0.0,6928.0,10794.0,30,0,0,64,180,0.0504,29725
SLEEP_POD_POLYESTER,bucket_mean,40,3246.0,2450.0,6520.0,5936.0,9579.0,110,172,304,222,132,0.0513,29215
SNACKPACK_RASPBERRY,bucket_mean,200,1564.0,6860.0,9577.0,4978.0,6884.0,50,96,130,70,80,0.0648,13173
TRANSLATOR_ECLIPSE_CHARCOAL,group_scaled,160,5276.0,6237.0,4728.0,10271.0,10494.0,110,40,20,214,134,0.0527,22802
TRANSLATOR_GRAPHITE_MIST,group_scaled,120,2002.0,7207.0,13531.0,6331.0,16122.0,50,114,150,120,84,0.0462,25609
UV_VISOR_MAGENTA,group_offset,300,11105.0,0.0,2654.0,2094.0,373.0,80,10,20,32,30,0.0531,25225
UV_VISOR_ORANGE,group_scaled,200,8724.0,3819.0,507.0,5092.0,10829.0,122,56,20,50,40,0.0539,23539
UV_VISOR_RED,bucket_delta_b0,120,17220.0,2583.0,9433.0,4279.0,8696.0,162,150,182,85,139,0.0483,22930
