product,pub_base,est_base,base_err,pub_d1,est_d1,d1_err,pub_d2,est_d2,d2_err,pub_d3,est_d3,d3_err,pub_d4,est_d4,d4_err,max_abs_err
ROBOT_LAUNDRY,9903.5,9902.2667,-1.2333,-60.0,-109.5783,-49.5783,-68.5,8.4497,76.9497,24.6667,-30.932,-55.5987,-239.5,-195.2602,44.2398,76.9497
SLEEP_POD_NYLON,9529.0,9512.4533,-16.5467,-75.6667,36.5406,112.2073,79.5,142.6155,63.1155,218.5,257.4547,38.9547,242.0,238.9613,-3.0387,112.2073
SNACKPACK_PISTACHIO,9634.8333,9626.0167,-8.8166,-41.3333,-42.3603,-1.027,-22.5,-153.0895,-130.5895,-243.8333,-178.7574,65.0759,-298.1667,-256.5112,41.6555,130.5895
TRANSLATOR_SPACE_GRAY,9869.3333,9828.7233,-40.61,-297.5,-369.1053,-71.6053,-562.6667,-406.4164,156.2503,-472.8333,-559.5044,-86.6711,-519.6667,-458.8792,60.7875,156.2503
SNACKPACK_RASPBERRY,10120.3333,10125.3767,5.0434,2.5,-155.1873,-157.6873,-79.3333,-32.2794,47.0539,53.1667,-58.6318,-111.7985,103.1667,38.9877,-64.179,157.6873
ROBOT_VACUUMING,9550.5,9556.14,5.64,-255.3333,-351.5576,-96.2243,-440.0,-360.7274,79.2726,-322.8333,-488.7493,-165.916,-570.5,-530.5743,39.9257,165.916
GALAXY_SOUNDS_PLANETARY_RINGS,10888.3333,10915.14,26.8067,-155.1667,-346.1394,-190.9727,-291.6667,-170.655,121.0117,25.3333,-149.0863,-174.4196,-120.0,-5.3654,114.6346,190.9727
GALAXY_SOUNDS_SOLAR_FLAMES,10660.5,10641.9933,-18.5067,290.0,504.9383,214.9383,485.5,535.1497,49.6497,537.8333,640.7691,102.9358,277.3333,344.7532,67.4199,214.9383
MICROCHIP_CIRCLE,9140.8333,9156.7233,15.89,-154.1667,-127.8475,26.3192,-31.8333,23.6057,55.439,6.8333,228.1281,221.2948,127.3333,244.1756,116.8423,221.2948
MICROCHIP_TRIANGLE,9911.5,9883.4233,-28.0767,-84.5,-107.8019,-23.3019,-30.3333,-240.9152,-210.5819,-405.6667,-184.1609,221.5058,-693.3333,-472.7353,220.598,221.5058
ROBOT_DISHES,10015.6667,9999.43,-16.2367,-126.0,-93.6504,32.3496,-235.1667,-4.1682,230.9985,41.0,-0.1058,-41.1058,405.5,282.85,-122.65,230.9985
PEBBLES_S,9386.8333,9384.3,-2.5333,-189.1667,-263.7572,-74.5905,-214.3333,-453.3737,-239.0404,-458.5,-581.6385,-123.1385,-651.3333,-871.9179,-220.5846,239.0404
TRANSLATOR_VOID_BLUE,10596.3333,10600.72,4.3867,178.1667,125.3778,-52.7889,19.8333,229.1866,209.3533,214.1667,453.2073,239.0406,509.1667,371.5116,-137.6551,239.0406
SLEEP_POD_COTTON,11105.1667,11115.1667,10.0,265.3333,342.0683,76.735,277.3333,520.5183,243.185,463.3333,636.8798,173.5465,471.5,382.2173,-89.2827,243.185
SNACKPACK_CHOCOLATE,9921.3333,9917.1,-4.2333,-7.6667,-27.6552,-19.9885,21.5,-35.4885,-56.9885,36.1667,-217.0146,-253.1813,-113.6667,-113.5503,0.1164,253.1813
