family,group,product,kind,window,threshold,horizon,signal_n,min_day_active_edge,active_edge
product,PEBBLES,PEBBLES_XS,product_rolling,1000,3.0,500,302,162.625,249.92549668874173
group,PEBBLES,PEBBLES_XS,group_equal,1000,3.0,500,303,162.22680412371133,247.33828382838283
product,PEBBLES,PEBBLES_XL,product_rolling,500,3.0,200,376,160.77884615384616,194.96010638297872
group,PEBBLES,PEBBLES_XL,group_equal,500,3.0,200,375,160.77884615384616,193.34266666666667
group,PEBBLES,PEBBLES_XL,group_vol,500,3.0,200,377,155.32380952380953,192.24137931034485
group,PEBBLES,PEBBLES_XL,group_equal,200,2.5,500,1376,150.9836448598131,191.01453488372093
product,PEBBLES,PEBBLES_XL,product_rolling,200,2.5,500,1376,150.52797202797203,190.57013081395348
group,PEBBLES,PEBBLES_XL,group_vol,200,2.5,500,1375,149.54215456674473,190.3945454545455
group,PANEL,PANEL_2X4,group_equal,1000,3.0,500,279,148.0204081632653,226.37275985663084
group,PANEL,PANEL_2X4,group_vol,1000,3.0,500,265,143.9,218.41509433962264
group,MICROCHIP,MICROCHIP_TRIANGLE,group_vol,1000,2.5,500,1461,130.44568452380952,180.11259411362082
group,MICROCHIP,MICROCHIP_TRIANGLE,group_vol,1000,1.5,500,8305,129.9549822064057,170.62667068031303
product,MICROCHIP,MICROCHIP_TRIANGLE,product_rolling,1000,2.0,500,3535,126.55508145849495,156.54073550212163
group,MICROCHIP,MICROCHIP_TRIANGLE,group_equal,1000,2.5,500,1501,123.51474926253688,155.60526315789474
group,PEBBLES,PEBBLES_XL,group_vol,500,3.0,100,377,118.92931937172774,138.95623342175065
product,ROBOT,ROBOT_DISHES,product_rolling,1000,3.0,500,398,118.36309523809524,152.91331658291458
product,MICROCHIP,MICROCHIP_TRIANGLE,product_rolling,1000,1.0,500,14771,118.02775984506133,156.63208313587435
product,MICROCHIP,MICROCHIP_TRIANGLE,product_rolling,1000,1.5,500,8181,117.874415639609,158.64515340422932
