product,baseline,simple_mr_skew_all50,pure_inside_all50,pure_touch_all50,base_touch_selected,base_touch_target_select,base_touch_target_select_no_space,touch_minus_inside,v3_minus_baseline
GALAXY_SOUNDS_BLACK_HOLES,14942,17309,14942,16453,16453,16453,16453,1511,1511
GALAXY_SOUNDS_DARK_MATTER,7558,22065,7558,9067,9067,9067,9067,1509,1509
GALAXY_SOUNDS_PLANETARY_RINGS,18164,12733,18164,19672,19672,19672,19672,1508,1508
GALAXY_SOUNDS_SOLAR_FLAMES,9130,31176,-8237,-6727,9130,9130,9130,1510,0
GALAXY_SOUNDS_SOLAR_WINDS,8719,19100,8719,10230,10230,10230,10230,1511,1511
MICROCHIP_CIRCLE,10381,22537,10381,11370,11370,11370,11370,989,989
MICROCHIP_OVAL,10675,-38271,10675,11664,11664,11664,11664,989,989
MICROCHIP_RECTANGLE,39296,-26556,4675,5665,39296,39296,39296,990,0
MICROCHIP_SQUARE,8704,-75972,8704,9694,9694,9694,9694,990,990
MICROCHIP_TRIANGLE,12214,-65376,12214,13203,13203,13203,13203,989,989
OXYGEN_SHAKE_CHOCOLATE,23573,-28301,23573,25083,25083,25083,25083,1510,1510
OXYGEN_SHAKE_EVENING_BREATH,20865,-7933,20865,22375,22375,22375,22375,1510,1510
OXYGEN_SHAKE_GARLIC,9400,-47608,9400,10911,10911,10911,10911,1511,1511
OXYGEN_SHAKE_MINT,0,-53518,-558,952,0,0,0,1510,0
OXYGEN_SHAKE_MORNING_BREATH,13710,-13796,13710,15221,15221,15221,15221,1511,1511
PANEL_1X2,0,-42190,-18751,-17240,0,0,0,1511,0
PANEL_1X4,29687,-66406,29687,31196,31196,31196,31196,1509,1509
PANEL_2X2,3889,-39516,7142,8652,3889,8652,8652,1510,4763
PANEL_2X4,18156,-49940,18156,19665,19665,19665,19665,1509,1509
PANEL_4X4,0,-38741,-4730,-3218,0,0,0,1512,0
PEBBLES_L,3525,-38197,3525,5508,5508,5508,5508,1983,1983
PEBBLES_M,0,-33293,-19344,-17361,0,0,0,1983,0
PEBBLES_S,29979,-86414,46526,48509,29979,48509,48509,1983,18530
PEBBLES_XL,24868,-6258,24868,26850,26850,26850,26850,1982,1982
PEBBLES_XS,0,-10907,-1587,397,0,0,0,1984,0
ROBOT_DISHES,15369,66404,15369,16880,16880,16880,16880,1511,1511
ROBOT_IRONING,3031,-14434,14728,16238,3031,16238,16238,1510,13207
ROBOT_LAUNDRY,6187,-30598,6187,7697,7697,7697,7697,1510,1510
ROBOT_MOPPING,0,-35301,-17606,-16097,0,0,0,1509,0
ROBOT_VACUUMING,0,-21586,-3186,-1551,0,0,0,1635,0
SLEEP_POD_COTTON,8004,-68850,8004,9514,9514,9514,9514,1510,1510
SLEEP_POD_LAMB_WOOL,0,-79492,-23920,-22411,0,0,0,1509,0
SLEEP_POD_NYLON,13187,-29736,13187,14697,14697,14697,14697,1510,1510
SLEEP_POD_POLYESTER,17173,-21342,10426,11936,17173,17173,17173,1510,0
SLEEP_POD_SUEDE,14220,-39204,14220,15731,15731,15731,15731,1511,1511
SNACKPACK_CHOCOLATE,19062,-12081,19062,20573,20573,20573,20573,1511,1511
SNACKPACK_PISTACHIO,10995,4443,10995,12505,12505,12505,12505,1510,1510
SNACKPACK_RASPBERRY,15396,-9979,15396,16908,16908,16908,16908,1512,1512
SNACKPACK_STRAWBERRY,3623,-20724,7221,8730,3623,8730,8730,1509,5107
SNACKPACK_VANILLA,2772,-9283,2772,4283,4283,4283,4283,1511,1511
TRANSLATOR_ASTRO_BLACK,8294,-28506,8294,9803,9803,9803,9803,1509,1509
TRANSLATOR_ECLIPSE_CHARCOAL,8421,-31146,8421,9933,9933,9933,9933,1512,1512
TRANSLATOR_GRAPHITE_MIST,0,-10871,-1349,160,0,0,0,1509,0
TRANSLATOR_SPACE_GRAY,-5722,-39552,-5722,-4212,-4212,-4212,0,1510,5722
TRANSLATOR_VOID_BLUE,17971,-18664,16563,18072,17971,17971,17971,1509,0
UV_VISOR_AMBER,18584,-27045,18584,20094,20094,20094,20094,1510,1510
UV_VISOR_MAGENTA,8712,-6925,-8550,-7042,8712,8712,8712,1508,0
UV_VISOR_ORANGE,14997,-39558,14997,16507,16507,16507,16507,1510,1510
UV_VISOR_RED,9799,-55055,9799,11308,11308,11308,11308,1509,1509
UV_VISOR_YELLOW,7244,-15842,7244,8755,8755,8755,8755,1511,1511
