product,drop_total,mm_contribution,drop_day2,contrib_day2,drop_day3,contrib_day3,drop_day4,contrib_day4,status
PEBBLES_S,1300969,48509,420213,20129,396172,5188,484584,23192,ok
MICROCHIP_OVAL,1306132,43346,434724,5618,382538,18822,488870,18906,ok
OXYGEN_SHAKE_GARLIC,1307873,41605,419935,20407,401580,-220,486358,21418,ok
GALAXY_SOUNDS_BLACK_HOLES,1310889,38589,423853,16489,394970,6390,492066,15710,ok
MICROCHIP_SQUARE,1313181,36297,416081,24261,368488,32872,528612,-20836,ok
PANEL_1X4,1318282,31196,423517,16825,396522,4838,498243,9533,ok
GALAXY_SOUNDS_PLANETARY_RINGS,1319833,29645,417047,23295,401750,-390,501036,6740,ok
UV_VISOR_AMBER,1323729,25749,426409,13933,391184,10176,506136,1640,ok
UV_VISOR_ORANGE,1323912,25566,435004,5338,396372,4988,492536,15240,ok
OXYGEN_SHAKE_CHOCOLATE,1324394,25084,431028,9314,390926,10434,502440,5336,ok
ROBOT_IRONING,1325078,24400,435492,4850,380810,20550,508776,-1000,ok
PANEL_2X4,1325944,23534,435568,4774,395240,6120,495136,12640,ok
OXYGEN_SHAKE_EVENING_BREATH,1327103,22375,438225,2117,393478,7882,495400,12376,ok
OXYGEN_SHAKE_MORNING_BREATH,1329546,19932,431974,8368,393202,8158,504370,3406,ok
SLEEP_POD_SUEDE,1331472,18006,430278,10064,390164,11196,511030,-3254,ok
UV_VISOR_RED,1332776,16702,432760,7582,397672,3688,502344,5432,ok
SLEEP_POD_NYLON,1334781,14697,438151,2191,394144,7216,502486,5290,ok
MICROCHIP_CIRCLE,1336319,13159,440853,-511,399634,1726,495832,11944,ok
ROBOT_LAUNDRY,1341911,7567,434552,5790,401544,-184,505815,1961,ok
