case,kind,product,param,match_mode,day2,day3,day4,total,delta,min_day,status,error
baseline,baseline,,,default,440342,401360,507776,1349478,0,401360,ok,
bid_on__ROBOT_IRONING,bid_on,ROBOT_IRONING,,default,449624,388190,509828,1347642,-1836,388190,ok,
ask_on__SLEEP_POD_SUEDE,ask_on,SLEEP_POD_SUEDE,,default,445300,396716,505186,1347202,-2276,396716,ok,
ask_on__UV_VISOR_RED,ask_on,UV_VISOR_RED,,default,434441,406720,502924,1344085,-5393,406720,ok,
bid_on__UV_VISOR_AMBER,bid_on,UV_VISOR_AMBER,,default,435005,391164,517654,1343823,-5655,391164,ok,
ask_on__PANEL_2X4,ask_on,PANEL_2X4,,default,434884,399630,503888,1338402,-11076,399630,ok,
ask_on__GALAXY_SOUNDS_BLACK_HOLES,ask_on,GALAXY_SOUNDS_BLACK_HOLES,,default,417968,401678,507695,1327341,-22137,401678,ok,
ask_on__MICROCHIP_SQUARE,ask_on,MICROCHIP_SQUARE,,default,417856,367870,537148,1322874,-26604,367870,ok,
bid_on__MICROCHIP_OVAL,bid_on,MICROCHIP_OVAL,,default,439663,387886,490248,1317797,-31681,387886,ok,
ask_on__OXYGEN_SHAKE_GARLIC,ask_on,OXYGEN_SHAKE_GARLIC,,default,415196,402254,496464,1313914,-35564,402254,ok,
