case,kind,product,param,match_mode,day2,day3,day4,total,delta,min_day,status,error
baseline,baseline,,,default,440342,401360,507776,1349478,0,401360,ok,
size_2__OXYGEN_SHAKE_GARLIC,size,OXYGEN_SHAKE_GARLIC,2,default,440299,400376,507992,1348667,-811,400376,ok,
size_5__OXYGEN_SHAKE_GARLIC,size,OXYGEN_SHAKE_GARLIC,5,default,439556,400262,507746,1347564,-1914,400262,ok,
size_10__OXYGEN_SHAKE_GARLIC,size,OXYGEN_SHAKE_GARLIC,10,default,439556,400262,507746,1347564,-1914,400262,ok,
size_2__GALAXY_SOUNDS_PLANETARY_RINGS,size,GALAXY_SOUNDS_PLANETARY_RINGS,2,default,439217,400339,499173,1338729,-10749,400339,ok,
size_5__GALAXY_SOUNDS_PLANETARY_RINGS,size,GALAXY_SOUNDS_PLANETARY_RINGS,5,default,440747,404164,494594,1339505,-9973,404164,ok,
size_10__GALAXY_SOUNDS_PLANETARY_RINGS,size,GALAXY_SOUNDS_PLANETARY_RINGS,10,default,440747,404164,494594,1339505,-9973,404164,ok,
size_2__MICROCHIP_CIRCLE,size,MICROCHIP_CIRCLE,2,default,440578,400258,508442,1349278,-200,400258,ok,
size_5__MICROCHIP_CIRCLE,size,MICROCHIP_CIRCLE,5,default,441376,398772,507540,1347688,-1790,398772,ok,
size_10__MICROCHIP_CIRCLE,size,MICROCHIP_CIRCLE,10,default,441376,398772,507540,1347688,-1790,398772,ok,
size_2__PANEL_2X4,size,PANEL_2X4,2,default,439930,401540,507226,1348696,-782,401540,ok,
size_5__PANEL_2X4,size,PANEL_2X4,5,default,440380,401542,506376,1348298,-1180,401542,ok,
size_10__PANEL_2X4,size,PANEL_2X4,10,default,440380,401542,506376,1348298,-1180,401542,ok,
size_2__ROBOT_IRONING,size,ROBOT_IRONING,2,default,440362,401800,507266,1349428,-50,401800,ok,
size_5__ROBOT_IRONING,size,ROBOT_IRONING,5,default,440162,401730,506726,1348618,-860,401730,ok,
size_10__ROBOT_IRONING,size,ROBOT_IRONING,10,default,440162,401730,506726,1348618,-860,401730,ok,
