case,day,product,pnl
top5_sizes,2,GALAXY_SOUNDS_BLACK_HOLES,16489
top5_sizes,2,GALAXY_SOUNDS_DARK_MATTER,5538
top5_sizes,2,GALAXY_SOUNDS_PLANETARY_RINGS,23295
top5_sizes,2,GALAXY_SOUNDS_SOLAR_FLAMES,18066
top5_sizes,2,GALAXY_SOUNDS_SOLAR_WINDS,965
top5_sizes,2,MICROCHIP_CIRCLE,-511
top5_sizes,2,MICROCHIP_OVAL,5618
top5_sizes,2,MICROCHIP_RECTANGLE,16141
top5_sizes,2,MICROCHIP_SQUARE,24261
top5_sizes,2,MICROCHIP_TRIANGLE,6325
top5_sizes,2,OXYGEN_SHAKE_CHOCOLATE,9314
top5_sizes,2,OXYGEN_SHAKE_EVENING_BREATH,2117
top5_sizes,2,OXYGEN_SHAKE_GARLIC,20407
top5_sizes,2,OXYGEN_SHAKE_MINT,0
top5_sizes,2,OXYGEN_SHAKE_MORNING_BREATH,8368
top5_sizes,2,PANEL_1X2,0
top5_sizes,2,PANEL_1X4,16825
top5_sizes,2,PANEL_2X2,7060
top5_sizes,2,PANEL_2X4,4812
top5_sizes,2,PANEL_4X4,0
top5_sizes,2,PEBBLES_L,20786
top5_sizes,2,PEBBLES_M,0
top5_sizes,2,PEBBLES_S,20129
top5_sizes,2,PEBBLES_XL,19620
top5_sizes,2,PEBBLES_XS,9650
top5_sizes,2,ROBOT_DISHES,8067
top5_sizes,2,ROBOT_IRONING,4670
top5_sizes,2,ROBOT_LAUNDRY,6149
top5_sizes,2,ROBOT_MOPPING,4728
top5_sizes,2,ROBOT_VACUUMING,-1758
top5_sizes,2,SLEEP_POD_COTTON,13278
top5_sizes,2,SLEEP_POD_LAMB_WOOL,7141
top5_sizes,2,SLEEP_POD_NYLON,2191
top5_sizes,2,SLEEP_POD_POLYESTER,17615
top5_sizes,2,SLEEP_POD_SUEDE,10064
top5_sizes,2,SNACKPACK_CHOCOLATE,4884
top5_sizes,2,SNACKPACK_PISTACHIO,7750
top5_sizes,2,SNACKPACK_RASPBERRY,13450
top5_sizes,2,SNACKPACK_STRAWBERRY,2606
top5_sizes,2,SNACKPACK_VANILLA,6080
top5_sizes,2,TRANSLATOR_ASTRO_BLACK,-1136
top5_sizes,2,TRANSLATOR_ECLIPSE_CHARCOAL,-2587
top5_sizes,2,TRANSLATOR_GRAPHITE_MIST,226
top5_sizes,2,TRANSLATOR_SPACE_GRAY,0
top5_sizes,2,TRANSLATOR_VOID_BLUE,5339
top5_sizes,2,UV_VISOR_AMBER,13933
top5_sizes,2,UV_VISOR_MAGENTA,17813
top5_sizes,2,UV_VISOR_ORANGE,5338
top5_sizes,2,UV_VISOR_RED,7582
top5_sizes,2,UV_VISOR_YELLOW,4356
top5_sizes,3,GALAXY_SOUNDS_BLACK_HOLES,6391
top5_sizes,3,GALAXY_SOUNDS_DARK_MATTER,1162
top5_sizes,3,GALAXY_SOUNDS_PLANETARY_RINGS,-389
top5_sizes,3,GALAXY_SOUNDS_SOLAR_FLAMES,9240
top5_sizes,3,GALAXY_SOUNDS_SOLAR_WINDS,13780
top5_sizes,3,MICROCHIP_CIRCLE,1727
top5_sizes,3,MICROCHIP_OVAL,18822
top5_sizes,3,MICROCHIP_RECTANGLE,3904
top5_sizes,3,MICROCHIP_SQUARE,32872
top5_sizes,3,MICROCHIP_TRIANGLE,10233
top5_sizes,3,OXYGEN_SHAKE_CHOCOLATE,10434
top5_sizes,3,OXYGEN_SHAKE_EVENING_BREATH,7882
top5_sizes,3,OXYGEN_SHAKE_GARLIC,-219
top5_sizes,3,OXYGEN_SHAKE_MINT,0
top5_sizes,3,OXYGEN_SHAKE_MORNING_BREATH,8159
top5_sizes,3,PANEL_1X2,0
top5_sizes,3,PANEL_1X4,4839
top5_sizes,3,PANEL_2X2,5525
top5_sizes,3,PANEL_2X4,6302
top5_sizes,3,PANEL_4X4,0
top5_sizes,3,PEBBLES_L,3870
top5_sizes,3,PEBBLES_M,0
top5_sizes,3,PEBBLES_S,5188
top5_sizes,3,PEBBLES_XL,38715
top5_sizes,3,PEBBLES_XS,9490
top5_sizes,3,ROBOT_DISHES,10932
top5_sizes,3,ROBOT_IRONING,20920
top5_sizes,3,ROBOT_LAUNDRY,4835
top5_sizes,3,ROBOT_MOPPING,-4805
top5_sizes,3,ROBOT_VACUUMING,13873
top5_sizes,3,SLEEP_POD_COTTON,10402
top5_sizes,3,SLEEP_POD_LAMB_WOOL,6585
top5_sizes,3,SLEEP_POD_NYLON,7216
top5_sizes,3,SLEEP_POD_POLYESTER,-238
top5_sizes,3,SLEEP_POD_SUEDE,11197
top5_sizes,3,SNACKPACK_CHOCOLATE,9670
top5_sizes,3,SNACKPACK_PISTACHIO,6570
top5_sizes,3,SNACKPACK_RASPBERRY,10530
top5_sizes,3,SNACKPACK_STRAWBERRY,2710
top5_sizes,3,SNACKPACK_VANILLA,7334
top5_sizes,3,TRANSLATOR_ASTRO_BLACK,8967
top5_sizes,3,TRANSLATOR_ECLIPSE_CHARCOAL,13679
top5_sizes,3,TRANSLATOR_GRAPHITE_MIST,3246
top5_sizes,3,TRANSLATOR_SPACE_GRAY,0
top5_sizes,3,TRANSLATOR_VOID_BLUE,6956
top5_sizes,3,UV_VISOR_AMBER,10176
top5_sizes,3,UV_VISOR_MAGENTA,10135
top5_sizes,3,UV_VISOR_ORANGE,4989
top5_sizes,3,UV_VISOR_RED,3688
top5_sizes,3,UV_VISOR_YELLOW,8065
top5_sizes,4,GALAXY_SOUNDS_BLACK_HOLES,15710
top5_sizes,4,GALAXY_SOUNDS_DARK_MATTER,17479
top5_sizes,4,GALAXY_SOUNDS_PLANETARY_RINGS,6740
top5_sizes,4,GALAXY_SOUNDS_SOLAR_FLAMES,16360
top5_sizes,4,GALAXY_SOUNDS_SOLAR_WINDS,11785
top5_sizes,4,MICROCHIP_CIRCLE,11944
top5_sizes,4,MICROCHIP_OVAL,18905
top5_sizes,4,MICROCHIP_RECTANGLE,19251
top5_sizes,4,MICROCHIP_SQUARE,-20836
top5_sizes,4,MICROCHIP_TRIANGLE,14252
top5_sizes,4,OXYGEN_SHAKE_CHOCOLATE,5335
top5_sizes,4,OXYGEN_SHAKE_EVENING_BREATH,12376
top5_sizes,4,OXYGEN_SHAKE_GARLIC,21417
top5_sizes,4,OXYGEN_SHAKE_MINT,0
top5_sizes,4,OXYGEN_SHAKE_MORNING_BREATH,3406
top5_sizes,4,PANEL_1X2,0
top5_sizes,4,PANEL_1X4,9532
top5_sizes,4,PANEL_2X2,1919
top5_sizes,4,PANEL_2X4,11239
top5_sizes,4,PANEL_4X4,0
top5_sizes,4,PEBBLES_L,1635
top5_sizes,4,PEBBLES_M,0
top5_sizes,4,PEBBLES_S,23192
top5_sizes,4,PEBBLES_XL,68520
top5_sizes,4,PEBBLES_XS,12280
top5_sizes,4,ROBOT_DISHES,-2119
top5_sizes,4,ROBOT_IRONING,-2050
top5_sizes,4,ROBOT_LAUNDRY,3695
top5_sizes,4,ROBOT_MOPPING,7796
top5_sizes,4,ROBOT_VACUUMING,-3122
top5_sizes,4,SLEEP_POD_COTTON,8535
top5_sizes,4,SLEEP_POD_LAMB_WOOL,19185
top5_sizes,4,SLEEP_POD_NYLON,5290
top5_sizes,4,SLEEP_POD_POLYESTER,6254
top5_sizes,4,SLEEP_POD_SUEDE,-3255
top5_sizes,4,SNACKPACK_CHOCOLATE,6019
top5_sizes,4,SNACKPACK_PISTACHIO,762
top5_sizes,4,SNACKPACK_RASPBERRY,10055
top5_sizes,4,SNACKPACK_STRAWBERRY,3414
top5_sizes,4,SNACKPACK_VANILLA,7290
top5_sizes,4,TRANSLATOR_ASTRO_BLACK,2997
top5_sizes,4,TRANSLATOR_ECLIPSE_CHARCOAL,13841
top5_sizes,4,TRANSLATOR_GRAPHITE_MIST,18999
top5_sizes,4,TRANSLATOR_SPACE_GRAY,0
top5_sizes,4,TRANSLATOR_VOID_BLUE,5676
top5_sizes,4,UV_VISOR_AMBER,1640
top5_sizes,4,UV_VISOR_MAGENTA,5665
top5_sizes,4,UV_VISOR_ORANGE,15240
top5_sizes,4,UV_VISOR_RED,5432
top5_sizes,4,UV_VISOR_YELLOW,5360
top3_sizes,2,GALAXY_SOUNDS_BLACK_HOLES,16489
top3_sizes,2,GALAXY_SOUNDS_DARK_MATTER,5538
top3_sizes,2,GALAXY_SOUNDS_PLANETARY_RINGS,23295
top3_sizes,2,GALAXY_SOUNDS_SOLAR_FLAMES,18066
top3_sizes,2,GALAXY_SOUNDS_SOLAR_WINDS,965
top3_sizes,2,MICROCHIP_CIRCLE,523
top3_sizes,2,MICROCHIP_OVAL,5618
top3_sizes,2,MICROCHIP_RECTANGLE,16141
top3_sizes,2,MICROCHIP_SQUARE,24261
