group,target,total_pnl,trades,d2_pnl,d3_pnl,d4_pnl,min_day_pnl,resid_sd
MICROCHIP,MICROCHIP_SQUARE,4953.0,9,2487.0,1503.0,963.0,963.0,723.1926873838727
MICROCHIP,MICROCHIP_RECTANGLE,4652.0,13,1526.0,1154.0,1712.0,1154.0,329.6256830600202
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,4466.0,7,2083.0,1282.0,1101.0,1101.0,423.1705719697622
SLEEP_POD,SLEEP_POD_LAMB_WOOL,4178.0,9,1823.0,1160.0,742.0,742.0,348.68115581375207
PANEL,PANEL_2X4,3725.0,8,1577.0,217.0,1931.0,217.0,407.64532302307913
UV_VISOR,UV_VISOR_RED,3664.0,8,1014.0,1970.0,680.0,680.0,337.30365330408557
MICROCHIP,MICROCHIP_TRIANGLE,3582.0,10,681.0,2598.0,666.0,666.0,313.2358208437501
ROBOT,ROBOT_IRONING,3561.0,8,862.0,1343.0,1356.0,862.0,369.0771501834655
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,3361.0,10,1403.0,1211.0,747.0,747.0,305.0593633046703
SLEEP_POD,SLEEP_POD_COTTON,3339.0,10,1446.0,555.0,747.0,555.0,404.94185933066456
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3297.0,8,481.0,941.0,1855.0,481.0,297.03489407555173
MICROCHIP,MICROCHIP_CIRCLE,2987.0,6,1095.0,912.0,1010.0,912.0,357.13471576722554
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,2915.0,8,987.0,974.0,1304.0,974.0,303.6627648969344
SLEEP_POD,SLEEP_POD_POLYESTER,2824.0,11,1010.0,561.0,1353.0,561.0,327.3066485115772
ROBOT,ROBOT_LAUNDRY,2813.0,7,527.0,1449.0,837.0,527.0,319.6324369524613
MICROCHIP,MICROCHIP_OVAL,2797.0,16,1129.0,1183.0,373.0,373.0,442.68425481122904
PANEL,PANEL_1X2,2788.0,5,2014.0,232.0,542.0,232.0,487.364895946429
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2720.0,4,1308.0,1009.0,403.0,403.0,846.6967571945423
ROBOT,ROBOT_VACUUMING,2537.0,10,1373.0,733.0,601.0,601.0,254.59279772513867
TRANSLATOR,TRANSLATOR_VOID_BLUE,2492.0,10,786.0,566.0,1159.0,566.0,329.1562069293615
UV_VISOR,UV_VISOR_MAGENTA,2491.0,9,1078.0,465.0,1085.0,465.0,264.0833293041973
UV_VISOR,UV_VISOR_YELLOW,2432.0,6,313.0,570.0,1685.0,313.0,510.1745610915147
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,2363.0,6,512.0,978.0,903.0,512.0,452.2591508392647
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,2247.0,5,707.0,352.0,1188.0,352.0,442.06984309591326
