case,group,method,target,anchor,window,entry_z,total,day2,day3,day4,worst_day,positive_days,trades
ols__MICROCHIP_OVAL__MICROCHIP_TRIANGLE__w1000__z3.0,MICROCHIP,ols,MICROCHIP_OVAL,MICROCHIP_TRIANGLE,1000,3.0,20390.0,8230.0,5120.0,7040.0,5120.0,3,22
ols__MICROCHIP_TRIANGLE__MICROCHIP_SQUARE__w1000__z2.5,MICROCHIP,ols,MICROCHIP_TRIANGLE,MICROCHIP_SQUARE,1000,2.5,20690.0,5070.0,4750.0,10870.0,4750.0,3,38
ols__ROBOT_LAUNDRY__ROBOT_IRONING__w1000__z2.5,ROBOT,ols,ROBOT_LAUNDRY,ROBOT_IRONING,1000,2.5,14030.0,5330.0,4760.0,3940.0,3940.0,3,36
ols__SNACKPACK_STRAWBERRY__SNACKPACK_CHOCOLATE__w2000__z2.5,SNACKPACK,ols,SNACKPACK_STRAWBERRY,SNACKPACK_CHOCOLATE,2000,2.5,12330.0,4310.0,3560.0,4460.0,3560.0,3,22
ols__MICROCHIP_OVAL__MICROCHIP_TRIANGLE__w1000__z2.5,MICROCHIP,ols,MICROCHIP_OVAL,MICROCHIP_TRIANGLE,1000,2.5,19280.0,10360.0,3520.0,5400.0,3520.0,3,40
ols__ROBOT_DISHES__ROBOT_LAUNDRY__w1000__z3.0,ROBOT,ols,ROBOT_DISHES,ROBOT_LAUNDRY,1000,3.0,12450.0,3830.0,3180.0,5440.0,3180.0,3,23
ols__SLEEP_POD_POLYESTER__SLEEP_POD_LAMB_WOOL__w1000__z3.0,SLEEP_POD,ols,SLEEP_POD_POLYESTER,SLEEP_POD_LAMB_WOOL,1000,3.0,11105.0,4010.0,3050.0,4045.0,3050.0,3,20
ols__MICROCHIP_RECTANGLE__MICROCHIP_OVAL__w500__z3.0,MICROCHIP,ols,MICROCHIP_RECTANGLE,MICROCHIP_OVAL,500,3.0,12835.0,3005.0,6690.0,3140.0,3005.0,3,50
ols__SLEEP_POD_NYLON__SLEEP_POD_LAMB_WOOL__w1000__z3.0,SLEEP_POD,ols,SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,1000,3.0,10295.0,2900.0,3065.0,4330.0,2900.0,3,22
tls__ROBOT_VACUUMING__ROBOT_MOPPING__w1000__z2.5,ROBOT,tls,ROBOT_VACUUMING,ROBOT_MOPPING,1000,2.5,15240.0,2880.0,5420.0,6940.0,2880.0,3,49
ols__ROBOT_DISHES__ROBOT_VACUUMING__w2000__z2.5,ROBOT,ols,ROBOT_DISHES,ROBOT_VACUUMING,2000,2.5,14420.0,7950.0,2870.0,3600.0,2870.0,3,15
tls__SLEEP_POD_NYLON__SLEEP_POD_LAMB_WOOL__w2000__z2.5,SLEEP_POD,tls,SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,2000,2.5,11450.0,2680.0,5475.0,3295.0,2680.0,3,30
tls__ROBOT_LAUNDRY__ROBOT_MOPPING__w2000__z2.5,ROBOT,tls,ROBOT_LAUNDRY,ROBOT_MOPPING,2000,2.5,23325.0,5730.0,2670.0,14925.0,2670.0,3,23
ols__ROBOT_VACUUMING__ROBOT_MOPPING__w1000__z2.5,ROBOT,ols,ROBOT_VACUUMING,ROBOT_MOPPING,1000,2.5,18540.0,2580.0,5270.0,10690.0,2580.0,3,42
ols__ROBOT_LAUNDRY__ROBOT_IRONING__w500__z3.0,ROBOT,ols,ROBOT_LAUNDRY,ROBOT_IRONING,500,3.0,13990.0,2550.0,8490.0,2950.0,2550.0,3,46
tls__ROBOT_LAUNDRY__ROBOT_MOPPING__w2000__z3.0,ROBOT,tls,ROBOT_LAUNDRY,ROBOT_MOPPING,2000,3.0,14010.0,2530.0,3600.0,7880.0,2530.0,3,13
ols__SNACKPACK_STRAWBERRY__SNACKPACK_CHOCOLATE__w2000__z3.0,SNACKPACK,ols,SNACKPACK_STRAWBERRY,SNACKPACK_CHOCOLATE,2000,3.0,8880.0,3120.0,2500.0,3260.0,2500.0,3,11
ols__GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_SOLAR_FLAMES__w2000__z2.5,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,2000,2.5,9755.0,4770.0,2530.0,2455.0,2455.0,3,14
ols__MICROCHIP_OVAL__MICROCHIP_RECTANGLE__w2000__z3.0,MICROCHIP,ols,MICROCHIP_OVAL,MICROCHIP_RECTANGLE,2000,3.0,9390.0,2920.0,4040.0,2430.0,2430.0,3,8
ols__ROBOT_LAUNDRY__ROBOT_VACUUMING__w2000__z2.5,ROBOT,ols,ROBOT_LAUNDRY,ROBOT_VACUUMING,2000,2.5,14970.0,2410.0,6920.0,5640.0,2410.0,3,21
tls__ROBOT_VACUUMING__ROBOT_LAUNDRY__w1000__z3.0,ROBOT,tls,ROBOT_VACUUMING,ROBOT_LAUNDRY,1000,3.0,8860.0,2360.0,3260.0,3240.0,2360.0,3,24
ols__SLEEP_POD_POLYESTER__SLEEP_POD_LAMB_WOOL__w1000__z2.5,SLEEP_POD,ols,SLEEP_POD_POLYESTER,SLEEP_POD_LAMB_WOOL,1000,2.5,16030.0,2350.0,8945.0,4735.0,2350.0,3,35
tls__MICROCHIP_CIRCLE__MICROCHIP_SQUARE__w1000__z2.5,MICROCHIP,tls,MICROCHIP_CIRCLE,MICROCHIP_SQUARE,1000,2.5,9490.0,2880.0,4450.0,2160.0,2160.0,3,45
