entry_edge,exit_edge,limit,day2,day3,day4,total,min_day
10,5,3,88156,31761,-19439,100478,-19439
20,5,3,104121,47618,-8997,142742,-8997
40,5,3,115615,64458,676,180749,676
80,5,3,127649,75486,3170,206305,3170
120,5,3,129700,81868,3630,215198,3630
200,5,3,131282,85328,7066,223676,7066
10,5,5,147082,52969,-32267,167784,-32267
20,5,5,173773,79238,-14997,238014,-14997
40,5,5,192615,107092,1059,300766,1059
80,5,5,212688,125544,5064,343296,5064
120,5,5,216093,136346,5672,358111,5672
200,5,5,218862,141888,11490,372240,11490
10,5,10,297334,108330,-60553,345111,-60553
20,5,10,347896,158886,-28403,478379,-28403
40,5,10,382616,215373,3160,601149,3160
80,5,10,423208,253382,9118,685708,9118
120,5,10,433610,272866,11431,717907,11431
200,5,10,434069,284250,23686,742005,23686
