group,basket_sum_avg_path,basket_mean_avg_path,basket_sum_max_abs,basket_mean_max_abs,basket_sum_cross_day_corr,basket_mean_cross_day_corr,basket_sum_sign_consistency,basket_mean_sign_consistency,basket_sum_max_over_avg_spread,basket_mean_max_over_avg_spread
PEBBLES,0.0000|0.0103|-0.1336|-0.0427|-0.0269,0.0000|0.0021|-0.0267|-0.0085|-0.0054,0.1336,0.0267,0.694671,0.694671,0.666667,0.666667,0.0104,0.0021
GALAXY_SOUNDS,0.0000|412.0804|538.0182|1162.5765|1547.9528,0.0000|82.4161|107.6036|232.5153|309.5906,1547.9528,309.5906,0.527907,0.527907,0.733333,0.733333,112.7811,22.5562
TRANSLATOR,0.0000|-719.8543|-991.5741|-969.2857|-984.8762,0.0000|-143.9709|-198.3148|-193.8571|-196.9752,991.5741,198.3148,0.175896,0.175896,0.8,0.8,112.9207,22.5841
SLEEP_POD,0.0000|794.3234|1244.4535|1389.2000|1913.4700,0.0000|158.8647|248.8907|277.8400|382.6940,1913.47,382.694,-0.110706,-0.110706,0.733333,0.733333,198.2454,39.6491
MICROCHIP,0.0000|223.4290|87.3256|-233.1501|-488.6208,0.0000|44.6858|17.4651|-46.6300|-97.7242,488.6208,97.7242,-0.153543,-0.153543,0.466667,0.466667,55.5858,11.1172
OXYGEN_SHAKE,0.0000|-38.3042|-12.0299|442.7738|785.3237,0.0000|-7.6608|-2.4060|88.5548|157.0647,785.3237,157.0647,-0.196189,-0.196189,0.466667,0.466667,60.8995,12.1799
SNACKPACK,0.0000|72.4915|-12.1553|87.7120|68.6032,0.0000|14.4983|-2.4311|17.5424|13.7206,87.712,17.5424,-0.307501,-0.307501,0.6,0.6,5.225,1.045
PANEL,0.0000|140.0053|-225.4672|225.9023|629.3241,0.0000|28.0011|-45.0934|45.1805|125.8648,629.3241,125.8648,-0.3157,-0.3157,0.533333,0.533333,66.9596,13.3919
UV_VISOR,0.0000|126.9046|39.0570|-166.4133|-186.2923,0.0000|25.3809|7.8114|-33.2826|-37.2585,186.2923,37.2585,-0.380222,-0.380222,0.533333,0.533333,14.1892,2.8378
ROBOT,0.0000|-212.1005|-61.6317|-89.5640|-205.4082,0.0000|-42.4201|-12.3263|-17.9128|-41.0816,212.1005,42.4201,-0.412641,-0.412641,0.533333,0.533333,29.7624,5.9525
