product,group,best_path_type,best_threshold,folds_positive,total_pnl,worst_day_pnl,best_day_pnl,total_trades,all_3_fold_configs_count,any_pos_fold_configs_count,no_3_fold_config,stab_method,stab_cross_day_corr,stab_sign_consistency,stab_same_sign_buckets,stab_max_abs_avg_delta,stab_max_delta_over_spread,stab_max_delta_over_realized_vol,stab_one_day_overfit_score,stab_b0_cross_day_corr,stab_b0_sign_consistency,stab_b0_same_sign_buckets,stab_b0_max_abs_avg_delta,coverage_label,free_alpha_pooled_delta_corr,free_alpha_pooled_mae,free_alpha_d2_delta_corr,free_alpha_d3_delta_corr,free_alpha_d4_delta_corr,v7_owner_label,v7_overlap_likely,in_free_alpha_table,score
MICROCHIP_SQUARE,MICROCHIP,group_scaled,300,3,58649.0,14121.0,24506.0,256,7,21,False,prev_bucket,0.368134,0.666667,1,736.7014,61.3918,35.8646,0.573874,-0.090633,0.6,1,1180.1451,table_only,0.620936,402.6564,0.690887,0.836462,-0.881117,mm_ask_off,True,True,3013667.835
PEBBLES_XS,PEBBLES,bucket_delta_b0,200,3,49738.0,13937.0,20438.0,874,6,28,False,bucket0,0.87608,0.8,4,1415.5773,157.2864,94.047,0.821258,0.87608,0.8,4,1415.5773,table_only,0.827315,388.7603,0.895922,0.815968,0.631155,mr,True,True,3018317.4
UV_VISOR_RED,UV_VISOR,bucket_delta_b0,120,3,41115.4,13271.0,13956.0,718,7,28,False,bucket0,-0.03008,0.733333,3,316.3363,22.5955,28.7139,0.657676,-0.03008,0.733333,3,316.3363,table_only,0.521086,174.1225,0.130713,-0.019059,0.878456,mm_ask_off,True,True,3013120.6
ROBOT_DISHES,ROBOT,bucket_delta_b0,80,3,44785.0,11121.0,18652.0,928,4,28,False,group,0.200793,0.6,0,538.6863,76.9552,34.2832,0.35926,-0.111445,0.533333,0,373.3512,table_only,0.839978,106.7683,0.937766,-0.665321,0.786796,unowned,False,True,3010563.775
PEBBLES_L,PEBBLES,bucket_delta_b0,80,3,41880.0,10826.0,19943.0,1500,14,28,False,bucket0,-0.165297,0.533333,0,658.9349,50.6873,43.8568,0.637153,-0.165297,0.533333,0,658.9349,v7_free_alpha,0.741477,193.7257,0.7853,-0.905851,0.880385,free_alpha,True,True,3009999.515
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,bucket_mean,300,3,37793.0,10059.0,15768.0,238,7,28,False,prev_bucket,-0.099872,0.75,1,296.0159,21.144,26.6839,0.470434,-0.229764,0.6,1,413.4876,v7_free_alpha,0.933705,113.9384,0.985289,-0.625459,0.856029,free_alpha,True,True,3008910.18
UV_VISOR_ORANGE,UV_VISOR,group_scaled,200,3,28830.0,8828.0,11156.0,288,15,28,False,group,0.095999,0.6,0,352.9257,27.1481,33.7585,0.366175,-0.038308,0.533333,0,324.1591,table_only,0.636179,230.0365,-0.629584,0.520505,0.789842,unowned,False,True,3008636.46
SLEEP_POD_LAMB_WOOL,SLEEP_POD,group_scaled,20,3,34333.0,8812.0,13474.0,3024,9,28,False,prev_bucket,0.095778,0.916667,3,322.4222,32.2422,30.1036,0.425211,-0.03253,0.666667,2,403.3659,v7_free_alpha,0.192144,203.5541,-0.713668,0.61244,0.793195,free_alpha,True,True,3008649.35
SLEEP_POD_POLYESTER,SLEEP_POD,bucket_mean,40,3,35129.0,8778.0,17454.0,940,14,28,False,prev_bucket,-0.18361,0.75,1,245.39,22.3082,20.6857,0.3268,-0.32224,0.6,1,588.4271,v7_free_alpha,0.655556,183.1617,0.649819,0.750659,-0.779103,"free_alpha,residual",True,True,3007166.8
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,group_scaled,120,3,31360.0,7896.0,13906.0,518,14,28,False,bucket0,-0.345246,0.533333,0,356.8773,39.653,35.2525,0.301197,-0.345246,0.533333,0,356.8773,v7_free_alpha,0.257386,200.8788,0.408779,-0.366994,0.281685,free_alpha,True,True,3006169.77
SNACKPACK_RASPBERRY,SNACKPACK,bucket_mean,200,3,30006.0,7712.0,12963.0,426,27,28,False,prev_bucket,0.10834,0.833333,2,124.475,7.3221,15.3833,0.614011,-0.151576,0.6,1,124.475,v7_free_alpha,0.359113,79.2602,-0.110836,-0.022177,0.549304,free_alpha,True,True,3006954.12
SLEEP_POD_NYLON,SLEEP_POD,group_offset,40,3,25021.0,7524.0,9110.0,274,7,26,False,prev_bucket,-0.338063,0.583333,0,114.8392,12.7599,11.9454,0.189092,-0.364904,0.533333,0,312.9306,table_only,0.888864,51.2491,-0.885109,0.756988,0.906297,unowned,False,True,3005699.48
PEBBLES_S,PEBBLES,bucket_delta_b0,80,3,30904.0,7368.0,14817.0,964,7,28,False,day_mean,0.369825,0.733333,1,419.9746,34.9979,27.9617,0.774295,0.369825,0.666667,2,782.889,table_only,0.976172,151.8099,0.894355,0.34776,0.894869,unowned,False,True,3009217.125
UV_VISOR_MAGENTA,UV_VISOR,group_offset,300,3,28650.0,7239.0,12805.0,172,23,28,False,group,0.319608,0.866667,3,1075.113,76.7938,96.0657,0.694737,-0.127568,0.533333,1,382.382,v7_free_alpha,0.506581,150.133,0.423428,0.119507,0.248503,free_alpha,True,True,3006601.16
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,group_scaled,160,3,30384.0,6865.0,12578.0,518,8,28,False,prev_bucket,-0.15473,0.416667,0,170.7145,18.9683,17.3214,0.411675,-0.155672,0.533333,1,317.2162,v7_free_alpha,0.327989,114.8677,-0.50166,0.695834,0.649197,free_alpha,True,True,3006086.64
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_offset,300,3,20614.6,6456.6,7647.0,110,21,28,False,prev_bucket,-0.272581,0.75,1,384.3882,29.5683,38.913,0.348881,-0.32145,0.533333,0,233.8113,table_only,0.191181,140.712,0.778227,-0.507285,0.081983,unowned,False,True,3004849.35
SNACKPACK_STRAWBERRY,SNACKPACK,bucket_delta_b0,200,3,20220.0,5958.0,8118.0,336,10,28,False,prev_bucket,0.694729,0.75,2,251.9292,13.9961,30.9769,0.873125,0.167376,0.666667,2,263.289,table_only,0.579303,127.8419,0.870439,-0.210715,0.096668,unowned,False,True,3006794.88
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,200,3,29083.0,5873.0,15044.0,386,13,28,False,prev_bucket,0.154588,0.583333,0,133.6657,10.282,13.0483,0.559976,-0.263051,0.533333,0,161.8623,v7_free_alpha,0.459736,161.8427,-0.272994,0.451184,0.326286,free_alpha,True,True,3004557.745
ROBOT_LAUNDRY,ROBOT,bucket_delta_b0,80,3,28769.5,5239.0,13070.5,1058,4,28,False,prev_bucket,-0.314862,0.583333,0,164.3282,23.4755,16.7588,0.369549,-0.389097,0.4,0,125.0563,table_only,0.764047,59.5608,0.071925,0.839101,-0.709739,mr,True,True,3003293.515
SNACKPACK_VANILLA,SNACKPACK,group_scaled,200,3,21446.0,5220.0,8191.0,294,16,28,False,day_mean,0.323556,0.8,2,166.4688,9.7923,25.5599,0.819963,0.323556,0.466667,1,253.0359,v7_free_alpha,-0.197818,78.9246,-0.279263,-0.042942,-0.113787,free_alpha,True,True,3006837.78
SNACKPACK_PISTACHIO,SNACKPACK,bucket_delta_b0,80,3,15723.0,4927.0,5550.0,432,10,28,False,group,0.728282,1.0,5,679.7368,42.4836,129.7859,0.744418,0.55309,0.6,1,236.3658,v7_free_alpha,0.849522,53.462,0.492844,0.873222,0.725195,free_alpha,True,True,3007692.45
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,bucket_delta_b0,80,3,25220.0,4668.0,15267.0,674,6,28,False,bucket0,0.364825,0.666667,2,489.4595,61.1824,51.858,0.702555,0.364825,0.666667,2,489.4595,table_only,0.796525,177.1808,0.225137,0.778643,0.487707,mm_bid_off,True,True,3006492.125
PANEL_4X4,PANEL,group_scaled,300,3,20578.0,4318.0,9984.0,230,6,28,False,prev_bucket,0.48922,0.75,1,350.0661,38.8962,35.1663,0.58295,0.068101,0.666667,2,495.1697,table_only,0.204258,269.2426,-0.169973,-0.631487,0.595213,unowned,False,True,3004658.505
SLEEP_POD_COTTON,SLEEP_POD,bucket_mean,300,3,24231.0,4280.0,11085.0,80,7,26,False,prev_bucket,0.12253,0.666667,0,254.6625,25.4663,21.86,0.332559,-0.205002,0.6,1,456.3272,v7_free_alpha,0.753581,158.6604,0.925959,0.851244,-0.623093,free_alpha,True,True,3003254.99
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,group_scaled,80,3,14165.0,4257.0,5085.0,312,7,27,False,prev_bucket,0.151876,0.75,1,363.2915,25.9494,34.4893,0.816447,-0.185036,0.533333,1,397.6034,v7_free_alpha,0.205024,226.5708,-0.21673,0.449264,-0.234838,free_alpha,True,True,3003331.82
SNACKPACK_CHOCOLATE,SNACKPACK,group_scaled,160,3,12732.0,3313.0,4798.0,222,22,28,False,group,0.265327,0.933333,4,352.9787,20.7635,53.681,0.722016,0.200152,0.466667,1,242.0813,table_only,-0.008404,73.5617,-0.120068,0.210967,-0.135658,unowned,False,True,3004313.76
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,group_offset,300,3,31990.0,3260.0,19950.0,200,6,28,False,prev_bucket,0.643123,0.75,2,363.0758,30.2563,33.2046,0.596324,0.062844,0.466667,0,335.9718,table_only,0.525235,157.2502,0.450864,-0.088178,0.474147,unowned,False,True,3003574.22
PANEL_1X2,PANEL,group_scaled,300,3,23023.0,3151.0,15795.0,148,5,28,False,prev_bucket,0.702559,0.666667,1,268.2013,22.3501,29.6631,0.797813,-0.229988,0.466667,0,248.654,table_only,-0.175611,192.4323,0.182909,-0.06761,-0.323868,unowned,False,True,3002001.06
ROBOT_IRONING,ROBOT,group_offset,300,3,18650.0,3130.0,7820.0,130,16,28,False,group,0.541223,0.933333,4,1392.5201,232.0867,134.7915,0.735608,0.377373,0.733333,3,754.6376,table_only,0.710754,256.8582,-0.211495,0.945629,0.76811,mm_bid_off,True,True,3005016.865
ROBOT_MOPPING,ROBOT,group_scaled,80,3,27138.9,3040.0,13742.9,410,6,28,False,prev_bucket,0.037718,0.666667,0,431.9943,53.9993,38.7991,0.39922,-0.197054,0.6,1,808.9431,v7_free_alpha,0.787375,231.7466,0.460894,0.895401,-0.962733,free_alpha,True,True,3002054.73
PANEL_2X2,PANEL,bucket_delta_b0,120,3,14942.0,2528.0,8606.0,446,23,28,False,group,-0.239028,0.666667,1,441.4855,49.0539,46.0836,0.517585,-0.322676,0.4,0,168.8372,v7_free_alpha,-0.065216,185.3025,-0.531231,0.004783,0.218177,free_alpha,True,True,3000914.62
PANEL_2X4,PANEL,bucket_delta_b0,200,3,38067.0,1557.0,21732.0,476,4,28,False,group,0.898015,1.0,5,1819.8,181.98,161.3881,0.722707,0.812904,0.8,4,891.1221,table_only,0.878828,248.5396,0.974586,0.691699,0.762361,mm_ask_off,True,True,3005621.52
MICROCHIP_RECTANGLE,MICROCHIP,bucket_mean,160,3,30545.0,1363.0,23406.0,314,1,28,False,prev_bucket,-0.026662,0.833333,2,306.7496,38.3437,23.415,0.616431,-0.058446,0.533333,0,607.1032,table_only,0.686908,190.0526,0.445392,0.750791,-0.157217,unowned,False,True,3001070.77
PEBBLES_M,PEBBLES,bucket_mean,300,3,19425.0,1215.0,12147.0,246,2,28,False,prev_bucket,-0.07072,0.666667,1,342.2931,26.3302,22.6194,0.709712,-0.288755,0.4,0,591.6568,table_only,0.415943,278.7053,-0.704648,0.418836,0.624413,unowned,False,True,2999771.225
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_delta_b0,80,3,12962.8,1122.0,6693.0,740,2,28,False,prev_bucket,-0.168753,0.666667,1,275.0515,19.6465,25.3238,0.566618,-0.305774,0.533333,1,275.0515,table_only,0.303338,129.064,0.265336,0.301494,-0.247888,unowned,False,True,2999593.13
MICROCHIP_CIRCLE,MICROCHIP,bucket_mean,300,3,15294.0,885.0,12806.0,210,1,28,False,prev_bucket,0.076247,0.583333,0,204.5224,25.5653,22.1637,0.345353,-0.375559,0.333333,0,321.4277,table_only,0.791392,108.9635,-0.044638,-0.423488,0.676828,unowned,False,True,2999007.205
PANEL_1X4,PANEL,group_scaled,300,3,32082.0,786.0,18644.0,190,1,25,False,prev_bucket,0.342577,0.833333,3,416.2017,52.0252,44.0092,0.539309,-0.078529,0.533333,2,586.6633,table_only,0.898792,217.8194,0.164583,0.608495,0.193868,unowned,False,True,3000393.355
ROBOT_VACUUMING,ROBOT,group_scaled,200,3,10562.0,474.0,7066.0,208,2,28,False,group,0.013741,0.933333,4,718.0281,102.5754,77.8453,0.72048,-0.085278,0.533333,0,315.3619,v7_free_alpha,0.844265,118.1822,-0.621348,0.907268,0.623526,free_alpha,True,True,3000047.61
TRANSLATOR_VOID_BLUE,TRANSLATOR,bucket_delta_b0,120,2,3978.0,-30.0,3861.0,382,0,28,True,group,-0.05736,1.0,5,1186.3445,118.6344,109.6157,0.749436,-0.207368,0.466667,1,343.194,table_only,0.610786,150.6476,0.901741,-0.64846,0.182941,unowned,False,True,1998933.16
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,bucket_mean,300,2,9597.0,-179.0,9520.0,104,0,28,True,group,-0.219582,0.666667,0,475.1504,36.55,47.0926,0.432793,-0.343988,0.4,0,592.1427,table_only,0.594799,262.3528,-0.816801,0.594597,0.734223,unowned,False,True,1998101.06
MICROCHIP_TRIANGLE,MICROCHIP,bucket_delta_b0,160,2,17932.0,-798.0,15783.0,558,0,28,True,bucket0,0.205866,0.533333,1,493.1874,54.7986,34.1102,0.471631,0.205866,0.533333,1,493.1874,table_only,0.821758,136.7224,0.472438,0.329646,0.828214,"mr,mm_bid_off",True,True,2000231.33
UV_VISOR_AMBER,UV_VISOR,bucket_delta_b0,160,2,16885.1,-1999.0,11245.1,382,0,28,True,day_mean,0.495856,0.866667,3,345.0644,34.5064,43.3778,0.584544,0.495856,0.8,4,569.5557,table_only,0.953757,225.0857,0.964949,0.996244,0.191296,mm_bid_off,True,True,2000480.28
UV_VISOR_YELLOW,UV_VISOR,group_offset,300,2,4020.0,-2354.0,4803.0,110,0,28,True,prev_bucket,-0.013192,0.666667,0,198.6722,14.1909,18.0635,0.293146,-0.263002,0.466667,0,270.1564,v7_free_alpha,0.446267,187.3842,-0.488615,0.461014,0.535854,free_alpha,True,True,1996330.99
SLEEP_POD_SUEDE,SLEEP_POD,bucket_delta_b0,120,2,16920.0,-2723.0,13454.0,614,0,28,True,day_mean,-0.213017,0.666667,1,343.5517,34.3552,30.149,0.411309,-0.213017,0.4,0,497.1623,table_only,0.747082,142.0698,0.848686,0.540044,-0.807333,mm_ask_off,True,True,1996211.915
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,bucket_delta_b0,300,2,6472.0,-6765.0,10191.0,152,0,28,True,bucket0,0.380852,0.533333,0,961.0037,68.6431,83.9491,0.639412,0.380852,0.533333,0,961.0037,table_only,0.925896,173.7775,0.791145,0.458847,0.906641,mm_ask_off,True,True,1995139.26
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,group_scaled,200,2,9550.0,-7073.0,14714.0,326,0,28,True,prev_bucket,0.343411,0.75,1,327.8499,27.3208,30.3255,0.503228,0.182536,0.4,0,328.9393,table_only,0.43972,185.4938,0.501045,0.622449,0.118469,unowned,False,True,1993839.68
