group,day,bucket,group_path_mean,group_path_median,group_bucket0,group_path_d
GALAXY_SOUNDS,2,0,10146.71085,10218.09125,10146.71085,0.0
GALAXY_SOUNDS,2,1,10314.94535,10468.5505,10146.71085,168.2345
GALAXY_SOUNDS,2,2,10346.3518,10139.37,10146.71085,199.64095
GALAXY_SOUNDS,2,3,10524.4345,10378.069,10146.71085,377.72365
GALAXY_SOUNDS,2,4,10635.4415,10723.9835,10146.71085,488.73065
GALAXY_SOUNDS,3,0,10841.5297,11365.8655,10841.5297,0.0
GALAXY_SOUNDS,3,1,10866.40375,10920.18775,10841.5297,24.87405
GALAXY_SOUNDS,3,2,10826.7947,10829.6435,10841.5297,-14.735
GALAXY_SOUNDS,3,3,10975.68925,10815.34875,10841.5297,134.15955
GALAXY_SOUNDS,3,4,11204.53595,10996.48175,10841.5297,363.00625
GALAXY_SOUNDS,4,0,10966.67775,10796.905,10966.677749999999,0.0
GALAXY_SOUNDS,4,1,11020.81745,10655.54625,10966.677749999999,54.1397
GALAXY_SOUNDS,4,2,11104.5827,11050.826,10966.677749999999,137.90495
GALAXY_SOUNDS,4,3,11152.34045,11264.6175,10966.677749999999,185.6627
GALAXY_SOUNDS,4,4,11043.71255,10814.9055,10966.677749999999,77.0348
MICROCHIP,2,0,9877.51985,10018.601,9877.51985,0.0
MICROCHIP,2,1,10128.77555,9937.14025,9877.51985,251.2557
MICROCHIP,2,2,9882.8264,9425.37075,9877.51985,5.30655
MICROCHIP,2,3,10081.93565,10027.12075,9877.51985,204.4158
MICROCHIP,2,4,10067.5529,9712.34525,9877.51985,190.03305
MICROCHIP,3,0,10209.31975,9281.89525,10209.31975,0.0
MICROCHIP,3,1,10146.6875,9014.52725,10209.31975,-62.63225
MICROCHIP,3,2,10159.4758,9060.03425,10209.31975,-49.84395
MICROCHIP,3,3,10072.70625,8832.327,10209.31975,-136.6135
MICROCHIP,3,4,9959.94845,8541.03825,10209.31975,-249.3713
MICROCHIP,4,0,9607.32,8630.256,9607.32,0.0
MICROCHIP,4,1,9552.75395,8781.5615,9607.32,-54.56605
MICROCHIP,4,2,9704.25275,8728.47325,9607.32,96.93275
MICROCHIP,4,3,9399.62765,8363.441,9607.32,-207.69235
MICROCHIP,4,4,9373.48575,8299.7665,9607.32,-233.83425
OXYGEN_SHAKE,2,0,10036.3499,9966.003,10036.3499,0.0
OXYGEN_SHAKE,2,1,10000.88595,9799.3105,10036.3499,-35.46395
OXYGEN_SHAKE,2,2,9944.5322,9683.13875,10036.3499,-91.8177
OXYGEN_SHAKE,2,3,10015.651,9835.22,10036.3499,-20.6989
OXYGEN_SHAKE,2,4,10078.96005,10157.01525,10036.3499,42.61015
OXYGEN_SHAKE,3,0,10279.41515,10146.251,10279.41515,0.0
OXYGEN_SHAKE,3,1,10168.5347,10308.1445,10279.41515,-110.88045
OXYGEN_SHAKE,3,2,10042.3858,9967.82725,10279.41515,-237.02935
OXYGEN_SHAKE,3,3,9951.94225,9262.89525,10279.41515,-327.4729
OXYGEN_SHAKE,3,4,9990.03195,9411.80425,10279.41515,-289.3832
OXYGEN_SHAKE,4,0,9898.86015,9421.76375,9898.86015,0.0
OXYGEN_SHAKE,4,1,10022.22205,9580.12625,9898.86015,123.3619
OXYGEN_SHAKE,4,2,10220.48925,9646.52125,9898.86015,321.6291
OXYGEN_SHAKE,4,3,10512.6962,9902.756,9898.86015,613.83605
OXYGEN_SHAKE,4,4,10616.8274,9800.30275,9898.86015,717.96725
PANEL,2,0,9956.6528,9900.78,9956.6528,0.0
PANEL,2,1,9923.68295,9761.9095,9956.6528,-32.96985
PANEL,2,2,9769.01045,9761.11825,9956.6528,-187.64235
PANEL,2,3,10008.6951,9977.95775,9956.6528,52.0423
PANEL,2,4,10156.47225,10062.67575,9956.6528,199.81945
PANEL,3,0,9768.84845,9993.57175,9768.84845,0.0
PANEL,3,1,9809.27895,10304.186,9768.84845,40.4305
PANEL,3,2,9841.80905,9737.592,9768.84845,72.9606
PANEL,3,3,9737.36335,9464.83325,9768.84845,-31.4851
PANEL,3,4,9678.2463,9431.692,9768.84845,-90.60215
PANEL,4,0,9606.7272,8793.93475,9606.7272,0.0
PANEL,4,1,9683.26975,9103.317,9606.7272,76.54255
PANEL,4,2,9586.1286,9220.53075,9606.7272,-20.5986
PANEL,4,3,9721.7114,9489.204,9606.7272,114.9842
