group,product,alpha_mean,beta_mean,r2_mean,alpha_std,beta_std,offset_avg_path,offset_max_abs,offset_cross_day_corr_mean,offset_sign_consistency,offset_all_days_same_sign_buckets,scale_avg_path,scale_max_abs,scale_cross_day_corr_mean,scale_sign_consistency,scale_all_days_same_sign_buckets,rms_offset_resid,rms_scale_resid
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,0.024506,10304.4701,0.808098,2.180529,23824.6863,-425.6863|-635.2764|-615.6952|-606.9412|-573.4146,635.2764,-0.248205,1.0,5,73.2540|-84.8486|56.1827|71.5211|-116.1093,116.1093,0.484772,0.933333,4,658.7286,108.1785
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,1.881621,-8649.5907,0.447343,0.869161,9039.9798,468.7153|559.6568|581.1134|614.4236|1120.1285,1120.1285,-0.006235,0.933333,4,-18.0353|-51.3002|-75.7319|-164.8629|309.9303,309.9303,0.267879,0.733333,2,978.7359,277.7449
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,0.724007,2212.6791,0.441742,1.640841,17476.77,-453.0771|-172.2017|-368.5602|-287.9890|-520.7750,520.775,-0.269962,0.733333,2,-238.5091|164.8253|12.8792|159.9645|-99.1599,238.5091,0.206858,0.8,3,552.4009,240.9332
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,0.965019,281.0753,0.215492,0.228976,2203.0152,192.4127|-165.0549|-14.7581|-118.1011|-51.4554,192.4127,-0.284634,0.533333,0,202.4429|-138.1941|14.2252|-76.3335|-2.1405,202.4429,-0.288042,0.733333,1,588.8263,311.0728
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,1.404847,-4148.6338,0.517766,2.214735,24541.9463,217.6354|412.8762|417.9000|398.6077|25.5165,417.9,-0.145097,0.6,0,-19.1525|109.5175|-7.5553|9.7107|-92.5205,109.5175,-0.455565,0.466667,0,579.6114,280.2451
MICROCHIP,MICROCHIP_OVAL,3.274099,-24338.9073,0.54414,1.952795,20182.5427,-1176.8578|-1496.6385|-1826.2793|-1947.4003|-2062.8933,2062.8933,0.485222,1.0,5,322.5275|123.6867|-304.2128|-112.9646|-29.0369,322.5275,0.340083,0.8,2,2149.313,281.2372
MICROCHIP,MICROCHIP_TRIANGLE,0.961199,322.5741,0.20499,0.702514,7328.1033,5.8222|-167.1176|-273.0102|-152.1608|-389.6410,389.641,0.024485,0.466667,0,140.2665|58.2836|-163.1831|99.9169|-135.2839,163.1831,0.025462,0.733333,1,585.1367,195.3751
MICROCHIP,MICROCHIP_SQUARE,-0.435927,18838.334,0.674866,5.902479,59850.1952,2865.9461|3557.9617|4028.6261|4002.9346|4110.2102,4110.2102,-0.092206,1.0,5,-469.3038|-170.9591|440.5396|211.7697|-12.0463,469.3038,-0.113073,0.733333,1,4175.1744,432.9001
MICROCHIP,MICROCHIP_RECTANGLE,1.614558,-7467.9915,0.227824,2.041836,21101.3833,-876.3286|-980.3425|-1194.1473|-1436.8018|-1258.2458,1436.8018,-0.209785,0.933333,4,111.0882|180.7324|-136.8034|-227.1125|72.0953,227.1125,-0.190301,0.733333,1,1335.2781,306.812
MICROCHIP,MICROCHIP_CIRCLE,-0.41393,12645.9907,0.473868,2.646289,26015.6534,-818.5820|-913.8632|-735.1893|-466.5718|-399.4301,913.8632,-0.244259,0.866667,3,-104.5783|-191.7437|163.6596|28.3906|104.2718,191.7437,-0.191699,0.6,0,966.6247,296.0408
