product,path_type,threshold,actual_total_pnl,actual_worst_pnl,flat_shape_total_pnl,flat_shape_worst_pnl,shape_explains_pct
MICROCHIP_SQUARE,group_scaled,300,58649.0,14121.0,-165409.0,-153634.0,382.03
PEBBLES_XS,bucket_delta_b0,200,49738.0,13937.0,231578.0,64127.0,-365.6
ROBOT_DISHES,bucket_delta_b0,80,44785.0,11121.0,-249231.0,-86699.0,656.51
PEBBLES_L,bucket_delta_b0,80,41880.0,10826.0,161328.0,-85272.0,-285.21
UV_VISOR_RED,bucket_delta_b0,120,41115.4,13271.0,-298381.0,-104267.0,825.72
GALAXY_SOUNDS_SOLAR_FLAMES,bucket_mean,300,37793.0,10059.0,31835.0,-99009.0,15.76
SLEEP_POD_POLYESTER,bucket_mean,40,35129.0,8778.0,-127330.0,-125290.0,462.46
SLEEP_POD_LAMB_WOOL,group_scaled,20,34333.0,8812.0,-285517.0,-96816.0,931.61
TRANSLATOR_GRAPHITE_MIST,group_scaled,120,31360.0,7896.0,9630.0,-97935.0,69.29
PEBBLES_S,bucket_delta_b0,80,30904.0,7368.0,315404.0,96014.0,-920.59
TRANSLATOR_ECLIPSE_CHARCOAL,group_scaled,160,30384.0,6865.0,118534.0,-98338.0,-290.12
SNACKPACK_RASPBERRY,bucket_mean,200,30006.0,7712.0,-71619.0,-96617.0,338.68
UV_VISOR_ORANGE,group_scaled,200,28830.0,8828.0,205315.0,7059.0,-612.16
UV_VISOR_MAGENTA,group_offset,300,28650.0,7239.0,-214358.0,-115315.0,848.2
SLEEP_POD_NYLON,group_offset,40,25021.0,7524.0,94800.0,-107345.0,-278.88
