product,path_type,threshold,actual_worst,actual_total,null_worst_p95,null_total_p95,null_mean_worst,null_mean_total,p_value_worst,p_value_total,beats_p95_worst
MICROCHIP_SQUARE,group_scaled,300,14121.0,58649.0,-125632.0,168657.55,-130924.41,157264.84,0.0,1.0,True
PEBBLES_XS,bucket_delta_b0,200,13937.0,49738.0,74864.0,249775.05,-22015.97,133715.85,0.255,0.93,False
ROBOT_DISHES,bucket_delta_b0,80,11121.0,44785.0,-88095.0,-51448.65,-94040.85,-192096.27,0.0,0.0,True
PEBBLES_L,bucket_delta_b0,80,10826.0,41880.0,-85965.6,144181.55,-95929.1,12270.58,0.0,0.415,True
UV_VISOR_RED,bucket_delta_b0,120,13271.0,41115.4,-93974.0,62730.25,-100235.48,-119707.33,0.0,0.195,True
GALAXY_SOUNDS_SOLAR_FLAMES,bucket_mean,300,10059.0,37793.0,21933.5,257651.7,-21320.22,162977.18,0.59,0.815,False
SLEEP_POD_POLYESTER,bucket_mean,40,8778.0,35129.0,-112661.4,134267.6,-119056.61,-70630.82,0.0,0.19,True
SLEEP_POD_LAMB_WOOL,group_scaled,20,8812.0,34333.0,-95671.45,-72779.0,-98099.68,-196648.13,0.0,0.0,True
TRANSLATOR_GRAPHITE_MIST,group_scaled,120,7896.0,31360.0,-94006.0,126835.9,-96922.93,82057.46,0.0,0.63,True
PEBBLES_S,bucket_delta_b0,80,7368.0,30904.0,90674.0,295792.4,-55908.29,105616.52,0.145,0.83,False
TRANSLATOR_ECLIPSE_CHARCOAL,group_scaled,160,6865.0,30384.0,-93648.0,124625.3,-95418.39,24659.11,0.0,0.435,True
SNACKPACK_RASPBERRY,bucket_mean,200,7712.0,30006.0,-93127.0,-69745.95,-95603.46,-100925.76,0.0,0.0,True
UV_VISOR_ORANGE,group_scaled,200,8828.0,28830.0,10363.7,221461.75,6873.7,147910.57,0.235,1.0,False
UV_VISOR_MAGENTA,group_offset,300,7239.0,28650.0,-104959.0,13707.95,-108647.02,9144.57,0.0,0.0,True
SLEEP_POD_NYLON,group_offset,40,7524.0,25021.0,-99919.0,107474.95,-100613.46,-40034.99,0.0,0.295,True
