product,group,method,n_buckets,cross_day_shape_corr_mean,rank_corr_mean,sign_consistency,bucket_std_mean,bucket_std_max,max_abs_avg_delta,max_delta_over_spread,max_delta_over_realized_vol,one_day_overfit_score,all_days_same_sign_buckets,median_spread,mean_realized_vol,avg_path,day2_path,day3_path,day4_path
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,bucket0,5,0.380852,0.066667,0.533333,438.3992,689.489,961.0037,68.6431,83.9491,0.639412,0,14.0,11.447458,0.0000|173.3576|220.0018|378.2236|961.0037,0.0000|479.1687|493.8922|979.5412|1502.9492,0.0000|-445.6778|-536.2220|-296.0627|-11.9760,0.0000|486.5817|702.3350|451.1923|1392.0380
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket0,5,-0.263051,-0.333333,0.533333,327.8896,593.6692,161.8623,12.4509,15.8008,0.239356,0,13.0,10.243924,0.0000|-127.1740|-82.4053|51.2603|161.8623,0.0000|95.9280|336.5997|575.2988|537.8913,0.0000|-142.2117|-28.9307|206.7935|623.9372,0.0000|-335.2382|-554.8850|-628.3112|-676.2418
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket0,5,-0.305774,-0.3,0.533333,318.584,504.3235,275.0515,19.6465,25.3238,0.566618,1,14.0,10.861377,0.0000|-275.0515|-99.5671|-77.9984|65.7225,0.0000|-485.4265|-724.4797|-633.1223|427.6567,0.0000|-45.5463|143.0500|500.1970|416.9828,0.0000|-294.1818|282.7285|-101.0700|-647.4720
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,bucket0,5,-0.229764,-0.2,0.6,429.0221,843.7298,413.4876,29.5348,37.2732,0.332106,1,14.0,11.093421,0.0000|277.6568|307.8683|413.4876|117.4717,0.0000|486.7022|995.7413|1245.0465|615.8065,0.0000|312.8397|-500.8447|-743.3737|-562.2408,0.0000|33.4285|428.7083|738.7900|298.8492
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,bucket0,5,-0.185036,-0.233333,0.533333,378.5432,827.2866,397.6034,28.4002,37.7467,0.396318,1,14.0,10.533469,0.0000|363.2915|192.1206|397.6034|241.8927,0.0000|264.8000|-103.5487|-278.1460|-640.6505,0.0000|444.9663|849.2725|1003.2437|1348.3280,0.0000|380.1082|-169.3620|467.7125|18.0005
MICROCHIP_CIRCLE,MICROCHIP,bucket0,5,-0.375559,-0.4,0.333333,568.3477,1096.739,321.4277,40.1785,34.8324,0.173674,0,8.0,9.227824,0.0000|-50.5954|100.8577|305.3802|321.4277,0.0000|-145.3150|-466.1698|-217.1082|-219.3390,0.0000|-361.3152|-148.1343|-375.8415|-667.1303,0.0000|354.8440|916.8773|1509.0902|1850.7523
MICROCHIP_OVAL,MICROCHIP,bucket0,5,0.255387,0.4,0.666667,368.5628,735.3419,983.7597,122.97,80.0758,0.681357,2,8.0,12.285351,0.0000|-275.0949|-631.9564|-817.1725|-983.7597,0.0000|57.0580|-379.6375|222.1125|-92.6630,0.0000|-267.3680|-639.9072|-1368.5418|-1414.7912,0.0000|-614.9747|-876.3245|-1305.0883|-1443.8247
MICROCHIP_RECTANGLE,MICROCHIP,bucket0,5,-0.058446,0.166667,0.533333,542.02,826.0094,607.1032,75.8879,46.3419,0.436115,0,8.0,13.100535,0.0000|-59.3281|-300.3536|-607.1032|-479.6413,0.0000|-102.3918|-725.5747|-786.1203|-599.2105,0.0000|-604.0180|-1029.9890|-1392.0705|-1265.5097,0.0000|528.4255|854.5030|356.8813|425.7962
MICROCHIP_SQUARE,MICROCHIP,bucket0,5,-0.090633,-0.133333,0.6,826.8934,1507.8511,1180.1451,98.3454,57.4526,0.628154,1,12.0,20.541199,0.0000|736.7014|1180.1451|1090.3584|1146.5399,0.0000|1283.7335|1410.4178|1664.3620|1890.7850,0.0000|1038.9430|1878.7525|2359.3850|2505.0233,0.0000|-112.5722|251.2650|-752.6717|-956.1885
MICROCHIP_TRIANGLE,MICROCHIP,bucket0,5,0.205866,0.266667,0.533333,292.8036,454.3739,493.1874,54.7986,34.1102,0.471631,1,9.0,14.458638,0.0000|-128.2540|-261.3673|-204.6130|-493.1874,0.0000|163.1937|187.4970|138.8330|-29.4073,0.0000|-119.4030|-309.9418|94.0012|-404.4485,0.0000|-428.5528|-661.6570|-846.6733|-1045.7065
