case,products,day,product,pnl
single__ROBOT_DISHES,ROBOT_DISHES,2,GALAXY_SOUNDS_BLACK_HOLES,16489
single__ROBOT_DISHES,ROBOT_DISHES,2,GALAXY_SOUNDS_DARK_MATTER,5538
single__ROBOT_DISHES,ROBOT_DISHES,2,GALAXY_SOUNDS_PLANETARY_RINGS,23295
single__ROBOT_DISHES,ROBOT_DISHES,2,GALAXY_SOUNDS_SOLAR_FLAMES,18066
single__ROBOT_DISHES,ROBOT_DISHES,2,GALAXY_SOUNDS_SOLAR_WINDS,965
single__ROBOT_DISHES,ROBOT_DISHES,2,MICROCHIP_CIRCLE,-511
single__ROBOT_DISHES,ROBOT_DISHES,2,MICROCHIP_OVAL,5618
single__ROBOT_DISHES,ROBOT_DISHES,2,MICROCHIP_RECTANGLE,16141
single__ROBOT_DISHES,ROBOT_DISHES,2,MICROCHIP_SQUARE,24261
single__ROBOT_DISHES,ROBOT_DISHES,2,MICROCHIP_TRIANGLE,6325
single__ROBOT_DISHES,ROBOT_DISHES,2,OXYGEN_SHAKE_CHOCOLATE,9314
single__ROBOT_DISHES,ROBOT_DISHES,2,OXYGEN_SHAKE_EVENING_BREATH,2117
single__ROBOT_DISHES,ROBOT_DISHES,2,OXYGEN_SHAKE_GARLIC,20407
single__ROBOT_DISHES,ROBOT_DISHES,2,OXYGEN_SHAKE_MINT,0
single__ROBOT_DISHES,ROBOT_DISHES,2,OXYGEN_SHAKE_MORNING_BREATH,8368
single__ROBOT_DISHES,ROBOT_DISHES,2,PANEL_1X2,0
single__ROBOT_DISHES,ROBOT_DISHES,2,PANEL_1X4,16825
single__ROBOT_DISHES,ROBOT_DISHES,2,PANEL_2X2,7060
single__ROBOT_DISHES,ROBOT_DISHES,2,PANEL_2X4,4774
single__ROBOT_DISHES,ROBOT_DISHES,2,PANEL_4X4,0
single__ROBOT_DISHES,ROBOT_DISHES,2,PEBBLES_L,20786
single__ROBOT_DISHES,ROBOT_DISHES,2,PEBBLES_M,0
single__ROBOT_DISHES,ROBOT_DISHES,2,PEBBLES_S,20129
single__ROBOT_DISHES,ROBOT_DISHES,2,PEBBLES_XL,19620
single__ROBOT_DISHES,ROBOT_DISHES,2,PEBBLES_XS,9650
single__ROBOT_DISHES,ROBOT_DISHES,2,ROBOT_DISHES,2984
single__ROBOT_DISHES,ROBOT_DISHES,2,ROBOT_IRONING,4850
single__ROBOT_DISHES,ROBOT_DISHES,2,ROBOT_LAUNDRY,11939
single__ROBOT_DISHES,ROBOT_DISHES,2,ROBOT_MOPPING,4728
single__ROBOT_DISHES,ROBOT_DISHES,2,ROBOT_VACUUMING,-1758
single__ROBOT_DISHES,ROBOT_DISHES,2,SLEEP_POD_COTTON,13278
single__ROBOT_DISHES,ROBOT_DISHES,2,SLEEP_POD_LAMB_WOOL,7141
single__ROBOT_DISHES,ROBOT_DISHES,2,SLEEP_POD_NYLON,2191
single__ROBOT_DISHES,ROBOT_DISHES,2,SLEEP_POD_POLYESTER,17615
single__ROBOT_DISHES,ROBOT_DISHES,2,SLEEP_POD_SUEDE,10064
single__ROBOT_DISHES,ROBOT_DISHES,2,SNACKPACK_CHOCOLATE,4884
single__ROBOT_DISHES,ROBOT_DISHES,2,SNACKPACK_PISTACHIO,7750
single__ROBOT_DISHES,ROBOT_DISHES,2,SNACKPACK_RASPBERRY,13450
single__ROBOT_DISHES,ROBOT_DISHES,2,SNACKPACK_STRAWBERRY,1931
single__ROBOT_DISHES,ROBOT_DISHES,2,SNACKPACK_VANILLA,6080
single__ROBOT_DISHES,ROBOT_DISHES,2,TRANSLATOR_ASTRO_BLACK,-1136
