case,products,total,delta,day2,day3,day4
single__ROBOT_DISHES,ROBOT_DISHES,1287135,52819,413228,391797,482110
single__PEBBLES_S,PEBBLES_S,1204304,-30012,398012,394422,411871
single__UV_VISOR_ORANGE,UV_VISOR_ORANGE,1211803,-22513,412128,389986,409690
single__SLEEP_POD_NYLON,SLEEP_POD_NYLON,1216516,-17800,411115,374875,430526
single__OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MINT,1257734,23418,441541,384658,431535
single__SNACKPACK_STRAWBERRY,SNACKPACK_STRAWBERRY,1244575,10259,422630,383084,438862
single__PANEL_4X4,PANEL_4X4,1230602,-3714,428210,381324,421067
single__SNACKPACK_CHOCOLATE,SNACKPACK_CHOCOLATE,1237322,3006,421872,386638,428812
single__OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_EVENING_BREATH,1209380,-24936,402834,378568,427979
single__PANEL_1X2,PANEL_1X2,1219966,-14350,409196,385334,425435
top2,"ROBOT_DISHES,PEBBLES_S",1257124,22808,392929,398989,465206
top3,"ROBOT_DISHES,PEBBLES_S,UV_VISOR_ORANGE",1234612,296,386746,401745,446121
top4,"ROBOT_DISHES,PEBBLES_S,UV_VISOR_ORANGE,SLEEP_POD_NYLON",1216812,-17504,379550,389390,447872
all10,"ROBOT_DISHES,PEBBLES_S,UV_VISOR_ORANGE,SLEEP_POD_NYLON,OXYGEN_SHAKE_MINT,SNACKPACK_STRAWBERRY,PANEL_4X4,SNACKPACK_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,PANEL_1X2",1210496,-23820,395966,365619,448911
