base,delta,n,mean_mae,median_mae,max_mae,p95_mae
leading_w5000_pooled,bucket_mean_pooled,50,195.30868349999997,168.6671,496.94534166666676,386.8516147916662
leading_w5000_pooled,bucket_mean_avg_across_days,50,195.30868350000003,168.66709999999978,496.94534166666585,386.85161479166624
leading_w10000_pooled,bucket_mean_pooled,50,196.5330301666667,170.68369791666683,541.4921458333338,382.59661479166704
leading_w10000_pooled,bucket_mean_avg_across_days,50,196.53303016666672,170.68369791666683,541.4921458333338,382.5966147916671
leading_w1000_pooled,bucket_mean_avg_across_days,50,200.10330533333337,179.0660479166663,565.1888125000005,422.40544812499996
leading_w1000_pooled,bucket_mean_pooled,50,200.10330533333337,179.06604791666584,565.1888125000005,422.4054481249999
first_tick_pooled,bucket_mean_pooled,50,200.50857566666664,176.75974375000013,571.8888124999994,412.10461479166577
leading_w100_pooled,bucket_mean_pooled,50,200.50857566666664,176.75974375000013,571.8888124999994,412.10461479166577
first_tick_pooled,bucket_mean_avg_across_days,50,200.5085756666667,176.75974375000035,571.8888124999994,412.1046147916658
leading_w100_pooled,bucket_mean_avg_across_days,50,200.5085756666667,176.75974375000035,571.8888124999994,412.1046147916658
leading_w100000_pooled,bucket_mean_avg_across_days,50,210.41769399999998,180.04703333333313,551.7035874999997,448.83349416666624
leading_w100000_pooled,bucket_mean_pooled,50,210.41769400000004,180.04703333333336,551.7035875000001,448.8334941666667
leading_w200000_pooled,bucket_mean_pooled,50,217.5858661666666,192.08449375000012,496.94534166666676,454.5417268749991
bucket0_mean_pooled,bucket_mean_avg_across_days,50,217.5858661666666,192.08449375000035,496.94534166666585,454.5417268749993
leading_w200000_pooled,bucket_mean_avg_across_days,50,217.5858661666666,192.08449375000035,496.94534166666585,454.5417268749993
bucket0_mean_pooled,bucket_mean_pooled,50,217.5858661666666,192.08449375000012,496.94534166666676,454.5417268749991
day_mean_pooled,bucket_mean_pooled,50,245.16099300000005,202.9389354166665,759.3671708333331,521.1460027083332
day_mean_pooled,bucket_mean_avg_across_days,50,245.16099300000013,202.9389354166665,759.3671708333331,521.1460027083332
leading_w5000_pooled,bucket_median_pooled,50,279.42476783333336,247.68375416666666,949.9741666666669,630.6009491666659
leading_w10000_pooled,bucket_median_pooled,50,280.48893449999997,256.76583749999986,950.5408333333326,657.0682824999993
leading_w1000_pooled,bucket_median_pooled,50,282.0313341666667,244.86042500000036,953.5166500000005,647.3481158333324
leading_w100_pooled,bucket_median_pooled,50,283.4650008333333,247.7187458333335,945.0833166666662,658.9031158333324
first_tick_pooled,bucket_median_pooled,50,283.4650008333333,247.7187458333335,945.0833166666662,658.9031158333324
leading_w100000_pooled,bucket_median_pooled,50,287.6263995,265.60462499999994,1015.03215,647.3121699999997
bucket0_mean_pooled,bucket_median_pooled,50,297.42019049999993,265.90170416666683,958.1881666666668,650.7295162499992
leading_w200000_pooled,bucket_median_pooled,50,297.42019049999993,265.90170416666683,958.1881666666668,650.7295162499992
day_mean_pooled,bucket_median_pooled,50,314.6200088333333,241.822533333333,1008.5238083333334,708.9630479166669
day_mean_d4,bucket_mean_d4,50,327.12799925,287.3510624999998,1038.8465499999995,602.054355625
