estimator,n,mae,median_abs,rmse,max_abs,bias
first_tick_pooled,50,2.2666666918667033e-05,3.333333370392211e-05,2.7487371143046403e-05,3.333333370392211e-05,1.3333333481568843e-06
leading_w100_pooled,50,2.2666666918667033e-05,3.333333370392211e-05,2.7487371143046403e-05,3.333333370392211e-05,1.3333333481568843e-06
leading_w1000_pooled,50,7.57133600000001,5.9416999999994005,9.81684121410633,25.166633333334175,-0.3379986666667537
leading_w5000_pooled,50,18.486135999999934,13.888333333333321,25.281002618230428,85.95336666666662,-4.481598666666724
leading_w10000_pooled,50,23.10137333333343,17.352516666666816,29.474315080171113,76.02496666666775,-6.343898666666609
leading_w100000_pooled,50,74.21475399999996,72.94083333333401,90.95968142312384,252.23063333333266,-14.919508666666662
leading_w200000_pooled,50,116.2616183333332,107.34270000000015,144.14062461097592,370.5726333333332,-14.449307000000081
bucket0_mean_pooled,50,116.2616183333332,107.34270000000015,144.14062461097592,370.5726333333332,-14.449307000000081
day_mean_pooled,50,311.31678033333327,267.64240833333315,403.02382147692606,1331.2560166666663,10.886717666666609
day_mean_d2,50,334.79774999999995,293.10622500000045,448.13377632690464,1521.039349999999,-81.87346000000001
leading_w100000_d3,50,380.19316200000003,255.92065000000002,521.7871966053098,1886.600699999999,46.643577999999906
leading_w10000_d3,50,383.6228999999998,317.77250000000004,505.8231607743414,1697.3667000000005,68.98136799999982
leading_w1000_d3,50,384.781,303.3916500000005,513.8557359814573,1710.3166999999994,73.35766799999993
first_tick_d3,50,386.28,329.08330000000024,517.5474032960122,1734.6666999999998,72.766668
leading_w100_d3,50,386.28,329.08330000000024,517.5474032960122,1734.6666999999998,72.766668
leading_w5000_d3,50,390.11299999999983,311.4599999999996,522.2292676571901,1838.5267000000003,70.76126799999993
bucket0_mean_d3,50,396.7453199999998,250.61410000000024,528.1274548760116,1831.7307,43.79878799999999
leading_w200000_d3,50,396.7453199999998,250.61410000000024,528.1274548760116,1831.7307,43.79878799999999
day_mean_d3,50,399.1488510000001,312.3281999999999,551.2102360186013,1794.741,54.10699099999987
bucket0_mean_d2,50,572.0820739999998,337.38634999999977,814.6573269239301,2770.8989999999994,-137.226382
leading_w200000_d2,50,572.0820739999998,337.38634999999977,814.6573269239301,2770.8989999999994,-137.226382
leading_w100000_d2,50,612.6782880000001,334.80944999999974,860.1370454487094,2819.339,-154.5868920000001
leading_w1000_d2,50,629.9343279999999,466.375,856.2981592163123,2789.0499999999993,-152.22833200000002
first_tick_d2,50,630.1299960000001,460.25,853.2750787550549,2789.5,-153.343332
leading_w100_d2,50,630.1299960000001,460.25,853.2750787550549,2789.5,-153.343332
leading_w5000_d2,50,635.2422640000001,475.50165000000015,859.7502102913876,2788.4799999999996,-162.30973199999997
leading_w10000_d2,50,637.985164,484.8649999999998,864.6749318016138,2784.545,-164.875832
leading_w10000_d4,50,663.694904,542.5150000000003,864.8038644649232,3139.1550000000007,76.86276799999996
leading_w100_d4,50,666.430004,585.5,872.0433238380105,3121.5,80.57666799999998
first_tick_d4,50,666.430004,585.5,872.0433238380105,3121.5,80.57666799999998
leading_w1000_d4,50,666.7420039999998,577.8832999999995,866.9004975212814,3093.3500000000004,77.85666799999986
leading_w5000_d4,50,668.9990039999998,562.2316999999994,869.6283414453355,3148.42,78.10366799999996
leading_w100000_d4,50,675.5546639999999,526.3489999999993,871.7492204949283,3007.7695000000003,63.18478799999992
bucket0_mean_d4,50,716.4595749999999,639.9709249999996,896.5750770033613,2456.07675,50.07967299999987
leading_w200000_d4,50,716.4595749999999,639.9709249999996,896.5750770033613,2456.07675,50.07967299999987
day_mean_d4,50,862.5571440000001,674.37165,1076.980476179034,2770.5715500000006,60.42662200000002
