group,target,components,alpha,beta_SNACKPACK_VANILLA,beta_SNACKPACK_PISTACHIO,beta_SNACKPACK_STRAWBERRY,beta_SNACKPACK_RASPBERRY,r2,resid_sd,resid_acf1,half_life,adf_t,n,index_alpha,index_beta,index_corr,index_resid_sd,index_adf_t,index_half_life,d2_alpha,d2_beta_SNACKPACK_VANILLA,d2_beta_SNACKPACK_PISTACHIO,d2_beta_SNACKPACK_STRAWBERRY,d2_beta_SNACKPACK_RASPBERRY,d2_r2,d2_resid_sd,d2_resid_acf1,d2_half_life,d2_adf_t,d2_n,d3_alpha,d3_beta_SNACKPACK_VANILLA,d3_beta_SNACKPACK_PISTACHIO,d3_beta_SNACKPACK_STRAWBERRY,d3_beta_SNACKPACK_RASPBERRY,d3_r2,d3_resid_sd,d3_resid_acf1,d3_half_life,d3_adf_t,d3_n,d4_alpha,d4_beta_SNACKPACK_VANILLA,d4_beta_SNACKPACK_PISTACHIO,d4_beta_SNACKPACK_STRAWBERRY,d4_beta_SNACKPACK_RASPBERRY,d4_r2,d4_resid_sd,d4_resid_acf1,d4_half_life,d4_adf_t,d4_n,adf_days_lt_-2_8,half_life_max_day,min_day_r2,candidate,beta_SNACKPACK_CHOCOLATE,d2_beta_SNACKPACK_CHOCOLATE,d3_beta_SNACKPACK_CHOCOLATE,d4_beta_SNACKPACK_CHOCOLATE,beta_PEBBLES_S,beta_PEBBLES_M,beta_PEBBLES_L,beta_PEBBLES_XL,d2_beta_PEBBLES_S,d2_beta_PEBBLES_M,d2_beta_PEBBLES_L,d2_beta_PEBBLES_XL,d3_beta_PEBBLES_S,d3_beta_PEBBLES_M,d3_beta_PEBBLES_L,d3_beta_PEBBLES_XL,d4_beta_PEBBLES_S,d4_beta_PEBBLES_M,d4_beta_PEBBLES_L,d4_beta_PEBBLES_XL,beta_PEBBLES_XS,d2_beta_PEBBLES_XS,d3_beta_PEBBLES_XS,d4_beta_PEBBLES_XS,beta_UV_VISOR_AMBER,beta_UV_VISOR_ORANGE,beta_UV_VISOR_RED,beta_UV_VISOR_MAGENTA,d2_beta_UV_VISOR_AMBER,d2_beta_UV_VISOR_ORANGE,d2_beta_UV_VISOR_RED,d2_beta_UV_VISOR_MAGENTA,d3_beta_UV_VISOR_AMBER,d3_beta_UV_VISOR_ORANGE,d3_beta_UV_VISOR_RED,d3_beta_UV_VISOR_MAGENTA,d4_beta_UV_VISOR_AMBER,d4_beta_UV_VISOR_ORANGE,d4_beta_UV_VISOR_RED,d4_beta_UV_VISOR_MAGENTA,beta_UV_VISOR_YELLOW,d2_beta_UV_VISOR_YELLOW,d3_beta_UV_VISOR_YELLOW,d4_beta_UV_VISOR_YELLOW,beta_TRANSLATOR_ASTRO_BLACK,beta_TRANSLATOR_ECLIPSE_CHARCOAL,beta_TRANSLATOR_GRAPHITE_MIST,beta_TRANSLATOR_VOID_BLUE,d2_beta_TRANSLATOR_ASTRO_BLACK,d2_beta_TRANSLATOR_ECLIPSE_CHARCOAL,d2_beta_TRANSLATOR_GRAPHITE_MIST,d2_beta_TRANSLATOR_VOID_BLUE,d3_beta_TRANSLATOR_ASTRO_BLACK,d3_beta_TRANSLATOR_ECLIPSE_CHARCOAL,d3_beta_TRANSLATOR_GRAPHITE_MIST,d3_beta_TRANSLATOR_VOID_BLUE,d4_beta_TRANSLATOR_ASTRO_BLACK,d4_beta_TRANSLATOR_ECLIPSE_CHARCOAL,d4_beta_TRANSLATOR_GRAPHITE_MIST,d4_beta_TRANSLATOR_VOID_BLUE,beta_TRANSLATOR_SPACE_GRAY,d2_beta_TRANSLATOR_SPACE_GRAY,d3_beta_TRANSLATOR_SPACE_GRAY,d4_beta_TRANSLATOR_SPACE_GRAY
PEBBLES,PEBBLES_XL,"PEBBLES_XS,PEBBLES_S,PEBBLES_M,PEBBLES_L",49999.93904270317,,,,,0.9999975186856395,2.798401945171829,0.01297969488147632,0.15955071234168988,-170.96266948846363,30000,50000.05716234627,-4.000012789241641,-0.9999987593120883,2.7984357350908424,-170.9594139267547,0.15960465833012188,50000.61914524557,,,,,0.9999961452279845,2.814780405694837,0.021281723152981127,0.18004259451348884,-97.87905757724604,10000,50002.04043100205,,,,,0.9999805773593207,2.7571870036424913,0.003290301239729434,0.12124791344366558,-99.656704147336,10000,49999.87670035729,,,,,0.9999961867173682,2.8199069002669916,0.011868221157318462,0.1563293255589733,-98.8051874359161,10000,3,0.18004259451348884,0.9999805773593207,True,,,,,-1.0000214391472266,-0.9999998347250504,-0.9999858592943925,,-1.000143763504979,-1.0000768720811994,-0.999997242468911,,-1.000062206616966,-1.0001143635445326,-0.9999556034040814,,-1.0002248001159082,-0.9999826093431344,-0.999986069589439,,-0.9999937232082668,-0.9998478300999579,-1.0001130904726103,-0.9997496328077171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBBLES,PEBBLES_XS,"PEBBLES_S,PEBBLES_M,PEBBLES_L,PEBBLES_XL",49999.69139082334,,,,,0.9999962729087615,2.798401513794248,0.01298889371255083,0.15957673533042277,-170.96109964062776,30000,49999.5573607003,-3.9999641065906637,-0.999998136439649,2.7984112706877506,-170.95904797960816,0.15961074240610323,50005.44715670076,,,,,0.9999793917430491,2.815134904546712,0.02133889717686985,0.18016815039754452,-97.87349299824436,10000,49994.69251457669,,,,,0.9999843197799937,2.7568054659366217,0.003305816526452656,0.12134777143339658,-99.6551483019216,10000,50007.10156193656,,,,,0.999966836091677,2.82048136113076,0.01198068564565583,0.1566625680596682,-98.79409449151838,10000,3,0.18016815039754452,0.999966836091677,True,,,,,-1.000001262965582,-1.0000011203577623,-0.9999819266222981,-0.9999934149074293,-1.0001956362020064,-1.0001775305321234,-1.0000779991729742,-1.0000996914720457,-0.9999053469676404,-0.9999895129338472,-0.9997944632813404,-0.9998363196535099,-1.0002964102034062,-1.000086473487578,-1.0001493625138118,-1.0001570047932355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBBLES,PEBBLES_L,"PEBBLES_XS,PEBBLES_S,PEBBLES_M,PEBBLES_XL",49999.61600249674,,,,,0.9999797794506762,2.798408582766364,0.012997084790768117,0.15959989907329877,-170.95970701142375,30000,49999.699017966246,-3.9999758382564155,-0.9999898894546204,2.798438974809523,-170.95658850011654,0.159651332797696,49998.56989610627,,,,,0.9999690123626545,2.814722608184663,0.021322569560513347,0.180132310958686,-97.87501872377409,10000,50002.57208708345,,,,,0.9999601822860448,2.757247759993672,0.0033097580746676656,0.12137309110541894,-99.65475922593136,10000,49999.10924100812,,,,,0.9999851910163507,2.819903656323187,0.01189993220358359,0.15642346297496346,-98.80209548804743,10000,3,0.180132310958686,0.9999601822860448,True,,,,,-1.0000072904444113,-0.9999836305404157,,-0.9999906030793709,-1.000111509357355,-1.0000068622503773,,-0.9999561758498716,-1.0000748504717063,-1.000109592385608,,-0.9999996731919456,-1.0001724271023327,-0.999964341315056,,-0.9999837688774793,-0.9999869786873763,-0.9997850836711961,-1.0001152973973186,-0.9997396934906493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBBLES,PEBBLES_M,"PEBBLES_XS,PEBBLES_S,PEBBLES_L,PEBBLES_XL",49998.61586865401,,,,,0.9999834471151662,2.7983540409139693,0.012998503531978678,0.15960391036466062,-170.959451818611,30000,49999.72950391211,-3.9999788528548916,-0.9999917230199569,2.7984391370763197,-170.95675944784506,0.15964844895792768,49992.728757953,,,,,0.9999278774148155,2.8144342240764444,0.021348696481685952,0.18018965374172213,-97.87255434927006,10000,49994.86552855286,,,,,0.9999865702185223,2.7568102500864824,0.0033037358783060034,0.12133439787782244,-99.65536764762719,10000,49996.06194301079,,,,,0.9999192917197406,2.8197794697654492,0.011932438812980756,0.1565198193514189,-98.79882235183261,10000,3,0.18018965374172213,0.9999192917197406,True,,,,,-0.9999929837777503,,-0.9999446509372105,-0.9999655981565597,-0.9999658469215494,,-0.9998019601310266,-0.9998308941428612,-0.9999134120620479,,-0.999792230162131,-0.9998410626049599,-1.0001869341268557,,-0.9998762678132234,-0.9998922337309544,-0.9999671920379148,-0.999679708813501,-0.9999929836929665,-0.9995887820454337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBBLES,PEBBLES_S,"PEBBLES_XS,PEBBLES_M,PEBBLES_L,PEBBLES_XL",49997.43675597061,,,,,0.9999887223737248,2.798296213303394,0.013004406799284548,0.1596205984877757,-170.9584448475789,30000,49998.891486078996,-3.999897914882581,-0.9999943609111005,2.79836069201115,-170.96060996102023,0.15958498223721043,49989.59618842758,,,,,0.9999612553494776,2.8142563343625664,0.021351150906826197,0.18019503892741903,-97.8722406711776,10000,49994.70570320268,,,,,0.9998972776028281,2.75686320165566,0.003347011604948502,0.12161143817081196,-99.65105920077828,10000,49982.35851553978,,,,,0.9999684321560154,2.819067037555162,0.01196920686453791,0.15662863420650822,-98.7951270161195,10000,3,0.18019503892741903,0.9998972776028281,True,,,,,,-0.9999516547632822,-0.9999269819242164,-0.999945873063566,,-0.9998394428186155,-0.9997801891839065,-0.9997713736167354,,-0.9999518242035332,-0.9997959054248099,-0.9998273272893622,,-0.9996815929261568,-0.9995790459100372,-0.9996290879558833,-0.9999260066864886,-0.9995714352513544,-0.9999472293996178,-0.9992934692832279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNACKPACK,SNACKPACK_CHOCOLATE,"SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY",19500.95713546103,-0.9220839634174486,0.11201970597494464,-0.14232697519491935,0.011221954820337733,0.948366766254739,45.61176771221157,0.9981525607519742,374.8468104270276,-5.234722228666657,30000,30890.31205046371,-2.0850132378235053,-0.83103859929953,111.64897531963679,-4.361856609853242,545.9956436571831,16214.204746417068,-0.8123364437665146,0.06539817744461006,0.0209549773069921,0.10680973232282126,0.9555669167192476,27.620087958077587,0.9955787467166007,156.42934593297858,-4.427634345312376,10000,17607.513319647685,-0.9958499919719542,0.062442293568915924,0.06602915006087633,0.0961296341923264,0.9613578152648713,31.297059805065583,0.9968134173177994,217.17378041131568,-3.9567630034972825,10000,19063.52883162754,-1.0500727880651826,-0.14098449225482312,0.09207543990718736,0.16110036583499215,0.9617423228591157,34.25385285459626,0.9962721205511887,185.5892609373308,-4.130616261835247,10000,3,217.17378041131568,0.9555669167192476,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNACKPACK,SNACKPACK_VANILLA,"SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY",20483.254710281635,,0.08894211904563754,-0.137002205949846,0.004893866341864648,0.9294155317310397,47.426507139104416,0.9982161779270571,388.2274927971441,-5.07679572530355,30000,28621.84149225957,-1.8467457898416497,-0.5962561363067996,143.3081285217664,-3.297916084751899,952.1004365907295,18815.909028189988,,0.10178323201350523,0.041470474948015784,0.1478735082908126,0.9558850612756427,33.14106918308307,0.996152972251416,179.83053178854172,-4.094418861273307,10000,17980.106505315744,,-0.025598770840092343,0.08051248265754579,0.060586747175901574,0.9621223894907229,30.22073434536504,0.996540738959468,200.02757569444643,-4.163139304295396,10000,16378.786439419431,,-0.1217028464881926,0.14442468464764716,0.2014603542883213,0.9661951200109649,31.631855533239968,0.9964359429083295,194.1358456571735,-4.027341321352881,10000,3,200.02757569444643,0.9558850612756427,False,-0.9969168649871363,-1.169550162115649,-0.9285319907640014,-0.8954676182861546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV_VISOR,UV_VISOR_AMBER,"UV_VISOR_YELLOW,UV_VISOR_ORANGE,UV_VISOR_RED,UV_VISOR_MAGENTA",31353.28461331771,,,,,0.8963536556978277,320.9438163118693,0.9987758756553518,565.8925482617408,-4.125566912297266,30000,33977.62167123882,-2.393617248929345,-0.9003456832050739,433.8268030574079,-2.352253040343975,1085.0195664355274,22355.111540414306,,,,,0.886750967288596,139.5681749828748,0.9964151422275676,193.00738378062098,-4.239490445181325,10000,20046.367901735535,,,,,0.2985341210743385,213.36573535281138,0.9987567449698321,557.1794966068026,-4.059270710368989,10000,10704.033877095617,,,,,0.645841941307143,106.20728523733317,0.9972004591098125,247.24642626443568,-3.8517152399432746,10000,3,557.1794966068026,0.2985341210743385,False,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3846906515401016,-0.6172586641501482,-0.9697631823187595,,-0.07384503145291034,-0.41734734231112397,-0.29428308540218945,,-0.1364331300903919,-0.24543455335371978,-0.5267846479065873,,-0.20753364506240551,-0.24522378211936643,0.07680599987348552,-0.1666341749132924,-0.4532122193558076,-0.2050878898402351,0.040257001480199076,,,,,,,,,,,,,,,,,,,,
UV_VISOR,UV_VISOR_RED,"UV_VISOR_YELLOW,UV_VISOR_AMBER,UV_VISOR_ORANGE,UV_VISOR_MAGENTA",27273.019141533372,,,,,0.670600859368901,337.30365330408557,0.9991150364280521,782.9027682748374,-3.83412766326545,30000,25764.964948620942,-1.455342432133329,-0.5379690102070176,495.41500858865606,-2.971251240720424,1881.3503084558959,27855.884479858934,,,,,0.5267507447492285,193.27150973954076,0.9970480666426315,234.46451208352826,-4.223662019156019,10000,11898.504884820853,,,,,0.3492781426820899,226.3922556107063,0.9983978390918717,432.28602195827517,-3.0759548027001524,10000,19668.784080250058,,,,,0.5811511014122523,181.49075000580413,0.9974359691933948,269.98824397232835,-3.6034302249178736,10000,3,432.28602195827517,0.3492781426820899,False,,,,,,,,,,,,,,,,,,,,,,,,,-0.6817909932714777,-0.13614144639907416,,-0.46889810372948615,-0.8003142159094742,-0.09971527272825408,,-0.577555850698294,-0.27631819538664587,0.30960708842631446,,-0.486119836486419,-0.7160823363175103,-0.12328598058123613,,0.03462250614269831,-0.3820067579415789,-0.2541939826534024,0.27115253682725293,-0.18891398520783745,,,,,,,,,,,,,,,,,,,,
TRANSLATOR,TRANSLATOR_VOID_BLUE,"TRANSLATOR_SPACE_GRAY,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_GRAPHITE_MIST",15353.237252967916,,,,,0.6770909198775938,329.1562069293615,0.9991104884601045,778.8981059309981,-3.720400277671267,30000,21725.86802837113,-1.1227842037994908,-0.4212638567611576,525.3389227108826,-2.104911066902124,2570.8943062567173,8091.733240851234,,,,,0.7466527048573597,205.74013385525782,0.9968375188961724,218.83152714484945,-4.043590772405821,10000,15895.383075711674,,,,,0.3107514005132316,208.20710821077776,0.9983208767707983,412.4563735135529,-3.1314039646964202,10000,8487.509724759188,,,,,0.6959762242209053,173.3833151163082,0.9960524148883618,175.2408448041164,-4.470539135868799,10000,3,412.4563735135529,0.3107514005132316,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6238663498409187,0.5065746200270247,0.021493389661280775,,0.667997149369976,0.5657068325435636,-0.9505340063869763,,0.06764184714213473,-0.16576803222159897,-0.43769056893208136,,0.42082251398851467,0.5865689435948344,-0.7270381807519382,,-0.40582283392210716,-0.07100748311523469,0.06966582797006729,0.08510300058769533
