buy_sum,exit_sum,qty,max_baskets,ttl,d2_pnl,d2_buy_baskets,d2_sell_baskets,d2_end_inv,d3_pnl,d3_buy_baskets,d3_sell_baskets,d3_end_inv,d4_pnl,d4_buy_baskets,d4_sell_baskets,d4_end_inv,sum_pnl,min_day_pnl
49997,49998,10,10,0,405.0,370,360,10,470.0,400,390,10,405.0,340,330,10,1280.0,405.0
49997,49998,5,10,0,302.5,270,265,5,320.0,275,270,5,312.5,275,270,5,935.0,302.5
49998,49998,10,10,0,275.0,550,540,10,320.0,490,480,10,255.0,430,420,10,850.0,255.0
49998,49998,5,10,0,235.0,440,430,10,235.0,395,390,5,232.5,365,360,5,702.5,232.5
49999,49998,10,10,0,245.0,550,540,10,300.0,490,480,10,215.0,430,420,10,760.0,215.0
50000,49998,10,10,0,245.0,550,540,10,300.0,490,480,10,215.0,430,420,10,760.0,215.0
49997,49998,5,5,0,202.5,185,180,5,235.0,200,195,5,202.5,170,165,5,640.0,202.5
49997,49998,10,5,0,202.5,185,180,5,235.0,200,195,5,202.5,170,165,5,640.0,202.5
49999,49998,5,10,0,190.0,445,435,10,220.0,400,395,5,217.5,370,365,5,627.5,190.0
50000,49998,5,10,0,190.0,445,435,10,220.0,400,395,5,217.5,370,365,5,627.5,190.0
49997,49998,2,10,0,153.0,138,136,2,160.0,140,138,2,167.0,146,144,2,480.0,153.0
49998,49998,2,10,0,157.0,284,278,6,144.0,238,236,2,151.0,238,236,2,452.0,144.0
49999,49998,2,10,0,141.0,294,288,6,138.0,242,240,2,143.0,244,242,2,422.0,138.0
50000,49998,2,10,0,141.0,294,288,6,138.0,242,240,2,143.0,244,242,2,422.0,138.0
49997,49998,2,5,0,130.0,116,114,2,139.0,120,118,2,142.0,124,122,2,411.0,130.0
49998,49998,5,5,0,137.5,275,270,5,160.0,245,240,5,127.5,215,210,5,425.0,127.5
49998,49998,10,5,0,137.5,275,270,5,160.0,245,240,5,127.5,215,210,5,425.0,127.5
49997,49999,10,10,0,115.0,50,40,10,140.0,60,50,10,115.0,50,40,10,370.0,115.0
49999,49998,5,5,0,122.5,275,270,5,150.0,245,240,5,107.5,215,210,5,380.0,107.5
49999,49998,10,5,0,122.5,275,270,5,150.0,245,240,5,107.5,215,210,5,380.0,107.5
50000,49998,5,5,0,122.5,275,270,5,150.0,245,240,5,107.5,215,210,5,380.0,107.5
50000,49998,10,5,0,122.5,275,270,5,150.0,245,240,5,107.5,215,210,5,380.0,107.5
49998,49998,2,5,0,111.5,205,200,5,110.0,178,176,2,106.0,169,167,2,327.5,106.0
49997,49999,5,10,0,105.0,45,35,10,135.0,60,50,10,115.0,50,40,10,355.0,105.0
49996,49998,10,10,0,100.0,50,50,0,140.0,70,70,0,165.0,70,60,10,405.0,100.0
49999,49998,2,5,0,96.5,208,203,5,102.0,180,178,2,99.0,172,170,2,297.5,96.5
50000,49998,2,5,0,96.5,208,203,5,102.0,180,178,2,99.0,172,170,2,297.5,96.5
49997,49999,2,10,0,89.0,36,26,10,122.0,54,44,10,109.0,46,36,10,320.0,89.0
49997,49999,1,10,0,84.0,33,23,10,115.0,51,42,9,91.0,37,27,10,290.0,84.0
49997,49998,2,2,0,81.0,74,72,2,94.0,80,78,2,81.0,68,66,2,256.0,81.0
49997,49998,5,2,0,81.0,74,72,2,94.0,80,78,2,81.0,68,66,2,256.0,81.0
