fit_mode,group,target,threshold,horizon,n,days,buy_share,mid_edge,entry_active_edge,roundtrip_edge,roundtrip_good_pct,positive_roundtrip_days,min_day_roundtrip_edge,min_day_mid_edge,signal_abs_resid_mean,resid_sigma,adf_t
pooled_all_days,TRANSLATOR,TRANSLATOR_VOID_BLUE,2.5,500,106,3,0.05660377358490566,501.1698113207547,496.10849056603774,491.311320754717,1.0,3,484.3775510204082,494.23979591836735,855.5081429653927,329.1562069293615,-3.720400277671267
pooled_all_days,TRANSLATOR,TRANSLATOR_VOID_BLUE,2.0,500,1143,3,0.3219597550306212,389.70734908136484,384.8346456692913,380.03937007874015,0.8705161854768154,3,256.44375,266.53125,748.5591919827622,329.1562069293614,-3.7204002776712675
pooled_all_days,MICROCHIP,MICROCHIP_TRIANGLE,2.0,500,1501,3,0.6022651565622918,327.7355096602265,323.2838107928048,318.8274483677548,0.977348434377082,3,291.795358649789,300.6413502109705,720.7832142722621,313.23582084375005,-4.617389363780911
pooled_all_days,MICROCHIP,MICROCHIP_TRIANGLE,2.5,500,276,3,0.5471014492753623,323.5090579710145,319.088768115942,314.60869565217394,1.0,3,301.39351851851853,310.3263888888889,836.3365187044603,313.2358208437501,-4.6173893637809105
pooled_all_days,TRANSLATOR,TRANSLATOR_ASTRO_BLACK,2.0,500,838,3,0.5823389021479713,312.00536992840097,307.8359188544153,303.7028639618138,0.986873508353222,3,261.5859375,269.6953125,744.8417431224075,347.259098110955,-3.101466523232778
pooled_all_days,UV_VISOR,UV_VISOR_MAGENTA,2.0,500,1171,3,0.4022203245089667,318.22459436379165,310.8522630230572,303.4918872758326,0.8676345004269855,3,96.62637362637362,110.40934065934066,604.124546096171,264.0833293041973,-4.211688917967215
pooled_all_days,SLEEP_POD,SLEEP_POD_POLYESTER,2.0,500,1359,3,0.48344370860927155,309.55813097866076,304.5209713024283,299.4937454010302,0.9506990434142752,3,237.882183908046,248.3735632183908,757.7682824365355,327.30664851157724,-4.054885592322778
pooled_all_days,MICROCHIP,MICROCHIP_SQUARE,1.5,500,3852,3,0.37668743509865005,306.60903426791276,300.6477154724818,294.776220145379,0.7144340602284528,3,125.77510729613734,135.468669527897,1346.573916879779,723.1926873838727,-3.4474064333519077
pooled_all_days,MICROCHIP,MICROCHIP_OVAL,2.0,500,1621,3,0.00431832202344232,300.26187538556445,295.9373843306601,291.72979642196174,0.8081431215299199,3,60.44444444444444,67.44444444444444,1097.4838348429917,442.6842548112291,-4.331150121141783
pooled_all_days,MICROCHIP,MICROCHIP_TRIANGLE,2.5,200,276,3,0.5471014492753623,293.2391304347826,288.8188405797101,284.3007246376812,1.0,3,123.25,131.58333333333334,836.3365187044603,313.2358208437501,-4.6173893637809105
pooled_all_days,MICROCHIP,MICROCHIP_RECTANGLE,2.5,500,253,3,0.0,289.8814229249012,285.70355731225294,281.6482213438735,0.8853754940711462,3,223.25,231.11309523809524,892.1538848178665,329.62568306002026,-4.0760063936697515
pooled_all_days,MICROCHIP,MICROCHIP_RECTANGLE,2.5,200,253,3,0.0,265.10474308300394,260.92687747035575,256.8616600790514,0.9960474308300395,3,148.42857142857142,156.85714285714286,892.1538848178665,329.62568306002026,-4.0760063936697515
pooled_all_days,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,1.5,500,3156,3,0.3409378960709759,267.1074144486692,259.91682509505705,252.76774397972116,0.9138149556400507,3,239.8653846153846,254.39423076923077,841.7213124459981,423.1705719697621,-3.1300704276018303
pooled_all_days,SLEEP_POD,SLEEP_POD_LAMB_WOOL,1.5,500,3260,3,0.34171779141104297,258.94601226993865,254.11794478527608,249.27361963190185,0.808282208588957,3,179.8976109215017,189.52901023890786,731.2145131811566,348.68115581375207,-3.554744063090228
pooled_all_days,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2.0,500,1193,3,0.07292539815590947,261.3512154233026,254.45264040234701,247.65046102263202,0.9664710813076278,3,172.31428571428572,185.64761904761906,658.0589595113127,297.0348940755517,-3.008249682663401
pooled_all_days,MICROCHIP,MICROCHIP_RECTANGLE,2.0,500,1316,3,0.001519756838905775,244.51329787234042,240.3487841945289,236.28191489361703,0.7788753799392097,3,145.70108043217286,153.6062424969988,761.0550522121306,329.6256830600202,-4.076006393669751
pooled_all_days,MICROCHIP,MICROCHIP_TRIANGLE,1.5,500,3936,3,0.584349593495935,245.12970020325204,240.66806402439025,236.19944105691056,0.8234247967479674,3,176.19640287769784,185.04820143884893,608.1623821841712,313.23582084375,-4.617389363780911
pooled_all_days,UV_VISOR,UV_VISOR_RED,2.0,500,1846,3,0.4783315276273023,244.21560130010835,237.16468039003252,230.15167930660888,0.8743228602383532,3,161.4173703256936,174.58986731001207,790.0486026571035,337.30365330408546,-3.834127663265449
pooled_all_days,PANEL,PANEL_4X4,2.0,500,1384,3,0.22687861271676302,225.97471098265896,221.45484104046244,216.992774566474,0.9566473988439307,3,122.53881278538813,130.76255707762556,761.0204767973291,329.5079198989775,-3.1373817441695473
pooled_all_days,UV_VISOR,UV_VISOR_RED,1.5,500,4277,3,0.6195931727846622,215.85270049099836,208.94599018003274,202.0432546177227,0.8531681084872574,3,163.51516345017723,176.77648680582908,676.8681749551246,337.30365330408557,-3.8341276632654484
pooled_all_days,MICROCHIP,MICROCHIP_RECTANGLE,1.5,500,3633,3,0.2708505367464905,207.03729699972476,203.03096614368292,199.07349298100743,0.7726396917148363,3,116.39278557114228,124.14704408817636,632.3028045359149,329.6256830600202,-4.076006393669751
pooled_all_days,PANEL,PANEL_1X2,2.0,500,1638,3,0.518925518925519,206.8476800976801,201.0934065934066,195.36996336996336,0.8608058608058609,3,116.80364656381487,127.02594670406732,1058.757401022918,487.36489594642893,-2.2558157984439973
pooled_all_days,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,2.0,500,1046,3,0.5650095602294455,205.013862332696,198.3953154875717,191.86711281070745,0.8738049713193117,3,101.15454545454546,113.35181818181819,982.2497737821203,452.2591508392645,-2.0533489468154396
pooled_all_days,OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,2.0,500,1457,3,0.02539464653397392,203.45470144131778,197.1365820178449,190.92724776938917,0.7803706245710363,3,120.1291711517761,132.02744886975242,932.7803037494734,404.8929703041896,-3.393561901702793
pooled_all_days,SLEEP_POD,SLEEP_POD_SUEDE,1.5,500,4149,3,0.5140997830802603,197.49047963364666,192.6288262231863,187.75632682574116,0.8630995420583273,3,176.018138424821,186.54248210023866,839.8818936871812,447.01965276203305,-3.1340409184777016
pooled_all_days,PANEL,PANEL_2X4,1.5,500,3786,3,0.5449022715266773,192.40200739566825,187.59495509772847,182.78420496566298,0.8103539355520338,3,71.719794344473,81.46529562982005,787.2276570102059,407.64532302307913,-3.095911238573535
