candidate_set,test_day,n_candidates,n_products,pnl,trades,wins,losses,win_pct,avg_pnl_per_trade,avg_hold,signals_seen,signals_accepted,signals_blocked_active,signals_rejected_conflict,conflict_rate,max_concurrent_positions
lodo_fast_horizon_le_100,2,80,13,-16430.0,831,398,430,0.4789410348977136,-19.77135980746089,99.94945848375451,525632,831,524801,0,0.9984190460245952,11
lodo_fast_horizon_le_100,3,54,12,-5630.0,495,253,242,0.5111111111111111,-11.373737373737374,99.69292929292929,122104,495,121609,0,0.9959460787525388,9
lodo_fast_horizon_le_100,4,136,25,-251530.0,1827,792,1032,0.43349753694581283,-137.67378215654077,90.40010946907499,839494,1827,837667,0,0.9978236890317262,22
lodo_long_horizon_500,2,115,24,-11770.0,373,192,181,0.514745308310992,-31.554959785522787,493.1206434316354,625133,373,624760,0,0.9994033269720204,22
lodo_long_horizon_500,3,91,17,56740.0,188,100,88,0.5319148936170213,301.8085106382979,487.45212765957444,244562,188,244374,0,0.9992312787759341,14
lodo_long_horizon_500,4,159,32,-112370.0,474,216,257,0.45569620253164556,-237.06751054852322,485.42194092827003,968275,474,967801,0,0.9995104696496346,27
lodo_top3_overall,2,3,1,-4150.0,19,9,10,0.47368421052631576,-218.42105263157896,481.5263157894737,858,19,839,0,0.9778554778554779,1
lodo_top3_overall,3,3,1,9170.0,12,9,3,0.75,764.1666666666666,441.0833333333333,5007,12,4995,0,0.9976033553025764,1
lodo_top3_overall,4,3,2,15640.0,19,13,6,0.6842105263157895,823.1578947368421,412.05263157894734,7233,19,7214,0,0.9973731508364441,2
lodo_top_per_group,2,10,10,29390.0,122,64,58,0.5245901639344263,240.9016393442623,493.59016393442624,43059,122,42937,0,0.9971666782786409,8
lodo_top_per_group,3,10,10,13290.0,209,102,107,0.4880382775119617,63.588516746411486,261.4354066985646,33508,209,33299,0,0.9937626835382595,8
lodo_top_per_group,4,10,10,8590.0,187,98,89,0.5240641711229946,45.93582887700535,346.24598930481284,47349,187,47162,0,0.9960506029694397,9
static12_fast_horizon_le_100,2,28,8,35590.0,380,194,184,0.5105263157894737,93.65789473684211,99.89473684210526,143626,380,143246,0,0.997354239483102,6
static12_fast_horizon_le_100,3,28,8,33900.0,298,165,133,0.5536912751677853,113.75838926174497,100.0,60966,298,60668,0,0.9951120296558738,6
static12_fast_horizon_le_100,4,28,8,23160.0,439,224,215,0.510250569476082,52.75626423690205,99.25968109339408,106898,439,106459,0,0.9958932814458643,7
static12_long_horizon_500,2,63,14,89000.0,194,115,79,0.5927835051546392,458.7628865979381,491.2061855670103,292385,194,292191,0,0.999336491270072,12
static12_long_horizon_500,3,63,14,98860.0,141,86,55,0.6099290780141844,701.1347517730496,485.6170212765957,159452,141,159311,0,0.9991157213456087,11
static12_long_horizon_500,4,63,14,69320.0,166,94,72,0.5662650602409639,417.5903614457831,478.51807228915663,297419,166,297253,0,0.9994418648438734,12
static12_top3_overall,2,3,2,25280.0,25,18,7,0.72,1011.2,482.84,12013,25,11988,0,0.9979189211687338,2
static12_top3_overall,3,3,2,19430.0,26,17,9,0.6538461538461539,747.3076923076923,469.61538461538464,9269,26,9243,0,0.9971949509116409,2
static12_top3_overall,4,3,2,35000.0,30,22,8,0.7333333333333333,1166.6666666666667,417.6666666666667,13828,30,13798,0,0.9978304888631762,2
static12_top_per_group,2,9,9,68020.0,155,86,69,0.5548387096774193,438.83870967741933,329.48387096774195,44175,155,44020,0,0.9964912280701754,7
static12_top_per_group,3,9,9,79870.0,126,81,45,0.6428571428571429,633.8888888888889,325.43650793650795,26256,126,26130,0,0.995201096892139,7
static12_top_per_group,4,9,9,64090.0,174,96,78,0.5517241379310345,368.3333333333333,303.41954022988506,43150,174,42976,0,0.9959675550405562,8
