group,target,test_day,center_mode,threshold,horizon,pnl,trades,wins,avg_hold,sigma_train
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,1.5,50,-510.0,181,93,50.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,1.5,100,7930.0,92,53,100.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,1.5,200,12040.0,46,24,200.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,1.5,500,14670.0,19,14,500.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,2.0,50,1290.0,173,90,50.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,2.0,100,6980.0,88,51,100.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,2.0,200,10830.0,45,23,200.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,2.0,500,11910.0,18,13,500.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,2.5,50,620.0,164,87,50.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,2.5,100,4920.0,84,49,100.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,2.5,200,11560.0,43,22,200.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,2.5,500,15680.0,18,13,500.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,3.0,50,-970.0,153,77,50.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,3.0,100,7130.0,79,42,100.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,3.0,200,7760.0,40,20,200.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,raw,3.0,500,13750.0,17,11,500.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,1.5,50,-16820.0,103,41,49.84466019417476,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,1.5,100,-12150.0,53,23,99.54716981132076,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,1.5,200,-8680.0,28,12,196.32142857142858,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,1.5,500,-9040.0,12,5,484.1666666666667,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,2.0,50,-12950.0,97,41,49.81443298969072,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,2.0,100,-9670.0,50,21,100.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,2.0,200,-6890.0,26,10,192.80769230769232,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,2.0,500,-5150.0,11,3,476.8181818181818,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,2.5,50,-8530.0,76,35,49.5,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,2.5,100,-7610.0,40,19,99.575,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,2.5,200,-4750.0,22,11,195.13636363636363,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,2.5,500,-3450.0,10,2,494.4,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,3.0,50,-10070.0,52,19,49.57692307692308,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,3.0,100,-8470.0,28,8,98.14285714285714,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,3.0,200,-4000.0,15,6,190.53333333333333,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open100,3.0,500,-4570.0,8,3,445.5,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,1.5,50,-18630.0,102,40,49.833333333333336,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,1.5,100,-12520.0,52,24,99.51923076923077,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,1.5,200,-10500.0,27,12,195.96296296296296,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,1.5,500,-9760.0,11,4,482.6363636363636,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,2.0,50,-12760.0,93,42,49.98924731182796,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,2.0,100,-8550.0,49,22,98.34693877551021,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,2.0,200,-6780.0,25,12,197.2,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,2.0,500,-3920.0,11,3,476.27272727272725,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,2.5,50,-10390.0,67,32,49.37313432835821,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,2.5,100,-3610.0,37,19,99.43243243243244,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,2.5,200,-4340.0,20,10,194.45,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,2.5,500,-2950.0,10,3,489.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,3.0,50,-8220.0,50,23,49.3,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,3.0,100,-8300.0,26,8,97.84615384615384,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,3.0,200,-7620.0,14,5,189.57142857142858,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,open500,3.0,500,-9420.0,7,2,437.14285714285717,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,1.5,50,-860.0,1,0,50.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,1.5,100,-470.0,1,0,100.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,1.5,200,-840.0,1,0,200.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,1.5,500,-1730.0,1,0,500.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,2.0,50,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,2.0,100,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,2.0,200,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,2.0,500,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,2.5,50,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,2.5,100,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,2.5,200,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,2.5,500,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,3.0,50,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,3.0,100,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,3.0,200,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling200,3.0,500,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,1.5,50,-1040.0,16,8,50.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,1.5,100,-800.0,9,5,100.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,1.5,200,-2850.0,7,2,200.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,1.5,500,-5790.0,5,1,500.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,2.0,50,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,2.0,100,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,2.0,200,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,2.0,500,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,2.5,50,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,2.5,100,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,2.5,200,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,2.5,500,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,3.0,50,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,3.0,100,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,3.0,200,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,2,rolling500,3.0,500,0.0,0,0,0.0,263.4655208993014
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,1.5,50,-810.0,78,33,50.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,1.5,100,1660.0,41,20,100.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,1.5,200,1780.0,22,13,200.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,1.5,500,6220.0,12,8,475.6666666666667,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,2.0,50,-1190.0,44,22,50.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,2.0,100,2280.0,24,12,100.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,2.0,200,7160.0,13,7,200.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,2.0,500,6970.0,7,5,473.85714285714283,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,2.5,50,500.0,20,9,50.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,2.5,100,-1080.0,14,6,100.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,2.5,200,3480.0,9,5,200.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,2.5,500,4340.0,4,1,500.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,3.0,50,960.0,5,3,50.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,3.0,100,1890.0,4,3,100.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,raw,3.0,200,3880.0,3,2,200.0,290.73539314170273
